id	name	native_name	time_period_start	time_period_end	time_period_label	associated_language_ids	writing_systems	political_structure	capital	population	haplogroup_ids	cuisine_id	sources	description	wikidata_qid	source_url	retrieved_at	confidence
chinese-civilization	Chinese civilization												["Wikidata"]		Q25558247	http://www.wikidata.org/entity/Q25558247	2026-07-08T04:56:01.068765+00:00	1.0
dacia	Dacia												["Wikidata"]		Q173082	http://www.wikidata.org/entity/Q173082	2026-07-08T04:56:01.068765+00:00	1.0
elam	Elam												["Wikidata"]		Q128904	http://www.wikidata.org/entity/Q128904	2026-07-08T04:56:01.068765+00:00	1.0
gaelic-ireland	Gaelic Ireland												["Wikidata"]		Q3327860	http://www.wikidata.org/entity/Q3327860	2026-07-08T04:56:01.068765+00:00	1.0
gaul	Gaul												["Wikidata"]		Q38060	http://www.wikidata.org/entity/Q38060	2026-07-08T04:56:01.068765+00:00	1.0
gojoseon	Gojoseon												["Wikidata"]		Q28405	http://www.wikidata.org/entity/Q28405	2026-07-08T04:56:01.068765+00:00	1.0
huaxia	Huaxia												["Wikidata"]		Q2673403	http://www.wikidata.org/entity/Q2673403	2026-07-08T04:56:01.068765+00:00	1.0
illyria	Illyria												["Wikidata"]		Q32047	http://www.wikidata.org/entity/Q32047	2026-07-08T04:56:01.068765+00:00	1.0
late-shang	Late Shang												["Wikidata"]		Q126325593	http://www.wikidata.org/entity/Q126325593	2026-07-08T04:56:01.068765+00:00	1.0
mari	Mari												["Wikidata"]		Q244762	http://www.wikidata.org/entity/Q244762	2026-07-08T04:56:01.068765+00:00	1.0
mesopotamia	Mesopotamia												["Wikidata"]		Q11767	http://www.wikidata.org/entity/Q11767	2026-07-08T04:56:01.068765+00:00	1.0
teotihuacan-civilization	Teotihuacan civilization												["Wikidata"]		Q116795888	http://www.wikidata.org/entity/Q116795888	2026-07-08T04:56:01.068765+00:00	1.0
thrace	Thrace												["Wikidata"]		Q41741	http://www.wikidata.org/entity/Q41741	2026-07-08T04:56:01.068765+00:00	1.0
thracian	Thracian												["Wikidata"]		Q99304188	http://www.wikidata.org/entity/Q99304188	2026-07-08T04:56:01.068765+00:00	1.0
turco-mongol	Turco-Mongol												["Wikidata"]		Q768212	http://www.wikidata.org/entity/Q768212	2026-07-08T04:56:01.068765+00:00	1.0
ancestral-puebloans	Ancestral Puebloans												["Wikidata"]		Q478805	http://www.wikidata.org/entity/Q478805	2026-07-08T04:55:55.352298+00:00	1.0
andean-civilizations	Andean civilizations												["Wikidata"]		Q3122657	http://www.wikidata.org/entity/Q3122657	2026-07-08T04:55:55.352298+00:00	1.0
bactriamargiana-archaeological-complex	Bactria–Margiana Archaeological Complex												["Wikidata"]		Q1054850	http://www.wikidata.org/entity/Q1054850	2026-07-08T04:55:55.352298+00:00	1.0
bronze-age-india	Bronze Age India												["Wikidata"]		Q4974228	http://www.wikidata.org/entity/Q4974228	2026-07-08T04:55:55.352298+00:00	1.0
calabri	Calabri												["Wikidata"]		Q108314400	http://www.wikidata.org/entity/Q108314400	2026-07-08T04:55:55.352298+00:00	1.0
canaan	Canaan												["Wikidata"]		Q163329	http://www.wikidata.org/entity/Q163329	2026-07-08T04:55:55.352298+00:00	1.0
caralsupe-civilization	Caral–Supe civilization												["Wikidata"]		Q153836	http://www.wikidata.org/entity/Q153836	2026-07-08T04:55:55.352298+00:00	1.0
carduchii	Carduchii												["Wikidata"]		Q110196443	http://www.wikidata.org/entity/Q110196443	2026-07-08T04:55:55.352298+00:00	1.0
chavin-phenomenon	Chavín Phenomenon												["Wikidata"]		Q132469594	http://www.wikidata.org/entity/Q132469594	2026-07-08T04:55:55.352298+00:00	1.0
cultura-tarija	Cultura Tarija												["Wikidata"]		Q96337601	http://www.wikidata.org/entity/Q96337601	2026-07-08T04:55:55.352298+00:00	1.0
culture-of-gaming	Culture of gaming												["Wikidata"]		Q97164246	http://www.wikidata.org/entity/Q97164246	2026-07-08T04:55:55.352298+00:00	1.0
danube-civilization	Danube civilization												["Wikidata"]		Q123696944	http://www.wikidata.org/entity/Q123696944	2026-07-08T04:55:55.352298+00:00	1.0
etruscans	Etruscans												["Wikidata"]		Q17161	http://www.wikidata.org/entity/Q17161	2026-07-08T04:55:55.352298+00:00	1.0
gandhara	Gandhara												["Wikidata"]		Q213651	http://www.wikidata.org/entity/Q213651	2026-07-08T04:55:55.352298+00:00	1.0
greater-iran	Greater Iran												["Wikidata"]		Q25763	http://www.wikidata.org/entity/Q25763	2026-07-08T04:55:55.352298+00:00	1.0
greco-buddhism	Greco-Buddhism												["Wikidata"]		Q970700	http://www.wikidata.org/entity/Q970700	2026-07-08T04:55:55.352298+00:00	1.0
huastec-civilization	Huastec civilization												["Wikidata"]		Q5794608	http://www.wikidata.org/entity/Q5794608	2026-07-08T04:55:55.352298+00:00	1.0
iasi	Iasi												["Wikidata"]		Q16082935	http://www.wikidata.org/entity/Q16082935	2026-07-08T04:55:55.352298+00:00	1.0
indo-sassanids	Indo-Sassanids												["Wikidata"]		Q1661685	http://www.wikidata.org/entity/Q1661685	2026-07-08T04:55:55.352298+00:00	1.0
kish-civilization	Kish civilization												["Wikidata"]		Q18639374	http://www.wikidata.org/entity/Q18639374	2026-07-08T04:55:55.352298+00:00	1.0
liao-civilization	Liao civilization												["Wikidata"]		Q11642657	http://www.wikidata.org/entity/Q11642657	2026-07-08T04:55:55.352298+00:00	1.0
mayo-chinchipe	Mayo-Chinchipe												["Wikidata"]		Q58216521	http://www.wikidata.org/entity/Q58216521	2026-07-08T04:55:55.352298+00:00	1.0
melayu	Melayu												["Wikidata"]		Q3112053	http://www.wikidata.org/entity/Q3112053	2026-07-08T04:55:55.352298+00:00	1.0
mesoamerican-civilization	Mesoamerican civilization												["Wikidata"]		Q116795925	http://www.wikidata.org/entity/Q116795925	2026-07-08T04:55:55.352298+00:00	1.0
mycenaean-greece	Mycenaean Greece												["Wikidata"]		Q181264	http://www.wikidata.org/entity/Q181264	2026-07-08T04:55:55.352298+00:00	1.0
olmecas	Olmecas												["Wikidata"]		Q135364	http://www.wikidata.org/entity/Q135364	2026-07-08T04:55:55.352298+00:00	1.0
paleo-eskimo	Paleo-Eskimo												["Wikidata"]		Q2659059	http://www.wikidata.org/entity/Q2659059	2026-07-08T04:55:55.352298+00:00	1.0
pantalica-i	Pantalica I												["Wikidata"]		Q126877059	http://www.wikidata.org/entity/Q126877059	2026-07-08T04:55:55.352298+00:00	1.0
pantalica-ii	Pantalica II												["Wikidata"]		Q126877058	http://www.wikidata.org/entity/Q126877058	2026-07-08T04:55:55.352298+00:00	1.0
pantalica-iii	Pantalica III												["Wikidata"]		Q126877060	http://www.wikidata.org/entity/Q126877060	2026-07-08T04:55:55.352298+00:00	1.0
pyu-city-states	Pyu city-states												["Wikidata"]		Q1627675	http://www.wikidata.org/entity/Q1627675	2026-07-08T04:55:55.352298+00:00	1.0
rasenna	Rasenna												["Wikidata"]		Q9304182	http://www.wikidata.org/entity/Q9304182	2026-07-08T04:55:55.352298+00:00	1.0
river-valley-civilization	river valley civilization												["Wikidata"]		Q4209456	http://www.wikidata.org/entity/Q4209456	2026-07-08T04:55:55.352298+00:00	1.0
roman-hispania	Roman Hispania												["Wikidata"]		Q1227125	http://www.wikidata.org/entity/Q1227125	2026-07-08T04:55:55.352298+00:00	1.0
russian-civilization	Russian civilization												["Wikidata"]		Q2177124	http://www.wikidata.org/entity/Q2177124	2026-07-08T04:55:55.352298+00:00	1.0
tartessos	Tartessos												["Wikidata"]		Q320416	http://www.wikidata.org/entity/Q320416	2026-07-08T04:55:55.352298+00:00	1.0
tiwanaku-polity	Tiwanaku polity												["Wikidata"]		Q1307407	http://www.wikidata.org/entity/Q1307407	2026-07-08T04:55:55.352298+00:00	1.0
tlahuica	Tlahuica												["Wikidata"]		Q16640584	http://www.wikidata.org/entity/Q16640584	2026-07-08T04:55:55.352298+00:00	1.0
totonac	Totonac												["Wikidata"]		Q16554429	http://www.wikidata.org/entity/Q16554429	2026-07-08T04:55:55.352298+00:00	1.0
umbri	Umbri												["Wikidata"]		Q389236	http://www.wikidata.org/entity/Q389236	2026-07-08T04:55:55.352298+00:00	1.0
vandals	Vandals												["Wikidata"]		Q42211	http://www.wikidata.org/entity/Q42211	2026-07-08T04:55:55.352298+00:00	1.0
vanga-kingdom	Vanga Kingdom												["Wikidata"]		Q845478	http://www.wikidata.org/entity/Q845478	2026-07-08T04:55:55.352298+00:00	1.0
vedic-civilization	Vedic civilization												["Wikidata"]		Q20567682	http://www.wikidata.org/entity/Q20567682	2026-07-08T04:55:55.352298+00:00	1.0
vedic-period	Vedic period												["Wikidata"]		Q215262	http://www.wikidata.org/entity/Q215262	2026-07-08T04:55:55.352298+00:00	1.0
wari	Wari												["Wikidata"]		Q605340	http://www.wikidata.org/entity/Q605340	2026-07-08T04:55:55.352298+00:00	1.0
western-mexico-shaft-tomb-tradition	Western Mexico shaft tomb tradition												["Wikidata"]		Q2446653	http://www.wikidata.org/entity/Q2446653	2026-07-08T04:55:55.352298+00:00	1.0
yellow-river-civilization	Yellow River civilization												["Wikidata"]		Q28584	http://www.wikidata.org/entity/Q28584	2026-07-08T04:55:55.352298+00:00	1.0
empire-of-vietnam	Empire of Vietnam												["Wikidata"]		Q701337	http://www.wikidata.org/entity/Q701337	2026-07-08T04:55:56.076961+00:00	1.0
first-french-empire	First French Empire												["Wikidata"]		Q71084	http://www.wikidata.org/entity/Q71084	2026-07-08T04:55:56.076961+00:00	1.0
iranian-monarchy	Iranian monarchy												["Wikidata"]		Q2128828	http://www.wikidata.org/entity/Q2128828	2026-07-08T04:55:56.076961+00:00	1.0
kingdom-of-pontus	Kingdom of Pontus												["Wikidata"]		Q7380487	http://www.wikidata.org/entity/Q7380487	2026-07-08T04:55:56.076961+00:00	1.0
luba-lunda-states	Luba-Lunda states												["Wikidata"]		Q125881605	http://www.wikidata.org/entity/Q125881605	2026-07-08T04:55:56.076961+00:00	1.0
neo-assyrian-empire	Neo-Assyrian Empire												["Wikidata"]		Q10914393	http://www.wikidata.org/entity/Q10914393	2026-07-08T04:55:56.076961+00:00	1.0
old-assyrian-empire	Old Assyrian Empire												["Wikidata"]		Q22948607	http://www.wikidata.org/entity/Q22948607	2026-07-08T04:55:56.076961+00:00	1.0
rozwi-empire	Rozwi Empire												["Wikidata"]		Q986822	http://www.wikidata.org/entity/Q986822	2026-07-08T04:55:56.076961+00:00	1.0
seleucid-empire	Seleucid Empire												["Wikidata"]		Q93180	http://www.wikidata.org/entity/Q93180	2026-07-08T04:55:56.076961+00:00	1.0
serbian-empire	Serbian Empire												["Wikidata"]		Q1406298	http://www.wikidata.org/entity/Q1406298	2026-07-08T04:55:56.076961+00:00	1.0
sikh-empire	Sikh Empire												["Wikidata"]		Q83572	http://www.wikidata.org/entity/Q83572	2026-07-08T04:55:56.076961+00:00	1.0
sultanate-of-mogadishu	Sultanate of Mogadishu												["Wikidata"]		Q861784	http://www.wikidata.org/entity/Q861784	2026-07-08T04:55:56.076961+00:00	1.0
twenty-sixth-dynasty-of-egypts-rule-over-the-levant	Twenty-sixth Dynasty of Egypt's rule over the Levant												["Wikidata"]		Q140404554	http://www.wikidata.org/entity/Q140404554	2026-07-08T04:55:56.076961+00:00	1.0
