id	name	alternate_names	civilization_id	archaeological_culture_id	time_period_start	time_period_end	region	summary_description	social_organization	subsistence_type	urbanism_level	population_estimate	technology_level	associated_language_ids	associated_religion_ids	associated_writing_system_ids	associated_art_tradition_ids	associated_music_tradition_ids	associated_cuisine_id	associated_architectural_style_ids	associated_literary_tradition_ids	notable_settlements	image_gallery_tags	sources
cp-aztec	Aztec Culture	["Mexica","Tenochca"]	aztec-empire		1325	1521	Mesoamerica	The last great Mesoamerican empire, centered on the island city of Tenochtitlan in Lake Texcoco. Aztec culture featured elaborate ritual sacrifice, poetic traditions, chinampas floating agriculture, and a complex tribute economy.	empire	agricultural	metropolis	5000000	stone	["nahuatl"]	["maya-religion"]	[]	["art-013","art-029"]	[]	mexican	["arch-011"]	[]	["tenochtitlan"]	["aztec","tenochtitlan","sacrifice","eagle-warrior","chinampa"]	["Smith 2012","Townsend 2009"]
cp-inca	Inca Culture	["Tawantinsuyu"]	inca-empire		1438	1533	South America	The largest empire in pre-Columbian Americas, connected by an extensive road system through the Andes. Inca culture developed quipu record-keeping, remarkable stone masonry without mortar, and a sophisticated imperial administration.	empire	agricultural	metropolis	12000000	bronze	["quechua"]	["inca-religion"]	[]	[]	["andean"]	peruvian	["arch-020"]	[]	["cusco","machu-picchu"]	["inca","machu-picchu","quipu","andes","stone"]	["D'Altroy 2015","Covey 2006"]
cp-tiwanaku	Tiwanaku Culture	["Tiahuanaco"]	tiwanaku		500	1000	South America	A pre-Inca civilization based at high altitude near Lake Titicaca, known for monumental stone architecture and the Gateway of the Sun. Tiwanaku culture spread through colonization of multiple ecological zones.	state	agricultural	city-state	1000000	bronze	["aymara"]	["inca-religion"]	[]	[]	["andean"]	peruvian	["arch-020"]	[]	["tiwanaku"]	["tiwanaku","gateway-sun","titicaca","monolith"]	["Janusek 2004","Kolata 2003"]
cp-muisca	Muisca Culture	["Chibcha"]	muisca		600	1541	South America	A confederation of Chibcha-speaking peoples in the Colombian highlands, known for their goldwork that inspired the legend of El Dorado. Muisca culture featured a complex religious system and sophisticated textile production.	chiefdom	agricultural	town	1000000	bronze	["chibcha"]	[]	[]	[]	[]		[]	[]	["muisca-hunza"]	["muisca","gold","el-dorado","emerald","chibcha"]	["Langebaek 1995","Broadbent 1964"]
cp-mississippian	Mississippian Culture	["Mound Builders"]	mississippian		800	1600	North America	A pre-Columbian civilization known for monumental earthen mounds, the largest at Cahokia near modern St. Louis. Mississippian culture developed complex chiefdoms, long-distance trade networks, and sophisticated ceramic traditions.	chiefdom	agricultural	town	500000	stone	["siouan"]	[]	[]	[]	[]		[]	[]	["cahokia"]	["mississippian","cahokia","mound","shell-gorget"]	["Pauketat 2009","Milner 2004"]
cp-haudenosaunee	Haudenosaunee Culture	["Iroquois Confederacy","People of the Longhouse"]	haudenosaunee		1142	1900	North America	A confederacy of six nations with a sophisticated democratic governance structure that influenced the framers of the US Constitution. Known for longhouse architecture, wampum diplomacy, and the Great Law of Peace.	chiefdom	mixed	village	100000	stone	["iroquoian"]	[]	[]	[]	[]		[]	[]	[]	["haudenosaunee","longhouse","wampum","iroquois"]	["Fenton 1998","Richter 1992"]
cp-viking	Viking Culture	["Norse","Norrœnir"]	viking-territories		793	1066	Northern Europe	Seafaring Scandinavians known for their longships, runic inscriptions, and far-reaching voyages of exploration, trade, and settlement from North America to Constantinople. Norse culture produced rich sagas and mythology.	chiefdom	mixed	town	2000000	iron	["old-norse"]	["norse-religion"]	["ws_022"]	["art-031"]	[]		[]	[]	["birka","hedeby"]	["viking","longship","rune","saga","norse"]	["Brink 2008","Winroth 2014"]
cp-celtic	Celtic Culture	["Keltoi","Galatae"]	celtic-territories		-800	400	Western Europe	An Iron Age culture spread across much of Europe, known for intricate metalwork, La Tene art style, druidic religion, and oral literary traditions. Celtic languages survive today in the British Isles and Brittany.	chiefdom	mixed	town	15000000	iron	["old-irish","welsh","gaulish"]	["celtic-religion"]	["ws_023"]	[]	["celtic"]		[]	[]	[]	["celtic","la-tene","druid","torque","knot"]	["Cunliffe 2003","Koch 2006"]
cp-carolingian	Carolingian Culture	["Frankish"]	carolingian-empire		751	888	Western Europe	The empire of Charlemagne that revived learning and unified much of Western Europe. The Carolingian Renaissance preserved classical texts, standardized script (Carolingian minuscule), and laid foundations for medieval European culture.	empire	agricultural	town	15000000	iron	["latin","old-french"]	["christianity"]	["ws_001"]	["art-005"]	["gregorian-chant"]		["arch-005"]	["lit-trad-009"]	["aachen"]	["carolingian","charlemagne","manuscript","minuscule"]	["McKitterick 2008","Story 2005"]
cp-kievan-rus	Kievan Rus Culture	["Rus'"]	kievan-rus		882	1240	Eastern Europe	An East Slavic state that adopted Byzantine Christianity, creating the cultural foundation for Russia, Ukraine, and Belarus. Known for icon painting, onion-dome architecture, and the Primary Chronicle.	state	agricultural	town	7000000	iron	["old-east-slavic"]	["christianity"]	["ws_002"]	["art-004"]	[]		["arch-004"]	[]	["kiev","novgorod"]	["kievan-rus","orthodox","icon","onion-dome"]	["Franklin 2002","Martin 2007"]
cp-golden-horde	Golden Horde Culture	["Ulus of Jochi"]	golden-horde		1227	1502	Central Asia	A Mongol successor state that ruled over much of Russia and the western steppe. The Golden Horde adopted Islam and facilitated trade while maintaining Mongol military traditions and administration.	empire	pastoral	town	30000000	iron	["kipchak-turkic"]	["islam","tengrism"]	[]	[]	[]		[]	[]	["sarai"]	["golden-horde","mongol","steppe","sarai"]	["Halperin 1985","Pochekaev 2017"]
cp-ottoman	Ottoman Culture	["Osmanlı"]	ottoman-empire		1299	1922	Middle East	An empire spanning three continents that blended Turkic, Persian, Arab, and Byzantine cultural elements. Ottoman culture produced distinctive architecture (mosque complexes), calligraphy, miniature painting, and cuisine.	empire	agricultural	metropolis	30000000	steel	["ottoman-turkish"]	["islam"]	["ws_004"]	["art-033"]	["ottoman-classical"]	turkish	["arch-007"]	[]	["constantinople-ottoman","edirne","bursa"]	["ottoman","mosque","calligraphy","tulip","harem"]	["Inalcik 1973","Faroqhi 2004"]
cp-safavid	Safavid Culture	["Safavieh"]	safavid-empire		1501	1736	Middle East	A Persian empire that established Twelver Shia Islam as Iran's state religion. Safavid culture produced magnificent tile-work architecture, Persian carpet weaving at its peak, and Isfahan as one of the world's most beautiful cities.	empire	agricultural	metropolis	10000000	steel	["persian"]	["islam"]	["ws_004"]	["art-017"]	["persian-classical"]	iranian	["arch-007"]	["lit-trad-008"]	["isfahan"]	["safavid","isfahan","carpet","tilework","shia"]	["Newman 2006","Matthee 2011"]
cp-seljuk	Seljuk Culture	["Selçuklu"]	seljuk-empire		1037	1194	Central Asia	A Turkic Muslim dynasty that dominated the Middle East and Anatolia. Seljuk culture developed distinctive architectural forms including the four-iwan mosque and elaborate geometric tile decoration.	empire	mixed	city-state	20000000	iron	["persian","turkic"]	["islam"]	["ws_004"]	["art-009"]	[]	turkish	["arch-007"]	[]	["konya","nishapur"]	["seljuk","mosque","madrasa","geometric"]	["Peacock 2015","Hillenbrand 1999"]
cp-timurid	Timurid Culture	["Gurkani"]	timurid-empire		1370	1507	Central Asia	An empire founded by Timur that created a cultural renaissance in Central Asia. Timurid culture produced magnificent madrasas, Persian miniature painting at its peak, and astronomical achievements under Ulugh Beg.	empire	mixed	city-state	10000000	iron	["persian","chagatai-turkic"]	["islam"]	["ws_004"]	["art-017"]	["persian-classical"]	iranian	["arch-007"]	["lit-trad-008"]	["samarkand","herat"]	["timurid","samarkand","miniature","observatory"]	["Manz 2007","Lentz 1989"]
cp-umayyad	Umayyad Culture	["Banu Umayya"]	umayyad-caliphate		661	750	Middle East	The first great Islamic dynasty that expanded the caliphate from Spain to Central Asia. Umayyad culture produced early Islamic architecture including the Dome of the Rock and the Great Mosque of Damascus, establishing enduring Islamic artistic traditions.	empire	agricultural	metropolis	62000000	iron	["arabic"]	["islam"]	["ws_004"]	["art-009"]	["arabic-maqam"]		["arch-007"]	["lit-trad-005"]	["damascus","cordoba-spain"]	["umayyad","mosque","calligraphy","arabesque"]	["Hawting 2000","Hillenbrand 1999"]
cp-abbasid	Abbasid Culture	["Banu Abbas"]	abbasid-caliphate		750	1258	Middle East	The Islamic golden age dynasty that made Baghdad a center of learning, science, and culture. Abbasid culture saw the translation movement preserving Greek texts, advances in algebra and medicine, and the flourishing of Arabic literature.	empire	agricultural	metropolis	50000000	iron	["arabic","persian"]	["islam"]	["ws_004"]	["art-009"]	["arabic-maqam"]		["arch-007"]	["lit-trad-005"]	["baghdad","samarra"]	["abbasid","baghdad","translation","algebra","house-of-wisdom"]	["Kennedy 2004","Gutas 1998"]
cp-mali	Mali Culture	["Manden"]	mali-empire		1235	1600	West Africa	A West African empire famed for its wealth, particularly under Mansa Musa whose pilgrimage to Mecca displayed vast gold reserves. Mali culture centered on Timbuktu as a center of Islamic learning and trans-Saharan trade.	empire	agricultural	city-state	20000000	iron	["mandinka","arabic"]	["islam","animism-west-african"]	["ws_004"]	["art-014"]	["west-african-griot"]		["arch-019"]	["lit-trad-012"]	["timbuktu","niani"]	["mali","mansa-musa","timbuktu","gold","griot"]	["Levtzion 1973","Conrad 2005"]
cp-songhai	Songhai Culture	["Songhay"]	songhai-empire		1464	1591	West Africa	The largest empire in African history at its peak, the Songhai Empire succeeded Mali as the dominant power in West Africa. Known for the University of Sankore at Timbuktu and a sophisticated provincial administration.	empire	agricultural	city-state	15000000	iron	["songhai","arabic"]	["islam"]	["ws_004"]	["art-014"]	["west-african-griot"]		["arch-019"]	[]	["timbuktu","gao"]	["songhai","timbuktu","sankore","trans-saharan"]	["Hunwick 1999","Kaba 2000"]
cp-ghana	Ghana Empire Culture	["Wagadu"]	ghana-empire		300	1200	West Africa	The first major West African empire, controlling trans-Saharan gold and salt trade. Ghana Empire culture featured a dual-city capital, elaborate royal court ceremonies, and a mixed religious environment.	empire	mixed	town	5000000	iron	["soninke"]	["animism-west-african","islam"]	[]	["art-014"]	["west-african-griot"]		["arch-019"]	["lit-trad-012"]	["koumbi-saleh"]	["ghana","gold","salt","trans-saharan","soninke"]	["Levtzion 1973","Insoll 2003"]
cp-kanem-bornu	Kanem-Bornu Culture	["Sefuwa"]	kanem-bornu		700	1900	West Africa	A long-lived Muslim empire south of the Sahara, centered near Lake Chad. Kanem-Bornu culture blended Sahelian African and Islamic traditions, and maintained diplomatic relations with North African and Middle Eastern states.	empire	mixed	town	5000000	iron	["kanuri","arabic"]	["islam"]	["ws_004"]	[]	[]		[]	[]	["kano"]	["kanem-bornu","lake-chad","muslim","sahel"]	["Levtzion 1971","Barkindo 1985"]
cp-benin	Benin Kingdom Culture	["Edo"]	benin-kingdom		1180	1897	West Africa	A kingdom in southern Nigeria renowned for its extraordinary bronze and brass casting tradition, sophisticated urban planning, and elaborate court ceremonial. Benin City was one of the largest cities in the world.	state	agricultural	city-state	1000000	iron	["edo"]	["animism-west-african"]	[]	["art-024"]	["west-african-griot"]		["arch-019"]	[]	["benin-city"]	["benin","bronze","brass","edo","oba"]	["Ezra 1992","Girshick Ben-Amos 1999"]
cp-swahili	Swahili Culture	["Waswahili"]	swahili-city-states		700	1900	East Africa	A coastal East African civilization that developed a distinctive culture blending Bantu, Arab, and Persian elements. Swahili city-states dominated Indian Ocean trade, producing coral stone architecture and a rich literary tradition.	state	maritime	city-state	1000000	iron	["swahili","arabic"]	["islam"]	["ws_004"]	[]	[]		[]	[]	["kilwa","mombasa","zanzibar-city","lamu"]	["swahili","dhow","coral-stone","indian-ocean"]	["Horton 1996","Nurse 1985"]
cp-axum	Axumite Culture	["Aksum"]	axum		100	940	East Africa	An ancient Ethiopian kingdom that was one of the four great powers of the ancient world. Axum culture developed the Ge'ez script, erected massive stelae, and was among the first states to adopt Christianity.	empire	agricultural	city-state	5000000	iron	["geez"]	["christianity"]	["ws_012"]	["art-034"]	[]	ethiopian	[]	[]	["aksum","lalibela"]	["axum","stele","geez","orthodox","ethiopia"]	["Phillipson 2012","Munro-Hay 1991"]
cp-kush	Kushite Culture	["Meroitic"]	kingdom-of-kush		-1070	350	East Africa	A Nubian kingdom that ruled as pharaohs of Egypt's 25th Dynasty before retreating to Meroe. Kushite culture blended Egyptian and sub-Saharan African elements, producing distinctive pyramids and ironworking.	state	agricultural	city-state	1000000	iron	["meroitic"]	["ancient-egyptian"]	[]	[]	[]		[]	[]	["meroe","napata"]	["kush","nubia","meroe","pyramid","iron"]	["Welsby 1996","Torok 1997"]
cp-great-zimbabwe	Great Zimbabwe Culture	["Dzimba dza mabwe"]	great-zimbabwe		1100	1450	Southern Africa	The builders of the largest stone structures in sub-Saharan Africa, Great Zimbabwe was the capital of a Shona-speaking kingdom that controlled gold trade between the interior and the Swahili coast.	state	mixed	town	18000	iron	["shona"]	[]	[]	[]	[]		["arch-019"]	[]	["great-zimbabwe"]	["great-zimbabwe","stone","shona","gold","enclosure"]	["Pikirayi 2001","Huffman 2007"]
cp-zulu	Zulu Culture	["AmaZulu"]	zulu-kingdom		1816	1897	Southern Africa	A powerful southern African kingdom forged by Shaka Zulu through revolutionary military reforms. Zulu culture features distinctive beadwork with color symbolism, homestead architecture, and rich oral traditions.	state	pastoral	village	250000	iron	["zulu"]	[]	[]	[]	[]		[]	[]	[]	["zulu","impi","shield","beadwork","kraal"]	["Morris 1965","Laband 1995"]
cp-ethiopian	Ethiopian Culture	["Habesha"]	ethiopian-empire		1270	1974	East Africa	A Christian highland kingdom that maintained independence throughout the colonial era. Ethiopian culture is known for rock-hewn churches, Ge'ez liturgical tradition, distinctive cuisine, and the Solomonic dynasty claiming descent from King Solomon.	empire	agricultural	city-state	10000000	iron	["amharic","geez"]	["christianity"]	["ws_012"]	["art-034"]	[]	ethiopian	[]	[]	["lalibela","gondar"]	["ethiopian","rock-hewn","church","solomonic"]	["Henze 2000","Marcus 2002"]
cp-punt	Land of Punt Culture	["Ta Netjer"]	kingdom-of-punt		-2500	-1000	East Africa	A fabled trading partner of ancient Egypt, the Land of Punt was known as the source of incense, myrrh, gold, and exotic animals. Though its exact location remains debated, Punt was culturally significant in Egyptian trade narratives.	state	mixed	town	100000	bronze	[]	[]	[]	[]	[]		[]	[]	["punt"]	["punt","incense","myrrh","trade","egypt"]	["Kitchen 1993","Phillips 1997"]
cp-khwarazmian	Khwarazmian Culture	["Khwarezm"]	khwarazmian-empire		1077	1231	Central Asia	A Persianate empire in Central Asia known for its scholarly tradition, including the mathematician al-Khwarizmi who gave his name to the word algorithm. Khwarazmian culture was destroyed by the Mongol invasion.	empire	agricultural	city-state	5000000	iron	["persian","turkic"]	["islam"]	["ws_004"]	[]	[]	iranian	["arch-007"]	[]	["bukhara","samarkand"]	["khwarezm","algorithm","irrigation","central-asia"]	["Bosworth 1968","Biran 2009"]
cp-spanish-empire	Spanish Imperial Culture	["Hispania"]	spanish-empire		1492	1898	Western Europe	A global maritime empire that colonized the Americas, Philippines, and parts of Africa. Spanish culture spread Catholicism, the Spanish language, and Baroque architecture across a vast colonial network.	empire	agricultural	metropolis	50000000	steel	["spanish"]	["christianity"]	["ws_001"]	["art-008"]	["flamenco"]	spanish	["arch-013"]	[]	["seville","granada"]	["spanish","colonial","baroque","catholic","galleon"]	["Kamen 2003","Elliott 2006"]
cp-portuguese-empire	Portuguese Imperial Culture	["Lusitania"]	portuguese-empire		1415	1999	Western Europe	The first global maritime empire, pioneering oceanic navigation and establishing trade posts from Brazil to Japan. Portuguese culture created the Manueline architectural style and facilitated the Columbian Exchange.	empire	maritime	metropolis	10000000	steel	["portuguese"]	["christianity"]	["ws_001"]	["art-008"]	[]	portuguese	["arch-013"]	[]	["lisbon"]	["portuguese","maritime","navigation","manueline"]	["Russell-Wood 1998","Subrahmanyam 2012"]
cp-british-empire	British Imperial Culture	["Britannia"]	british-empire		1583	1997	Northern Europe	The largest empire in history, spanning every continent and profoundly shaping global politics, economics, and culture. British culture spread the English language, parliamentary democracy, and industrial technology worldwide.	empire	mixed	metropolis	400000000	industrial	["english"]	["christianity"]	["ws_001"]	[]	[]		[]	[]	["london","edinburgh"]	["british","empire","industrial","parliament","tea"]	["Ferguson 2003","Darwin 2012"]
cp-teotihuacan	Teotihuacan Culture	["City of the Gods"]	olmec		-200	550	Mesoamerica	The largest city in the pre-Columbian Americas, with monumental pyramids along the Avenue of the Dead. Teotihuacan culture influenced all of Mesoamerica through its distinctive talud-tablero architectural style and widespread trade networks.	state	agricultural	metropolis	125000	stone	[]	["maya-religion"]	[]	["art-029"]	[]	mexican	["arch-011"]	[]	["teotihuacan"]	["teotihuacan","pyramid","obsidian","talud-tablero"]	["Millon 1973","Cowgill 2015"]
cp-wari	Wari Culture	["Huari"]	tiwanaku		600	1000	South America	A Middle Horizon empire in the Peruvian Andes that developed administrative centers, road systems, and textile traditions that later influenced the Inca. Wari culture is known for polychrome ceramics and sophisticated tapestry weaving.	empire	agricultural	city-state	3000000	bronze	["quechua"]	["inca-religion"]	[]	[]	["andean"]	peruvian	["arch-020"]	[]	["wari"]	["wari","huari","textile","ceramic","andes"]	["Schreiber 1992","Isbell 2008"]
cp-chavin	Chavin Culture	["Chavin de Huantar"]	olmec		-900	-200	South America	An early Andean civilization whose religious cult center at Chavin de Huantar unified much of Peru through shared religious ideology. Known for distinctive feline-serpent-raptor iconography and sophisticated stonework.	chiefdom	agricultural	town	500000	stone	[]	[]	[]	[]	["andean"]	peruvian	["arch-020"]	[]	["chavin-de-huantar"]	["chavin","feline","stone","temple","oracle"]	["Burger 1992","Rick 2005"]
cp-nazca	Nazca Culture	[]	olmec		-100	800	South America	A pre-Inca civilization of coastal Peru famous for the enormous Nazca Lines geoglyphs visible only from the air. Nazca culture also produced distinctive polychrome pottery and an extensive underground aqueduct system.	chiefdom	agricultural	town	250000	stone	[]	[]	[]	[]	[]	peruvian	[]	[]	["nazca"]	["nazca","geoglyph","nazca-lines","pottery","desert"]	["Silverman 2002","Reinhard 1996"]
cp-moche	Moche Culture	["Mochica"]	olmec		100	700	South America	A pre-Inca civilization of northern Peru known for its realistic portrait ceramics, elaborate metallurgy in gold and copper, and monumental adobe pyramids. Moche culture produced some of the finest pottery in the ancient Americas.	state	agricultural	city-state	500000	bronze	[]	[]	[]	[]	[]	peruvian	[]	[]	["sipan"]	["moche","portrait-vessel","adobe","pyramid","metallurgy"]	["Quilter 2002","Castillo 2001"]
cp-chimor	Chimor Culture	["Chimu"]	olmec		900	1470	South America	A pre-Inca kingdom on the north coast of Peru centered on Chan Chan, the largest adobe city in the world. Chimu culture excelled in metalworking, textile production, and hydraulic engineering.	state	agricultural	metropolis	500000	bronze	[]	[]	[]	[]	[]	peruvian	[]	[]	["chan-chan"]	["chimu","chan-chan","adobe","metalwork","irrigation"]	["Moseley 2001","Topic 2003"]
cp-pueblo	Pueblo Culture	["Ancestral Puebloan"]	mississippian		-100	1600	North America	Builders of elaborate cliff dwellings and multi-story stone pueblos in the American Southwest. Pueblo culture developed sophisticated dry-farming techniques, distinctive black-on-white pottery, and kiva ceremonial architecture.	egalitarian	agricultural	village	100000	stone	["keresan","tanoan"]	[]	[]	[]	[]		[]	[]	["mesa-verde","chaco-canyon"]	["pueblo","cliff-dwelling","pottery","kiva","corn"]	["Lekson 2006","Kantner 2004"]
cp-hopewell	Hopewell Culture	["Mound Builders"]	mississippian		-200	500	North America	A widespread cultural tradition of eastern North America known for elaborate earthworks, long-distance trade in exotic materials, and refined artistic traditions. Hopewell culture influenced a vast area without centralized political control.	egalitarian	mixed	village	100000	stone	["algonquian"]	[]	[]	[]	[]		[]	[]	["hopewell-settlement"]	["hopewell","mound","earthwork","mica","obsidian"]	["Carr 2004","Yerkes 2002"]
cp-sumer-uruk	Uruk Period Culture	["Warka"]	sumerian		-4000	-3100	Mesopotamia	The period that saw the emergence of the world's first cities, writing, and state-level society at Uruk. This transformative era witnessed the invention of the potter's wheel, cylinder seals, and monumental temple architecture.	state	agricultural	city-state	40000	copper	["sumerian"]	[]	[]	[]	[]		[]	[]	["uruk"]	["uruk","proto-cuneiform","cylinder-seal","temple"]	["Nissen 1988","Algaze 2008"]
cp-elam-proto	Proto-Elamite Culture	[]	elamite		-3200	-2700	Middle East	An early civilization in southwestern Iran that developed one of the earliest writing systems (Proto-Elamite script). This culture shows evidence of complex administration and long-distance trade connections with Mesopotamia and the Indus Valley.	state	agricultural	city-state	100000	copper	["elamite"]	[]	[]	[]	[]		[]	[]	["susa"]	["proto-elamite","script","iran","trade"]	["Potts 1999","Dahl 2019"]
cp-dilmun	Dilmun Culture	[]	sumerian		-3000	-600	Middle East	An ancient trading civilization in the Persian Gulf (modern Bahrain), described in Sumerian literature as a paradise. Dilmun culture served as a crucial intermediary in trade between Mesopotamia and the Indus Valley.	state	maritime	town	50000	bronze	[]	[]	[]	[]	[]		[]	[]	["dilmun-city"]	["dilmun","bahrain","trade","pearl","garden"]	["Crawford 1998","Laursen 2017"]
cp-nuragic	Nuragic Culture	[]	minoan		-1900	-238	Mediterranean	A Bronze and Iron Age civilization of Sardinia characterized by thousands of stone tower fortresses called nuraghi. Nuragic culture produced distinctive bronze figurines and maintained maritime trade connections across the Mediterranean.	chiefdom	mixed	village	300000	bronze	[]	[]	[]	[]	[]		[]	[]	[]	["nuragic","sardinia","tower","bronze-figurine"]	["Webster 1996","Blake 2015"]
cp-etruscan	Etruscan Culture	["Rasenna"]	roman-empire		-900	-100	Mediterranean	A pre-Roman Italian civilization known for vivid tomb paintings, sophisticated metalwork, and urbanization that strongly influenced early Rome. Etruscan culture featured prominent roles for women and distinctive funerary practices.	state	mixed	city-state	500000	iron	["etruscan"]	[]	[]	[]	[]	italian	[]	[]	[]	["etruscan","tomb","fresco","bucchero","italic"]	["Barker 2008","Turfa 2013"]
cp-scythian	Scythian Culture	["Saka"]	xiongnu		-900	-200	Central Asia	Nomadic warrior horsemen of the Eurasian steppe known for their distinctive animal-style art in gold, elaborate burial mounds (kurgans), and fearsome mounted archery. Scythian culture influenced art traditions across Eurasia.	chiefdom	pastoral	nomadic	2000000	iron	["scythian"]	[]	[]	[]	[]		[]	[]	[]	["scythian","kurgan","animal-style","gold","horse"]	["Cunliffe 2015","Rolle 1989"]
cp-cham	Cham Culture	["Champa"]	srivijaya		192	1832	Southeast Asia	A Hindu-Buddhist civilization of central and southern Vietnam known for elaborate brick tower temples (Cham towers) showing Indian influence. Cham culture developed distinctive art styles blending Indian and local Southeast Asian elements.	state	maritime	city-state	1000000	iron	["cham"]	["hinduism"]	[]	[]	[]		[]	[]	["champa"]	["cham","tower","hindu","brick","vietnam"]	["Hardy 2009","Vickery 2011"]
cp-funan	Funan Culture	["Nokor Phnom"]	khmer-empire		50	550	Southeast Asia	The earliest known Southeast Asian state, located in the Mekong Delta region. Funan culture adopted Hinduism and Sanskrit, establishing patterns of Indianized statehood that influenced all subsequent Southeast Asian civilizations.	state	maritime	town	500000	iron	["khmer"]	["hinduism"]	[]	[]	[]		[]	[]	["oc-eo"]	["funan","mekong","hindu","trade","maritime"]	["Coedes 1968","Stark 2004"]
cp-dvaravati	Dvaravati Culture	[]	ayutthaya		500	1000	Southeast Asia	A Mon Buddhist kingdom in central Thailand that established Theravada Buddhism in the region. Dvaravati culture produced distinctive Wheel of the Law monuments and Buddhist sculpture blending Indian and local styles.	state	agricultural	town	500000	iron	["mon"]	["buddhism"]	[]	[]	[]		[]	[]	["siam-lopburi"]	["dvaravati","mon","buddhist","wheel-of-law"]	["Murphy 2013","Brown 1996"]
cp-median	Median Culture	["Mada"]	persian-empire		-678	-549	Central Asia	The first Iranian empire that unified the Medes and helped destroy the Assyrian Empire. Median culture established the model of Iranian kingship and influenced the subsequent Achaemenid Persian Empire.	empire	mixed	city-state	3000000	iron	["median"]	["zoroastrianism"]	[]	[]	[]	iranian	[]	[]	["ecbatana"]	["median","ecbatana","iranian","zoroastrian"]	["Liverani 2014","Stronach 2012"]
cp-bactrian	Bactrian Culture	["Greco-Bactrian"]	kushan-empire		-250	-130	Central Asia	A Hellenistic kingdom in Central Asia that represented the easternmost extent of Greek cultural influence. Bactrian culture blended Greek and Iranian elements, producing distinctive coinage and influencing Gandharan Buddhist art.	state	mixed	city-state	1000000	iron	["bactrian","greek-ancient"]	["buddhism","zoroastrianism"]	["ws_003"]	[]	[]		[]	[]	["balkh"]	["bactrian","greek","hellenistic","coinage"]	["Holt 1999","Mairs 2014"]
cp-gandhara	Gandharan Culture	[]	kushan-empire		-100	500	South Asia	A cultural region at the crossroads of Central, South, and East Asia that created the first anthropomorphic representations of the Buddha. Gandharan art masterfully blended Greco-Roman and Indian aesthetic traditions.	state	mixed	city-state	2000000	iron	["gandhari-prakrit","sanskrit"]	["buddhism"]	[]	[]	[]		[]	[]	["taxila"]	["gandhara","buddha","greco-roman","sculpture"]	["Behrendt 2007","Zwalf 1996"]
cp-mauretania	Mauretanian Culture	[]	roman-empire		-300	40	North Africa	A Berber kingdom in North Africa that blended indigenous, Phoenician, and Hellenistic cultural elements before its incorporation into the Roman Empire. Mauretanian culture is known for its monumental royal tombs and sophisticated urban centers.	state	agricultural	city-state	500000	iron	["berber"]	[]	[]	[]	[]		[]	[]	["volubilis"]	["mauretania","berber","tomb","north-africa"]	["Fentress 2006","Roller 2003"]
cp-garamantes	Garamantian Culture	[]	roman-empire		-500	700	North Africa	A Saharan civilization in modern Libya that built an underground irrigation system (foggaras) enabling agriculture in the desert. Garamantian culture connected sub-Saharan Africa with the Mediterranean world through trans-Saharan trade.	state	agricultural	town	200000	iron	["berber"]	[]	[]	[]	[]		[]	[]	[]	["garamantes","sahara","foggara","trade","libya"]	["Mattingly 2003","Sterry 2018"]
cp-mapungubwe	Mapungubwe Culture	[]	great-zimbabwe		1075	1220	Southern Africa	A precursor kingdom to Great Zimbabwe in southern Africa, Mapungubwe was one of the first class-based societies in the region. The site's gold rhinoceros figurine demonstrates sophisticated metalworking and long-distance trade.	state	mixed	town	5000	iron	["shona"]	[]	[]	[]	[]		[]	[]	["mapungubwe"]	["mapungubwe","gold","rhinoceros","trade","hilltop"]	["Huffman 2005","Schoeman 2014"]
cp-kilwa	Kilwa Culture	[]	swahili-city-states		800	1513	East Africa	A Swahili sultanate on the East African coast that became the wealthiest city south of the Sahara by controlling the gold trade from the interior. Kilwa produced the first coinage in sub-Saharan Africa.	state	maritime	city-state	20000	iron	["swahili","arabic"]	["islam"]	["ws_004"]	[]	[]		[]	[]	["kilwa"]	["kilwa","gold","coinage","coral","trade"]	["Chittick 1974","Fleisher 2012"]
cp-luba	Luba Culture	["Baluba"]	benin-kingdom		1585	1889	Central Africa	A Central African kingdom known for sophisticated memory boards (lukasa), elaborate scarification art, and a complex political philosophy based on divine kingship. Luba culture influenced governance structures across the region.	state	agricultural	village	1000000	iron	["luba"]	["animism-west-african"]	[]	[]	[]		[]	[]	[]	["luba","lukasa","memory-board","kingship","scarification"]	["Roberts 2013","Reefe 1981"]
cp-kongo	Kongo Culture	["Bakongo"]	benin-kingdom		1390	1914	Central Africa	A Central African kingdom that developed ironworking, elaborate textile traditions, and sophisticated religious art including nkisi power figures. Kongo culture maintained complex diplomatic relations with Portugal from the 15th century.	state	agricultural	city-state	3000000	iron	["kikongo"]	["animism-west-african","christianity"]	[]	[]	[]		[]	[]	["mbanza-kongo"]	["kongo","nkisi","textile","iron","christian"]	["Thornton 1998","Hilton 1985"]
cp-ife	Ife Culture	["Ile-Ife"]	benin-kingdom		1000	1420	West Africa	A Yoruba city-state considered the spiritual homeland of the Yoruba people. Ife culture produced remarkable naturalistic bronze and terracotta portrait heads that rank among the greatest achievements of world art.	state	agricultural	city-state	100000	iron	["yoruba"]	["animism-west-african"]	[]	["art-014"]	["west-african-griot"]		["arch-019"]	["lit-trad-012"]	["ife"]	["ife","bronze","terracotta","portrait","yoruba"]	["Willett 1967","Drewal 2010"]
