id	culture_profile_id	category	title	description	social_class	gender_context	age_group	season	time_period_start	time_period_end	sources
dl-119	cp-edo-japanese	occupation	Ukiyo-e Woodblock Printing	Artisan workshops in Edo produced ukiyo-e woodblock prints through a collaborative process involving designer, carver, and printer working with cherry wood blocks.	common	male	adult	all	1603	1868	["Salter, Rebecca. Japanese Woodblock Printing"]
dl-120	cp-edo-japanese	hygiene	Sento Public Bathhouses	Edo Japanese visited communal sento bathhouses daily, with separate sections for men and women, combining thorough washing with soaking in hot water.	all	all	all	all	1603	1868	["Clark, Scott. Japan: A View from the Bath"]
dl-121	cp-edo-japanese	recreation	Kabuki Theater	Townspeople flocked to kabuki theater performances lasting entire days, featuring elaborate costumes, dramatic stories, and all-male casts including onnagata female impersonators.	common	all	adult	all	1603	1868	["Leiter, Samuel. New Kabuki Encyclopedia"]
dl-122	cp-edo-japanese	law	Machi-Bugyo City Magistrates	Edo city magistrates (machi-bugyo) maintained order among commoners, hearing disputes and criminal cases in a system where confession was required for conviction.	all	all	adult	all	1603	1868	["Henderson, Dan. Conciliation and Japanese Law"]
dl-123	cp-edo-japanese	transportation	Tokaido Highway Travel	Travelers walked the Tokaido highway between Edo and Kyoto, stopping at regulated post stations (shukuba) offering lodging, food, and porter services.	all	all	adult	all	1603	1868	["Vaporis, Constantine. Breaking Barriers"]
dl-124	cp-edo-japanese	timekeeping	Variable Hour System	Edo Japan used a variable-hour system dividing daylight and nighttime each into six equal periods, meaning hours changed length with the seasons.	all	all	all	all	1603	1868	["Frumer, Yulia. Making Time"]
dl-125	cp-edo-japanese	housing	Samurai Yashiki Compounds	Samurai families lived in walled yashiki compounds with multiple buildings, gardens, and gates whose size and ornamentation reflected their lord's rank.	elite	all	all	all	1603	1868	["Coaldrake, William. Architecture and Authority in Japan"]
dl-126	cp-edo-japanese	diet	Sushi Street Food	Nigiri sushi emerged in Edo as a fast street food, with vinegared rice topped with fresh fish from Tokyo Bay sold at yatai (mobile stalls).	all	all	adult	all	1800	1868	["Issenberg, Sasha. The Sushi Economy"]
dl-127	cp-edo-japanese	social_customs	Tea Ceremony Practice	The Way of Tea (chado) was practiced across social classes in Edo Japan, with formalized rituals of preparing and serving matcha embodying aesthetic refinement.	all	all	adult	all	1603	1868	["Varley, Paul. Japanese Culture"]
dl-128	cp-edo-japanese	occupation	Rice Farming	Most Edo-period Japanese were rice farmers who cultivated flooded paddies by hand, with yields forming the basis of the entire economic system and tax structure.	common	all	adult	spring	1603	1868	["Smith, Thomas. The Agrarian Origins of Modern Japan"]
dl-129	cp-mughal-indian	housing	Haveli Mansions	Wealthy Mughal-era families lived in havelis, ornate multi-story mansions built around interior courtyards with carved screens (jali) providing privacy and ventilation.	elite	all	all	all	1526	1857	["Tillotson, Giles. Mughal India"]
dl-130	cp-mughal-indian	diet	Mughlai Cuisine	Mughal court cuisine featured rich dishes of slow-cooked meat in yogurt and spice gravies (korma), pilaf rice with saffron, and naan bread baked in tandoor ovens.	elite	all	all	all	1526	1857	["Collingham, Lizzie. Curry: A Tale of Cooks and Conquerors"]
dl-131	cp-mughal-indian	clothing	Jama Court Dress	Mughal men wore the jama, a long tunic tied at the side with a patka sash, over churidar trousers, with turban style indicating regional and religious identity.	all	male	adult	all	1526	1857	["Crill, Rosemary. Fabric of India"]
dl-132	cp-mughal-indian	education	Maktab Primary Schools	Mughal children attended maktab schools attached to mosques, learning Quran recitation, Arabic and Persian calligraphy, and basic arithmetic.	all	male	child	all	1526	1857	["Alam, Muzaffar. The Languages of Political Islam in India"]
dl-133	cp-mughal-indian	social_customs	Jizya Tax on Non-Muslims	Non-Muslim subjects of the Mughal Empire paid the jizya tax in exchange for protection and exemption from military service, though enforcement varied by ruler.	all	all	adult	all	1526	1857	["Richards, John. The Mughal Empire"]
dl-134	cp-mughal-indian	commerce	Sarraf Money-Changing	Sarrafs (money-changers) operated in every Mughal bazaar, exchanging the diverse coinage of different regions and providing hundis (bills of exchange) for long-distance trade.	merchant	male	adult	all	1526	1857	["Habib, Irfan. The Agrarian System of Mughal India"]
dl-135	cp-mughal-indian	occupation	Indigo Dyeing	Mughal artisans produced indigo dye through a labor-intensive process of fermenting indigo plant leaves, creating cakes of blue pigment exported globally.	common	all	adult	all	1526	1857	["Balfour-Paul, Jenny. Indigo"]
dl-136	cp-mughal-indian	hygiene	Hammam Bathhouses	Mughal cities featured hammam bathhouses with heated rooms, cold pools, and massage services, serving as important social gathering places.	all	all	adult	all	1526	1857	["Grabar, Oleg. The Formation of Islamic Art"]
dl-137	cp-mughal-indian	recreation	Polo and Chess	Mughal elites played polo (chaugan) on horseback and chess (shatranj), while commoners enjoyed wrestling matches, kite flying, and pigeon racing.	elite	male	adult	all	1526	1857	["Richards, John. The Mughal Empire"]
dl-138	cp-mughal-indian	law	Qazi Courts	Mughal justice was administered by qazi judges applying Hanafi Islamic law for Muslims, while Hindu disputes were often settled by village panchayats using customary law.	all	all	adult	all	1526	1857	["Hallaq, Wael. An Introduction to Islamic Law"]
dl-139	cp-mughal-indian	transportation	Bullock Cart Caravans	Overland trade in Mughal India moved by bullock cart caravans of hundreds of carts, traveling ten to fifteen miles per day along established routes.	merchant	all	adult	all	1526	1857	["Habib, Irfan. The Agrarian System of Mughal India"]
dl-140	cp-mughal-indian	timekeeping	Ghari Water Clocks	Mughal timekeeping used the ghari (a unit of approximately 24 minutes) measured by water clocks, with time announced by drum beats in cities.	all	all	all	all	1526	1857	["Sarma, Sreeramula. The Archaic and the Exotic"]
dl-141	cp-mughal-indian	housing	Village Mud Huts	Mughal-era peasants lived in single-room mud huts with thatched roofs, with cooking done outdoors over cow dung fuel cakes.	common	all	all	all	1526	1857	["Habib, Irfan. The Agrarian System of Mughal India"]
dl-142	cp-mughal-indian	diet	Dal and Roti Daily Meals	Common Mughal-era Indians subsisted on dal (lentil stew) and roti (flatbread) supplemented with seasonal vegetables, with meat consumed rarely by most.	common	all	all	all	1526	1857	["Collingham, Lizzie. Curry: A Tale of Cooks and Conquerors"]
dl-143	cp-mughal-indian	clothing	Sari Draping Styles	Mughal-era Hindu women wore saris draped in regional styles, with fabric quality and border ornamentation reflecting social status and marital standing.	all	female	adult	all	1526	1857	["Crill, Rosemary. Fabric of India"]
dl-144	cp-mughal-indian	social_customs	Purdah Seclusion	Elite Mughal women observed purdah, living in the zenana (women's quarters) secluded from unrelated men, with carved screens allowing observation without being seen.	elite	female	adult	all	1526	1857	["Lal, Ruby. Domesticity and Power in the Early Mughal World"]
dl-145	cp-benin-kingdom	housing	Royal Palace Compound	The Oba's palace in Benin City was an enormous complex of courtyards, galleries, and audience halls adorned with bronze plaques depicting royal history.	elite	all	all	all	1200	1897	["Girshick Ben-Amos, Paula. Art, Innovation, and Politics in Eighteenth-Century Benin"]
dl-146	cp-benin-kingdom	diet	Yam-Based Cuisine	Yams were the staple crop of the Benin Kingdom, pounded into fufu and served with palm oil-based soups containing fish, meat, and leafy vegetables.	all	all	all	all	1200	1897	["Connah, Graham. African Civilizations"]
dl-147	cp-benin-kingdom	clothing	Coral Bead Regalia	Benin royalty and chiefs wore elaborate coral bead necklaces, crowns, and garments as markers of authority, with the Oba controlling coral distribution.	elite	all	adult	all	1200	1897	["Ezra, Kate. Royal Art of Benin"]
dl-148	cp-benin-kingdom	occupation	Bronze Casting Guilds	The Igun-Eronmwon guild of bronze casters worked exclusively for the Oba, producing commemorative heads, plaques, and ceremonial objects using the lost-wax technique.	common	male	adult	all	1200	1897	["Dark, Philip. An Introduction to Benin Art and Technology"]
dl-149	cp-benin-kingdom	social_customs	Igue Festival	The annual Igue festival renewed the Oba's spiritual powers through rituals, sacrifices, and public celebrations lasting several days involving the entire capital.	all	all	all	dry	1200	1897	["Girshick Ben-Amos, Paula. Art, Innovation, and Politics in Eighteenth-Century Benin"]
dl-150	cp-benin-kingdom	commerce	Manilla Currency Trade	Benin Kingdom merchants traded using copper manilla bracelets as currency, exchanged with European traders for goods including cloth, firearms, and coral.	merchant	all	adult	all	1400	1897	["Connah, Graham. African Civilizations"]
dl-151	cp-benin-kingdom	law	Oba's Judicial Authority	The Oba served as supreme judge in the Benin Kingdom, hearing capital cases and appeals, while village chiefs adjudicated local disputes.	all	all	adult	all	1200	1897	["Bradbury, R.E. Benin Studies"]
dl-152	cp-benin-kingdom	recreation	Wrestling Competitions	Benin Kingdom commoners enjoyed wrestling matches between villages as a form of recreation, with successful wrestlers gaining prestige and social standing.	common	male	adult	dry	1200	1897	["Bradbury, R.E. Benin Studies"]
dl-153	cp-benin-kingdom	hygiene	Palm Kernel Soap	Benin people produced soap from palm kernel oil and plantain ash lye, used for daily bathing in the tropical climate.	all	all	all	all	1200	1897	["Connah, Graham. African Civilizations"]
dl-154	cp-benin-kingdom	transportation	Forest Pathways	Travel in the Benin Kingdom followed paths cut through dense tropical forest, with porters carrying goods on their heads between settlements.	all	all	adult	all	1200	1897	["Ryder, Alan. Benin and the Europeans"]
dl-155	cp-benin-kingdom	timekeeping	Market Week Calendar	The Benin Kingdom used a four-day market week cycle to organize commercial and social life, with major markets held on specific days.	all	all	all	all	1200	1897	["Bradbury, R.E. Benin Studies"]
dl-156	cp-benin-kingdom	education	Guild Apprenticeship System	Benin youth learned crafts through hereditary guild apprenticeships, with sons trained by fathers in specialized skills from bronze casting to wood carving.	common	male	child	all	1200	1897	["Dark, Philip. An Introduction to Benin Art and Technology"]
dl-157	cp-benin-kingdom	housing	Common Rectangular Houses	Benin commoners lived in rectangular houses with walls of red laterite earth and roofs of palm fronds arranged around family compounds.	common	all	all	all	1200	1897	["Connah, Graham. African Civilizations"]
dl-158	cp-greek	housing	Greek Andron and Gynaikonitis	Greek houses were divided into the andron (men's room for symposia) and gynaikonitis (women's quarters), reflecting strict gender separation in domestic life.	all	all	adult	all	-800	-146	["Nevett, Lisa. House and Society in the Ancient Greek World"]
dl-159	cp-greek	diet	Sitos and Opson	Greek meals consisted of sitos (grain staple, usually barley bread) and opson (relish or accompaniment), typically olives, cheese, figs, or occasionally fish.	common	all	all	all	-800	-146	["Dalby, Andrew. Siren Feasts"]
dl-160	cp-greek	clothing	Chiton and Himation	Greek men and women wore the chiton (a rectangular cloth pinned at the shoulders) with a himation (cloak) draped over, both made of wool or linen.	all	all	adult	all	-800	-146	["Lee, Mireille. Body, Dress, and Identity in Ancient Greece"]
dl-161	cp-greek	education	Gymnasium Education	Greek citizen boys received education at the gymnasium combining physical training (wrestling, running) with intellectual instruction in music, poetry, and rhetoric.	elite	male	child	all	-600	-146	["Marrou, H.I. A History of Education in Antiquity"]
dl-162	cp-greek	social_customs	Symposium Drinking Party	The symposium was a formalized drinking party where Greek men reclined on couches, mixing wine with water, and engaged in philosophical discussion, poetry, and games.	elite	male	adult	all	-700	-146	["Murray, Oswyn. Sympotica"]
dl-163	cp-greek	occupation	Olive Oil Production	Greek farmers pressed olives in stone mills and beam presses to produce olive oil, the most important commercial product used for cooking, lighting, and bathing.	common	male	adult	autumn	-800	-146	["Foxhall, Lin. Olive Cultivation in Ancient Greece"]
dl-164	cp-greek	commerce	Agora Marketplace	The agora served as the commercial, political, and social center of Greek city-states, with permanent shops, temporary stalls, and money-changers tables.	merchant	all	adult	all	-700	-146	["Camp, John. The Athenian Agora"]
dl-165	cp-greek	hygiene	Olive Oil Body Cleansing	Greeks cleaned their bodies by rubbing olive oil into the skin and scraping it off with a curved metal strigil, followed by cold water rinsing.	all	all	adult	all	-700	-146	["Fagan, Garrett. Bathing in Public in the Roman World"]
dl-166	cp-greek	law	Athenian Jury Courts	Athenian citizens served on large juries of 201 to 501 members, selected by lot, who voted on verdicts by placing bronze discs in urns.	all	male	adult	all	-508	-322	["Todd, S.C. The Shape of Athenian Law"]
dl-167	cp-greek	recreation	Olympic Athletic Games	The Olympic Games held every four years at Olympia drew athletes and spectators from across the Greek world for competitions in running, wrestling, and chariot racing.	all	male	adult	summer	-776	393	["Swaddling, Judith. The Ancient Olympic Games"]
dl-168	cp-greek	transportation	Trireme Rowing	Greek maritime travel relied on triremes with three banks of oars, crewed by free citizen rowers who also served as the naval fighting force.	common	male	adult	summer	-700	-146	["Morrison, John. The Athenian Trireme"]
dl-169	cp-greek	timekeeping	Olympiad Reckoning	Greeks reckoned time in four-year cycles between Olympic Games (Olympiads) and by the names of annual archons or other local magistrates.	all	all	all	all	-776	-146	["Hannah, Robert. Greek and Roman Calendars"]
dl-170	cp-greek	housing	Pottery Workshops in Kerameikos	The Kerameikos quarter of Athens housed potters who produced black-figure and red-figure pottery used for storage, drinking, and trade throughout the Mediterranean.	common	male	adult	all	-700	-400	["Sparkes, Brian. Greek Pottery: An Introduction"]
dl-171	cp-greek	diet	Wine as Daily Beverage	Greeks drank wine mixed with water at virtually every meal, with unmixed wine considered barbaric, and quality vintages from specific islands commanding premium prices.	all	all	adult	all	-800	-146	["Dalby, Andrew. Siren Feasts"]
dl-172	cp-greek	social_customs	Panathenaic Festival	The Panathenaia celebrated Athens' patron goddess with a grand procession carrying a new peplos to the Acropolis, athletic contests, and sacrificial feasts.	all	all	all	summer	-566	-146	["Neils, Jenifer. Worshipping Athena"]
dl-173	cp-greek	clothing	Women's Peplos	Greek women wore the peplos, a heavy woolen garment folded and pinned at the shoulders with a characteristic overfold (apoptygma) at the chest.	all	female	adult	all	-800	-146	["Lee, Mireille. Body, Dress, and Identity in Ancient Greece"]
dl-174	cp-persian	housing	Persian Garden Estates	Persian elites lived in estates centered around paradise gardens (pairidaeza) with geometric layouts of trees, flowers, and water channels symbolizing cosmic order.	elite	all	all	all	-550	-330	["Stronach, David. Pasargadae"]
dl-175	cp-persian	diet	Bread and Lamb Cuisine	Persians ate flatbread baked on hot stones with roasted lamb, stews of lentils and herbs, and dried fruits including apricots and pomegranates.	all	all	all	all	-550	-330	["Curtis, John. Ancient Persia"]
dl-176	cp-persian	clothing	Persian Trousers and Tunic	Persians wore trousers with a tunic and a riding coat (kandys) draped over the shoulders, a practical outfit adapted to a horse-riding culture.	all	male	adult	all	-550	-330	["Potts, Daniel. The Archaeology of Elam"]
dl-177	cp-persian	education	Royal Court Education	Sons of Persian nobles were educated at the royal court from age five to twenty, learning riding, archery, and truthfulness as the three cardinal virtues.	elite	male	child	all	-550	-330	["Briant, Pierre. From Cyrus to Alexander"]
dl-178	cp-persian	social_customs	Nowruz New Year Festival	Persians celebrated Nowruz at the spring equinox with feasting, gift-giving, and ritual fires, a tradition predating the Achaemenid Empire and continuing to the present.	all	all	all	spring	-550	present	["Boyce, Mary. Zoroastrians: Their Religious Beliefs and Practices"]
dl-179	cp-persian	commerce	Royal Road Postal System	The Royal Road from Sardis to Susa enabled rapid communication through a relay system of mounted couriers covering 2,700 kilometers in seven days.	all	male	adult	all	-550	-330	["Briant, Pierre. From Cyrus to Alexander"]
dl-180	cp-persian	occupation	Qanat Water Engineering	Persian qanat builders (muqanni) constructed underground water channels stretching kilometers from mountain aquifers to irrigate arid agricultural lands.	common	male	adult	all	-1000	-330	["Beaumont, Peter. Qanat Systems in Iran"]
dl-181	cp-persian	law	Achaemenid Royal Law	The Achaemenid king served as supreme judge, with provincial satraps administering local justice following codified royal ordinances that guaranteed due process.	all	all	adult	all	-550	-330	["Briant, Pierre. From Cyrus to Alexander"]
dl-182	cp-persian	recreation	Royal Hunting Parks	Persian kings and nobles hunted in enclosed game parks (paradises) stocked with lions, boar, and deer, with hunting serving as military training and royal display.	elite	male	adult	all	-550	-330	["Briant, Pierre. From Cyrus to Alexander"]
dl-183	cp-persian	hygiene	Ritual Purity Laws	Zoroastrian Persians observed strict purity laws, avoiding contamination of water and earth, and performing ritual ablutions before prayer.	all	all	all	all	-550	-330	["Boyce, Mary. Zoroastrians: Their Religious Beliefs and Practices"]
dl-184	cp-persian	transportation	Horse Relay Stations	The Achaemenid Empire maintained a network of relay stations (chapar khaneh) where fresh horses were available for royal messengers and official travelers.	all	male	adult	all	-550	-330	["Briant, Pierre. From Cyrus to Alexander"]
dl-185	cp-persian	timekeeping	Zoroastrian Calendar	Persians used a solar calendar of twelve 30-day months plus five extra days, with each day and month named after a Zoroastrian deity.	priestly	all	all	all	-550	-330	["Boyce, Mary. Zoroastrians: Their Religious Beliefs and Practices"]
dl-186	cp-persian	diet	Wine Consumption	Persians were noted for their fondness for wine, with elite banquets featuring extensive wine consumption and deliberation of important matters repeated both drunk and sober.	elite	all	adult	all	-550	-330	["Briant, Pierre. From Cyrus to Alexander"]
dl-187	cp-persian	housing	Mudbrick Village Houses	Persian commoners lived in flat-roofed mudbrick houses clustered in villages near agricultural land, with thick walls providing insulation from extreme temperatures.	common	all	all	all	-550	-330	["Curtis, John. Ancient Persia"]
dl-188	cp-persian	social_customs	Truthfulness as Supreme Virtue	Persians considered lying the greatest sin, training children from age five to speak truth, and punishing deceit more severely than most other offenses.	all	all	all	all	-550	-330	["Briant, Pierre. From Cyrus to Alexander"]
dl-189	cp-babylonian	housing	Mesopotamian Courtyard Houses	Babylonian city dwellers lived in multi-room houses built around a central courtyard, with thick mudbrick walls providing insulation from the intense heat.	common	all	all	all	-1894	-539	["Van De Mieroop, Marc. The Ancient Mesopotamian City"]
dl-190	cp-babylonian	diet	Babylonian Beer Varieties	Babylonians brewed over twenty varieties of beer from barley and emmer wheat, consumed daily through reed straws with specific types prescribed for religious offerings.	all	all	all	all	-1894	-539	["Nemet-Nejat, Karen. Daily Life in Ancient Mesopotamia"]
dl-191	cp-babylonian	law	Code of Hammurabi	Hammurabi's law code prescribed specific penalties for offenses organized by social class, with punishments ranging from fines to death depending on the status of victim and perpetrator.	all	all	adult	all	-1792	-1750	["Roth, Martha. Law Collections from Mesopotamia and Asia Minor"]
dl-192	cp-babylonian	education	Scribal Training in Cuneiform	Babylonian scribal students spent years copying lexical lists, literary texts, and mathematical problems on clay tablets, progressing from simple signs to complex compositions.	elite	male	child	all	-1894	-539	["Veldhuis, Niek. History of the Cuneiform Lexical Tradition"]
dl-193	cp-babylonian	occupation	Irrigated Date Palm Cultivation	Babylonian farmers cultivated date palms along irrigated canals, with dates serving as a primary sweetener, food staple, and key export commodity.	common	all	adult	all	-1894	-539	["Postgate, J.N. Early Mesopotamia"]
dl-194	cp-babylonian	social_customs	Divination by Extispicy	Babylonian diviners (baru priests) read the future by examining the entrails of sacrificed sheep, particularly the liver, before making important decisions.	priestly	male	adult	all	-1894	-539	["Koch-Westenholz, Ulla. Mesopotamian Astrology"]
dl-195	cp-babylonian	commerce	Silver Shekel Standard	Babylonian trade operated on a silver shekel standard for accounting, with merchants (tamkarum) conducting long-distance trade in textiles, metals, and grain.	merchant	all	adult	all	-1894	-539	["Leemans, W.F. The Old Babylonian Merchant"]
dl-196	cp-babylonian	recreation	Music and Festival Celebrations	Babylonians celebrated religious festivals with music performed on lyres, drums, and reed pipes, accompanied by singing, dancing, and public feasting.	all	all	all	all	-1894	-539	["Kilmer, Anne. Strings and Threads"]
dl-197	cp-babylonian	hygiene	Ritual Handwashing	Babylonians performed ritual handwashing before meals and religious ceremonies, with elaborate incantations prescribed for purification after contact with the unclean.	all	all	all	all	-1894	-539	["Nemet-Nejat, Karen. Daily Life in Ancient Mesopotamia"]
dl-198	cp-babylonian	clothing	Wool Robes and Shawls	Babylonians wore layered wool robes with fringed shawls, with textile quality and decoration reflecting social status and professional identity.	all	all	adult	all	-1894	-539	["Waetzoldt, Hartmut. Untersuchungen zur neusumerischen Textilindustrie"]
dl-199	cp-babylonian	transportation	River Boat Commerce	Babylonian goods traveled by boat along the Tigris and Euphrates rivers and canal networks, with round coracles (quffa) used for downstream transport.	merchant	all	adult	all	-1894	-539	["Postgate, J.N. Early Mesopotamia"]
dl-200	cp-babylonian	timekeeping	Babylonian Sexagesimal Time	Babylonians divided the day into twelve double-hours using a base-60 (sexagesimal) system, the ancestor of modern 60-minute hours and 60-second minutes.	priestly	all	all	all	-1894	-539	["Neugebauer, Otto. The Exact Sciences in Antiquity"]
dl-201	cp-babylonian	housing	Temple Precincts	Babylonian temples like the Esagila served as massive economic and religious complexes housing priests, scribes, and workers who managed temple lands and livestock.	priestly	all	all	all	-1894	-539	["Van De Mieroop, Marc. The Ancient Mesopotamian City"]
dl-202	cp-babylonian	social_customs	Akitu New Year Festival	The twelve-day Akitu festival in Babylon celebrated the New Year with processions of Marduk's statue, ritual combats, and the king's symbolic re-enthronement.	all	all	all	spring	-1894	-539	["Bidmead, Julye. The Akitu Festival"]
dl-203	cp-phoenician	housing	Coastal Stone Houses	Phoenician urbanites lived in multi-story stone houses with flat roofs in densely packed coastal cities like Tyre and Sidon.	common	all	all	all	-1200	-300	["Markoe, Glenn. Phoenicians"]
dl-204	cp-phoenician	diet	Mediterranean Seafood Diet	Phoenicians consumed a diet rich in fish, shellfish, olives, bread, and wine, supplemented by imported grain and fruits from their trading network.	all	all	all	all	-1200	-300	["Aubet, Maria. The Phoenicians and the West"]
dl-205	cp-phoenician	occupation	Purple Dye Production	Phoenicians extracted Tyrian purple dye from murex sea snails, crushing thousands of shells to produce small amounts of the precious dye that colored royal garments across the ancient world.	common	all	adult	all	-1500	-300	["Stieglitz, Robert. The Minoan Origin of Tyrian Purple"]
dl-206	cp-phoenician	commerce	Maritime Trading Networks	Phoenician merchants operated vast maritime trading networks across the Mediterranean, exchanging cedar wood, purple dye, glass, and metalwork for raw materials.	merchant	male	adult	summer	-1200	-300	["Aubet, Maria. The Phoenicians and the West"]
dl-207	cp-phoenician	social_customs	Tophet Child Dedication	Phoenician communities maintained tophets, sacred precincts where cremated remains of children were buried with inscribed stelae dedicating them to Tanit and Baal Hammon.	all	all	child	all	-800	-146	["Stager, Lawrence. Carthage"]
dl-208	cp-phoenician	education	Alphabetic Literacy	Phoenicians developed and spread the alphabetic writing system, with merchants and scribes trained in the 22-letter abjad used for commercial records and inscriptions.	merchant	male	child	all	-1050	-300	["Markoe, Glenn. Phoenicians"]
dl-209	cp-phoenician	transportation	Bireme Trading Vessels	Phoenician merchants sailed the Mediterranean in biremes and round-hulled cargo ships (gaulos), navigating by stars and establishing trading colonies from Spain to Lebanon.	merchant	male	adult	summer	-1200	-300	["Wachsmann, Shelley. Seagoing Ships and Seamanship in the Bronze Age Levant"]
dl-210	cp-phoenician	hygiene	Glass Production for Vessels	Phoenician craftsmen pioneered glass production using sand and natron, creating vessels used for storing perfumes, unguents, and other hygiene products.	common	male	adult	all	-900	-300	["Stern, E. Material Culture of the Land of the Bible"]
dl-211	cp-phoenician	law	Merchant Law Tribunals	Phoenician city-states maintained tribunals of merchant elders (suffetes) who adjudicated commercial disputes and regulated maritime trade agreements.	merchant	male	adult	all	-1200	-300	["Markoe, Glenn. Phoenicians"]
dl-212	cp-phoenician	recreation	Chariot Racing	Phoenician cities hosted chariot racing as entertainment, a tradition later continued and expanded in their colonial city of Carthage.	elite	male	adult	all	-800	-300	["Aubet, Maria. The Phoenicians and the West"]
dl-213	cp-phoenician	clothing	Tyrian Purple Garments	Phoenician elites wore garments dyed in shades of purple, with the deepest Tyrian purple requiring thousands of murex snails and costing more than gold by weight.	elite	all	adult	all	-1200	-300	["Reinhold, Meyer. History of Purple as a Status Symbol in Antiquity"]
dl-214	cp-phoenician	timekeeping	Lunar Month Reckoning	Phoenicians followed a lunar calendar with months beginning at the new moon, similar to other Semitic peoples, with months named for agricultural and religious events.	priestly	all	all	all	-1200	-300	["Markoe, Glenn. Phoenicians"]
dl-215	cp-celtic	housing	Celtic Roundhouses	Celtic peoples lived in roundhouses with conical thatched roofs supported by a central post, with wattle-and-daub or stone walls and a central hearth.	common	all	all	all	-800	100	["Cunliffe, Barry. The Ancient Celts"]
dl-216	cp-celtic	diet	Celtic Pork Feasting	Celts prized pork above all meats, roasting whole pigs on spits for feasts, with the champion's portion of thigh meat awarded to the greatest warrior.	all	all	adult	all	-800	100	["Green, Miranda. The Celtic World"]
dl-217	cp-celtic	clothing	Tartan Wool Cloaks	Celtic peoples wore brightly dyed wool garments including striped and checked cloaks, fastened with elaborate penannular brooches of bronze or gold.	all	all	adult	all	-800	100	["Wild, John. Textiles in Archaeology"]
dl-218	cp-celtic	social_customs	Druidic Ceremonies	Druids served as Celtic priests, judges, and scholars, conducting rituals in sacred groves involving offerings, divination, and the oral transmission of esoteric knowledge.	priestly	all	adult	all	-800	100	["Cunliffe, Barry. The Ancient Celts"]
dl-219	cp-celtic	occupation	Iron Forging and Metalwork	Celtic blacksmiths produced distinctive La Tène style metalwork including swords, torcs, and chariot fittings with flowing curvilinear designs.	common	male	adult	all	-450	100	["Megaw, Ruth and Vincent. Celtic Art"]
dl-220	cp-celtic	commerce	Oppida Market Towns	Celtic oppida served as proto-urban centers of trade and craft production, with coinage, standardized weights, and organized marketplaces.	merchant	all	adult	all	-200	-50	["Collis, John. Oppida: Earliest Towns North of the Alps"]
dl-221	cp-celtic	recreation	Cattle Raids and Feasting	Celtic recreation centered on competitive cattle raiding, elaborate feasts with drinking contests, and bardic recitation of heroic tales.	all	male	adult	all	-800	100	["Green, Miranda. The Celtic World"]
dl-222	cp-celtic	education	Druidic Oral Training	Druidic education required up to twenty years of intensive memorization of law, genealogy, mythology, and natural philosophy, entirely without writing.	priestly	male	child	all	-800	100	["Cunliffe, Barry. The Druids"]
dl-223	cp-celtic	law	Brehon Law Traditions	Celtic legal traditions relied on memorized oral codes adjudicated by druids, with compensation through honor-price and cattle fines rather than imprisonment.	all	all	adult	all	-800	500	["Kelly, Fergus. A Guide to Early Irish Law"]
dl-224	cp-celtic	hygiene	Soap Invention	Classical sources credit Celts with early soap-making, combining animal fat with plant ash to produce sapo used for hair cleansing and styling.	all	all	all	all	-300	100	["Pliny the Elder. Natural History"]
dl-225	cp-celtic	transportation	Chariot Warfare and Travel	Celtic elites traveled in two-horse war chariots with iron-rimmed wheels, used both for combat and as prestigious transport.	elite	male	adult	all	-400	100	["Cunliffe, Barry. The Ancient Celts"]
dl-226	cp-celtic	timekeeping	Coligny Calendar	The Coligny calendar, a bronze tablet found in France, reveals a Celtic lunisolar calendar tracking months and auspicious days over a five-year cycle.	priestly	all	all	all	-200	200	["Olmsted, Garrett. The Gaulish Calendar"]
dl-227	cp-celtic	housing	Hill Fort Settlements	Celtic hill forts like Maiden Castle enclosed entire communities behind massive earthwork ramparts, serving as defensive settlements and centers of power.	all	all	all	all	-800	100	["Cunliffe, Barry. Iron Age Communities in Britain"]
dl-228	cp-celtic	diet	Mead and Beer	Celts brewed ale from barley and mead from honey, consuming large quantities at feasts, with imported Mediterranean wine reserved for the highest-status gatherings.	all	all	adult	all	-800	100	["Dietler, Michael. Archaeologies of Colonialism"]
dl-229	cp-ottoman	housing	Ottoman Konak Mansions	Wealthy Ottoman families lived in konaks, multi-story wooden mansions with latticed windows (kafes) on upper floors concealing the women's quarters (haremlik).	elite	all	all	all	1299	1922	["Goodwin, Godfrey. A History of Ottoman Architecture"]
dl-230	cp-ottoman	diet	Ottoman Coffee Culture	Coffee, introduced from Yemen in the sixteenth century, became central to Ottoman social life, consumed in kahvehane (coffeehouses) that served as centers for news and debate.	all	male	adult	all	1555	1922	["Hattox, Ralph. Coffee and Coffeehouses"]
dl-231	cp-ottoman	clothing	Caftan Court Dress	Ottoman men wore layered caftans of silk and brocade, with specific colors, fabrics, and headgear (kavuk turban styles) strictly regulated by rank and profession.	all	male	adult	all	1299	1922	["Atasoy, Nurhan. Ottoman Costume"]
dl-232	cp-ottoman	education	Medrese Islamic Schools	Ottoman medreses (theological colleges) attached to mosque complexes provided free education in Islamic law, Arabic grammar, theology, and science.	all	male	child	all	1299	1922	["Zilfi, Madeline. The Politics of Piety"]
dl-233	cp-ottoman	social_customs	Hammam Social Rituals	The Ottoman hammam served as a crucial social institution, especially for women who used it as a venue for matchmaking, celebration, and community bonding.	all	female	adult	all	1299	1922	["Çagman, Filiz. The Turkish Bath"]
