id	name	region	coordinates	boundary_geometry	time_period_start	time_period_end	time_period_label	subsistence_pattern	pottery_style	burial_practices	material_culture_traits	probable_language_family	probable_haplogroups	predecessor_culture_ids	successor_culture_ids	confidence	sources	description	wikidata_qid	source_url	retrieved_at
early-dynastic-period	Early Dynastic period		{"lat":32,"lng":45.5}											["jemdet-nasr-period","uruk-period"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q716742	http://www.wikidata.org/entity/Q716742	2026-07-08T10:47:54.206Z
epi-olmec-culture	Epi-Olmec culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2527515	http://www.wikidata.org/entity/Q2527515	2026-07-08T10:47:54.206Z
epigravettian	Epigravettian															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q3589150	http://www.wikidata.org/entity/Q3589150	2026-07-08T10:47:54.206Z
erligang-culture	Erligang culture		{"lat":34.754,"lng":113.676}											["erlitou-culture"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1151593	http://www.wikidata.org/entity/Q1151593	2026-07-08T10:47:54.206Z
erlitou-culture	Erlitou culture		{"lat":34.70175833,"lng":112.69707778}												["erligang-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1051663	http://www.wikidata.org/entity/Q1051663	2026-07-08T10:47:54.206Z
erteb-lle-culture	Ertebølle culture														["funnelbeaker-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1362485	http://www.wikidata.org/entity/Q1362485	2026-07-08T10:47:54.206Z
este-culture	Este culture													["proto-villanovan-culture"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1369777	http://www.wikidata.org/entity/Q1369777	2026-07-08T10:47:54.206Z
fatyanovo-balanovo-culture	Fatyanovo–Balanovo culture														["abashevo-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1398184	http://www.wikidata.org/entity/Q1398184	2026-07-08T10:47:54.206Z
fayum-a-culture	Fayum A culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1399110	http://www.wikidata.org/entity/Q1399110	2026-07-08T10:47:54.206Z
federmesser-culture	Federmesser culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1400660	http://www.wikidata.org/entity/Q1400660	2026-07-08T10:47:54.206Z
folsom-tradition	Folsom tradition															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1257815	http://www.wikidata.org/entity/Q1257815	2026-07-08T10:47:54.206Z
fosna-hensbacka-culture	Fosna-Hensbacka culture													["ahrensburg-culture"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q599096	http://www.wikidata.org/entity/Q599096	2026-07-08T10:47:54.206Z
fremont-culture	Fremont culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1455209	http://www.wikidata.org/entity/Q1455209	2026-07-08T10:47:54.206Z
funnelbeaker-culture	Funnelbeaker culture														["globular-amphora-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q875115	http://www.wikidata.org/entity/Q875115	2026-07-08T10:47:54.206Z
gandhara-grave-culture	Gandhara grave culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2625916	http://www.wikidata.org/entity/Q2625916	2026-07-08T10:47:54.206Z
gerzeh-culture	Gerzeh culture		{"lat":29.45,"lng":31.2}											["amratian-culture"]	["naqada-iii"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q906822	http://www.wikidata.org/entity/Q906822	2026-07-08T10:47:54.206Z
ghassulian	Ghassulian		{"lat":31.86083333,"lng":35.64055556}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1521465	http://www.wikidata.org/entity/Q1521465	2026-07-08T10:47:54.206Z
glasinac-culture	Glasinac culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2612818	http://www.wikidata.org/entity/Q2612818	2026-07-08T10:47:54.206Z
globular-amphora-culture	Globular Amphora culture														["corded-ware-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q218257	http://www.wikidata.org/entity/Q218257	2026-07-08T10:47:54.206Z
golasecca-culture	Golasecca culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q690947	http://www.wikidata.org/entity/Q690947	2026-07-08T10:47:54.206Z
gravettian	Gravettian															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q756905	http://www.wikidata.org/entity/Q756905	2026-07-08T10:47:54.206Z
gumelnita-karanovo-culture	Gumelniţa–Karanovo culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2556093	http://www.wikidata.org/entity/Q2556093	2026-07-08T10:47:54.206Z
halaf-culture	Halaf culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q904998	http://www.wikidata.org/entity/Q904998	2026-07-08T10:47:54.206Z
hallstatt-culture	Hallstatt culture													["urnfield-culture"]	["la-tene-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q202165	http://www.wikidata.org/entity/Q202165	2026-07-08T10:47:54.206Z
hamangia-culture	Hamangia culture														["gumelnita-karanovo-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1509262	http://www.wikidata.org/entity/Q1509262	2026-07-08T10:47:54.206Z
hamburg-culture	Hamburg culture														["ahrensburg-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q502702	http://www.wikidata.org/entity/Q502702	2026-07-08T10:47:54.206Z
helladic-period	Helladic period															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q937774	http://www.wikidata.org/entity/Q937774	2026-07-08T10:47:54.206Z
hellenistic-civilization	Hellenistic civilization															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q913229	http://www.wikidata.org/entity/Q913229	2026-07-08T10:47:54.206Z
hemudu-culture	Hemudu culture		{"lat":29.9642,"lng":121.3444}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q948642	http://www.wikidata.org/entity/Q948642	2026-07-08T10:47:54.206Z
hoabinhian	Hoabinhian															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1621515	http://www.wikidata.org/entity/Q1621515	2026-07-08T10:47:54.206Z
hohokam	Hohokam															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1255768	http://www.wikidata.org/entity/Q1255768	2026-07-08T10:47:54.206Z
hongshan-culture	Hongshan culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1195031	http://www.wikidata.org/entity/Q1195031	2026-07-08T10:47:54.206Z
hopewell-tradition	Hopewell tradition															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1305793	http://www.wikidata.org/entity/Q1305793	2026-07-08T10:47:54.206Z
houli-culture	Houli culture														["beixin-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q601258	http://www.wikidata.org/entity/Q601258	2026-07-08T10:47:54.206Z
iberomaurusian	Iberomaurusian														["capsian-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1470903	http://www.wikidata.org/entity/Q1470903	2026-07-08T10:47:54.206Z
independence-i-culture	Independence I culture														["independence-ii-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q641154	http://www.wikidata.org/entity/Q641154	2026-07-08T10:47:54.206Z
independence-ii-culture	Independence II culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2268108	http://www.wikidata.org/entity/Q2268108	2026-07-08T10:47:54.206Z
indus-valley-civilization	Indus Valley Civilization		{"lat":27.329167,"lng":68.138889}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q42534	http://www.wikidata.org/entity/Q42534	2026-07-08T10:47:54.206Z
jastorf-culture	Jastorf culture														["przeworsk-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q500099	http://www.wikidata.org/entity/Q500099	2026-07-08T10:47:54.206Z
jemdet-nasr-period	Jemdet Nasr period		{"lat":32.71694444,"lng":44.77888889}											["uruk-period"]	["early-dynastic-period"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q428101	http://www.wikidata.org/entity/Q428101	2026-07-08T10:47:54.206Z
jomon-period	Jōmon period														["yayoi-period"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q52824	http://www.wikidata.org/entity/Q52824	2026-07-08T10:47:54.206Z
karanovo-culture	Karanovo culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1728968	http://www.wikidata.org/entity/Q1728968	2026-07-08T10:47:54.206Z
karasuk-culture	Karasuk culture													["afanasevo-culture","andronovo-culture","seima-turbino-culture","okunev-culture"]	["tashtyk-culture","tagar-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q129282	http://www.wikidata.org/entity/Q129282	2026-07-08T10:47:54.206Z
kebaran	Kebaran															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1088939	http://www.wikidata.org/entity/Q1088939	2026-07-08T10:47:54.206Z
khiamian	Khiamian													["natufian-culture"]	["yarmukian-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2498963	http://www.wikidata.org/entity/Q2498963	2026-07-08T10:47:54.206Z
khvalynsk-culture	Khvalynsk culture		{"lat":52.741254,"lng":49.551376}											["samara-culture"]	["yamnaya-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q113965	http://www.wikidata.org/entity/Q113965	2026-07-08T10:47:54.206Z
koban-culture	Koban culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q914771	http://www.wikidata.org/entity/Q914771	2026-07-08T10:47:54.206Z
kolochin-culture	Kolochin culture													["kyiv-culture"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q3919823	http://www.wikidata.org/entity/Q3919823	2026-07-08T10:47:54.206Z
komsa-culture	Komsa culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1577518	http://www.wikidata.org/entity/Q1577518	2026-07-08T10:47:54.206Z
kongemose-culture	Kongemose culture														["erteb-lle-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1781546	http://www.wikidata.org/entity/Q1781546	2026-07-08T10:47:54.206Z
koros-culture	Körös culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q739604	http://www.wikidata.org/entity/Q739604	2026-07-08T10:47:54.206Z
kulli-culture	Kulli culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1755265	http://www.wikidata.org/entity/Q1755265	2026-07-08T10:47:54.206Z
kunda-culture	Kunda culture														["narva-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1469830	http://www.wikidata.org/entity/Q1469830	2026-07-08T10:47:54.206Z
kura-araxes-culture	Kura–Araxes culture													["shulaveri-shomu-culture"]	["trialeti-vanadzor-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q169349	http://www.wikidata.org/entity/Q169349	2026-07-08T10:47:54.206Z
kyiv-culture	Kyiv culture													["zarubintsy-culture"]	["penkovka-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2732554	http://www.wikidata.org/entity/Q2732554	2026-07-08T10:47:54.206Z
la-tene-culture	La Tène culture		{"lat":47.00694444,"lng":7.02361111}											["hallstatt-culture","urnfield-culture"]	["przeworsk-culture","zarubintsy-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q208247	http://www.wikidata.org/entity/Q208247	2026-07-08T10:47:54.206Z
las-vegas-culture	Las Vegas culture		{"lat":-2.233333333,"lng":-80.866666666}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2476344	http://www.wikidata.org/entity/Q2476344	2026-07-08T10:47:54.206Z
late-antiquity	late antiquity															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q217050	http://www.wikidata.org/entity/Q217050	2026-07-08T10:47:54.206Z
lengyel-culture	Lengyel culture														["funnelbeaker-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q668742	http://www.wikidata.org/entity/Q668742	2026-07-08T10:47:54.206Z
liangzhu-culture	Liangzhu culture		{"lat":30.39556,"lng":119.990833}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1204909	http://www.wikidata.org/entity/Q1204909	2026-07-08T10:47:54.206Z
liaoning-bronze-dagger-culture	Liaoning bronze dagger culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q711949	http://www.wikidata.org/entity/Q711949	2026-07-08T10:47:54.206Z
lima-culture	Lima culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2460861	http://www.wikidata.org/entity/Q2460861	2026-07-08T10:47:54.206Z
linear-pottery-culture	Linear Pottery culture													["starcevo-koros-cris-culture"]	["cucuteni-trypillia-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q806348	http://www.wikidata.org/entity/Q806348	2026-07-08T10:47:54.206Z
longshan-culture	Longshan culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1057935	http://www.wikidata.org/entity/Q1057935	2026-07-08T10:47:54.206Z
lusatian-culture	Lusatian culture													["tumulus-culture","trzciniec-culture"]	["pomeranian-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q611017	http://www.wikidata.org/entity/Q611017	2026-07-08T10:47:54.206Z
magdalenian	Magdalenian													["solutrean"]	["ahrensburg-culture","azilian"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q693549	http://www.wikidata.org/entity/Q693549	2026-07-08T10:47:54.206Z
maglemosian-culture	Maglemosian culture														["kongemose-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q928511	http://www.wikidata.org/entity/Q928511	2026-07-08T10:47:54.206Z
majiabang-culture	Majiabang culture		{"lat":30.735934,"lng":120.71507}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1153575	http://www.wikidata.org/entity/Q1153575	2026-07-08T10:47:54.206Z
majiayao-culture	Majiayao culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1310602	http://www.wikidata.org/entity/Q1310602	2026-07-08T10:47:54.206Z
mal-ta-buret-culture	Mal'ta–Buret' culture		{"lat":52.9,"lng":103.5}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1887797	http://www.wikidata.org/entity/Q1887797	2026-07-08T10:47:54.206Z
maykop-culture	Maykop culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1257373	http://www.wikidata.org/entity/Q1257373	2026-07-08T10:47:54.206Z
merimde-culture	Merimde culture		{"lat":30.320833333,"lng":30.848888888}		-4800	-4300	4800 BCE–4300 BCE									80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1262502	http://www.wikidata.org/entity/Q1262502	2026-07-08T10:47:54.206Z
michelsberg-culture	Michelsberg culture		{"lat":49.087883,"lng":8.561572}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q570798	http://www.wikidata.org/entity/Q570798	2026-07-08T10:47:54.206Z
micoquien	Micoquien															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1759091	http://www.wikidata.org/entity/Q1759091	2026-07-08T10:47:54.206Z
milograd-culture	Milograd culture													["trzciniec-culture"]	["zarubintsy-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2446445	http://www.wikidata.org/entity/Q2446445	2026-07-08T10:47:54.206Z
minoan-civilization	Minoan civilization		{"lat":35.309722,"lng":24.893333}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q134178	http://www.wikidata.org/entity/Q134178	2026-07-08T10:47:54.206Z
mississippian-culture	Mississippian culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1052095	http://www.wikidata.org/entity/Q1052095	2026-07-08T10:47:54.206Z
moche-culture	Moche culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q208188	http://www.wikidata.org/entity/Q208188	2026-07-08T10:47:54.206Z
mogollon-culture	Mogollon culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1500702	http://www.wikidata.org/entity/Q1500702	2026-07-08T10:47:54.206Z
monte-alto-culture	Monte Alto culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q212080	http://www.wikidata.org/entity/Q212080	2026-07-08T10:47:54.206Z
mousterian	Mousterian													["acheulean"]	["baradostian-culture","chatelperronian"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q259118	http://www.wikidata.org/entity/Q259118	2026-07-08T10:47:54.206Z
mycenaean-greece-culture	Mycenaean Greece															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q181264	http://www.wikidata.org/entity/Q181264	2026-07-08T10:47:54.206Z
naqada-culture	Naqada culture		{"lat":25.95,"lng":32.733333}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q753391	http://www.wikidata.org/entity/Q753391	2026-07-08T10:47:54.206Z
naqada-iii	Naqada III													["gerzeh-culture"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q721840	http://www.wikidata.org/entity/Q721840	2026-07-08T10:47:54.206Z
narva-culture	Narva culture													["kunda-culture"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q181459	http://www.wikidata.org/entity/Q181459	2026-07-08T10:47:54.206Z
natufian-culture	Natufian culture														["khiamian"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q733489	http://www.wikidata.org/entity/Q733489	2026-07-08T10:47:54.206Z
nazca-culture	Nazca culture		{"lat":-14.71666667,"lng":-75.13333333}											["paracas-culture"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q210570	http://www.wikidata.org/entity/Q210570	2026-07-08T10:47:54.206Z
neman-culture	Neman culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2073418	http://www.wikidata.org/entity/Q2073418	2026-07-08T10:47:54.206Z
neolithic-greece	Neolithic Greece															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q16737804	http://www.wikidata.org/entity/Q16737804	2026-07-08T10:47:54.206Z
nok-culture	Nok culture		{"lat":9.503,"lng":8.016}		-1500		from 1500 BCE									80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q927291	http://www.wikidata.org/entity/Q927291	2026-07-08T10:47:54.206Z
northern-black-polished-ware	Northern Black Polished Ware															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2495995	http://www.wikidata.org/entity/Q2495995	2026-07-08T10:47:54.206Z
nuragic-civilization	Nuragic civilization															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1421436	http://www.wikidata.org/entity/Q1421436	2026-07-08T10:47:54.206Z
ochre-coloured-pottery-culture	Ochre Coloured Pottery culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2663163	http://www.wikidata.org/entity/Q2663163	2026-07-08T10:47:54.206Z
oksywie-culture	Oksywie culture														["wielbark-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1814141	http://www.wikidata.org/entity/Q1814141	2026-07-08T10:47:54.206Z
okunev-culture	Okunev culture														["karasuk-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2632835	http://www.wikidata.org/entity/Q2632835	2026-07-08T10:47:54.206Z
old-europe	Old Europe															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1241067	http://www.wikidata.org/entity/Q1241067	2026-07-08T10:47:54.206Z
oldowan	Oldowan		{"lat":36.200942,"lng":5.654383}												["acheulean"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q746287	http://www.wikidata.org/entity/Q746287	2026-07-08T10:47:54.206Z
omari-culture	Omari culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2023168	http://www.wikidata.org/entity/Q2023168	2026-07-08T10:47:54.206Z
ordos-culture	Ordos culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q127455	http://www.wikidata.org/entity/Q127455	2026-07-08T10:47:54.206Z
ozieri-culture	Ozieri culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1473758	http://www.wikidata.org/entity/Q1473758	2026-07-08T10:47:54.206Z
painted-grey-ware-culture	Painted Grey Ware culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2525293	http://www.wikidata.org/entity/Q2525293	2026-07-08T10:47:54.206Z
paracas-culture	Paracas culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1127723	http://www.wikidata.org/entity/Q1127723	2026-07-08T10:47:54.206Z
pazyryk-culture	Pazyryk culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q917982	http://www.wikidata.org/entity/Q917982	2026-07-08T10:47:54.206Z
peiligang-culture	Peiligang culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1193609	http://www.wikidata.org/entity/Q1193609	2026-07-08T10:47:54.206Z
pengtoushan-culture	Pengtoushan culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1205679	http://www.wikidata.org/entity/Q1205679	2026-07-08T10:47:54.206Z
penkovka-culture	Penkovka culture													["chernyakhov-culture"]	["saltovo-mayaki"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2994546	http://www.wikidata.org/entity/Q2994546	2026-07-08T10:47:54.206Z
perigordian	Périgordian															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q652622	http://www.wikidata.org/entity/Q652622	2026-07-08T10:47:54.206Z
phrygians	Phrygians															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q149386	http://www.wikidata.org/entity/Q149386	2026-07-08T10:47:54.206Z
pitted-ware-culture	Pitted Ware culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1551765	http://www.wikidata.org/entity/Q1551765	2026-07-08T10:47:54.206Z
polada-culture	Polada culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2347305	http://www.wikidata.org/entity/Q2347305	2026-07-08T10:47:54.206Z
poltavka-culture	Poltavka culture													["yamnaya-culture"]	["srubnaya-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1757895	http://www.wikidata.org/entity/Q1757895	2026-07-08T10:47:54.206Z
pomeranian-culture	Pomeranian culture													["lusatian-culture"]	["przeworsk-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q972472	http://www.wikidata.org/entity/Q972472	2026-07-08T10:47:54.206Z
prague-culture	Prague culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2995116	http://www.wikidata.org/entity/Q2995116	2026-07-08T10:47:54.206Z
proto-villanovan-culture	Proto-Villanovan culture				-1199	-900	1199 BCE–900 BCE								["villanovan-culture","culture","este-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2588933	http://www.wikidata.org/entity/Q2588933	2026-07-08T10:47:54.206Z
przeworsk-culture	Przeworsk culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1423912	http://www.wikidata.org/entity/Q1423912	2026-07-08T10:47:54.206Z
qijia-culture	Qijia culture													["majiayao-culture"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1269223	http://www.wikidata.org/entity/Q1269223	2026-07-08T10:47:54.206Z
quimbaya-civilization	Quimbaya civilization															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q958351	http://www.wikidata.org/entity/Q958351	2026-07-08T10:47:54.206Z
qujialing-culture	Qujialing culture													["daxi-culture"]	["shijiahe-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1153210	http://www.wikidata.org/entity/Q1153210	2026-07-08T10:47:54.206Z
rossen-culture	Rössen culture														["funnelbeaker-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1886212	http://www.wikidata.org/entity/Q1886212	2026-07-08T10:47:54.206Z
rzucewo-culture	Rzucewo culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q4181995	http://www.wikidata.org/entity/Q4181995	2026-07-08T10:47:54.206Z
sa-huynh-culture	Sa Huỳnh culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2000186	http://www.wikidata.org/entity/Q2000186	2026-07-08T10:47:54.206Z
saladoid	Saladoid															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q4405634	http://www.wikidata.org/entity/Q4405634	2026-07-08T10:47:54.206Z
saltovo-mayaki	Saltovo-Mayaki													["penkovka-culture"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1987770	http://www.wikidata.org/entity/Q1987770	2026-07-08T10:47:54.206Z
samara-culture	Samara culture														["khvalynsk-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q80641	http://www.wikidata.org/entity/Q80641	2026-07-08T10:47:54.206Z
samarra-culture	Samarra culture														["ubaid-period"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1502858	http://www.wikidata.org/entity/Q1502858	2026-07-08T10:47:54.206Z
san-agustan-culture	San Agustan culture		{"lat":1.9,"lng":-76.283333333}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1932509	http://www.wikidata.org/entity/Q1932509	2026-07-08T10:47:54.206Z
sangoan	Sangoan															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q969405	http://www.wikidata.org/entity/Q969405	2026-07-08T10:47:54.206Z
sao-civilization	Sao civilization															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q500502	http://www.wikidata.org/entity/Q500502	2026-07-08T10:47:54.206Z
saqqaq-culture	Saqqaq culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q666758	http://www.wikidata.org/entity/Q666758	2026-07-08T10:47:54.206Z
sauveterrian	Sauveterrian															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2985529	http://www.wikidata.org/entity/Q2985529	2026-07-08T10:47:54.206Z
seima-turbino-culture	Seima-Turbino culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2409967	http://www.wikidata.org/entity/Q2409967	2026-07-08T10:47:54.206Z
serednii-stih-culture	Serednii Stih culture														["yamnaya-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q604100	http://www.wikidata.org/entity/Q604100	2026-07-08T10:47:54.206Z
shijiahe-culture	Shijiahe culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q125936	http://www.wikidata.org/entity/Q125936	2026-07-08T10:47:54.206Z
shulaveri-shomu-culture	Shulaveri-Shomu culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q4246675	http://www.wikidata.org/entity/Q4246675	2026-07-08T10:47:54.206Z
sican-culture	Sican culture					1375	until 1375 CE									80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q175801	http://www.wikidata.org/entity/Q175801	2026-07-08T10:47:54.206Z
sintashta-culture	Sintashta culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q656393	http://www.wikidata.org/entity/Q656393	2026-07-08T10:47:54.206Z
slab-grave-culture	Slab Grave culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2098731	http://www.wikidata.org/entity/Q2098731	2026-07-08T10:47:54.206Z
soanian	Soanian															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2995537	http://www.wikidata.org/entity/Q2995537	2026-07-08T10:47:54.206Z
solutrean	Solutrean													["aurignacian"]	["magdalenian"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1121344	http://www.wikidata.org/entity/Q1121344	2026-07-08T10:47:54.206Z
srubnaya-culture	Srubnaya culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1470165	http://www.wikidata.org/entity/Q1470165	2026-07-08T10:47:54.206Z
starcevo-culture	Starčevo culture														["vinca-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1483547	http://www.wikidata.org/entity/Q1483547	2026-07-08T10:47:54.206Z
