id	language_id	verb_concept	infinitive_form	conjugation_table	irregular	complexity_score	notes
vp058	swa	to be	kuwa	{"present":{"1sg":"ni","2sg":"u","3sg":"a/yu","1pl":"tu","2pl":"m","3pl":"wa"},"past":{"1sg":"nilikuwa","2sg":"ulikuwa","3sg":"alikuwa","1pl":"tulikuwa","2pl":"mlikuwa","3pl":"walikuwa"},"future":{"1sg":"nitakuwa","2sg":"utakuwa","3sg":"atakuwa","1pl":"tutakuwa","2pl":"mtakuwa","3pl":"watakuwa"}}	false	18	Subject prefixes (ni/u/a/tu/m/wa) + tense markers (li past, na present, ta future) + verb stem
vp059	swa	to go	kwenda	{"present":{"1sg":"ninaenda","2sg":"unaenda","3sg":"anaenda","1pl":"tunaenda","2pl":"mnaenda","3pl":"wanaenda"},"past":{"1sg":"nilienda","2sg":"ulienda","3sg":"alienda","1pl":"tulienda","2pl":"mlienda","3pl":"walienda"},"future":{"1sg":"nitaenda","2sg":"utaenda","3sg":"ataenda","1pl":"tutaenda","2pl":"mtaenda","3pl":"wataenda"}}	false	18	Regular agglutinative: subject prefix + tense marker + verb root -enda
vp060	swa	to give	kupa	{"present":{"1sg":"ninapa","2sg":"unapa","3sg":"anapa","1pl":"tunapa","2pl":"mnapa","3pl":"wanapa"},"past":{"1sg":"nilipa","2sg":"ulipa","3sg":"alipa","1pl":"tulipa","2pl":"mlipa","3pl":"walipa"},"future":{"1sg":"nitapa","2sg":"utapa","3sg":"atapa","1pl":"tutapa","2pl":"mtapa","3pl":"watapa"},"applicative":"kupea"}	false	18	Regular Bantu agglutinative pattern; applicative adds benefactive meaning
vp061	kat	to be	ყოფნა	{"present":{"1sg":"ვარ","2sg":"ხარ","3sg":"არის","1pl":"ვართ","2pl":"ხართ","3pl":"არიან"},"past":{"1sg":"ვიყავი","2sg":"იყავი","3sg":"იყო","1pl":"ვიყავით","2pl":"იყავით","3pl":"იყვნენ"},"future":{"1sg":"ვიქნები","2sg":"იქნები","3sg":"იქნება","1pl":"ვიქნებით","2pl":"იქნებით","3pl":"იქნებიან"}}	true	12	Suppletive stems: არ-/იყ-/იქნ-; Georgian has polypersonal agreement
vp062	kat	to give	მიცემა	{"present":{"1sg>3sg":"ვაძლევ","2sg>3sg":"აძლევ","3sg>3sg":"აძლევს","1pl>3sg":"ვაძლევთ","2pl>3sg":"აძლევთ","3pl>3sg":"აძლევენ"},"aorist":{"1sg>3sg":"მივეცი","2sg>3sg":"მიეცი","3sg>3sg":"მისცა","1pl>3sg":"მივეცით","2pl>3sg":"მიეცით","3pl>3sg":"მისცეს"}}	true	18	Polypersonal: verb marks both subject and object; preverb მი- indicates direction
vp063	ell	to be	είμαι	{"present":{"1sg":"είμαι","2sg":"είσαι","3sg":"είναι","1pl":"είμαστε","2pl":"είστε","3pl":"είναι"},"past":{"1sg":"ήμουν","2sg":"ήσουν","3sg":"ήταν","1pl":"ήμασταν","2pl":"ήσασταν","3pl":"ήταν"}}	true	6	Only 2 tenses for copula; no infinitive in Modern Greek; 1sg=3pl syncretism in present
vp064	ell	to go	πηγαίνω	{"present":{"1sg":"πηγαίνω","2sg":"πηγαίνεις","3sg":"πηγαίνει","1pl":"πηγαίνουμε","2pl":"πηγαίνετε","3pl":"πηγαίνουν"},"past_simple":{"1sg":"πήγα","2sg":"πήγες","3sg":"πήγε","1pl":"πήγαμε","2pl":"πήγατε","3pl":"πήγαν"},"future":"θα πάω/πηγαίνω","subjunctive":"να πάω/πηγαίνω"}	true	8	Suppletive stems: πηγαιν-/πα-; θα + subjunctive forms the future
vp065	nld	to be	zijn	{"present":{"1sg":"ben","2sg":"bent","3sg":"is","1pl":"zijn","2pl":"zijn","3pl":"zijn"},"past":{"1sg":"was","2sg":"was","3sg":"was","1pl":"waren","2pl":"waren","3pl":"waren"},"subjunctive":{"present":"zij","past":"ware"}}	true	8	Suppletive: ben/is/zijn/was; similar pattern to English and German
vp066	nld	to give	geven	{"present":{"1sg":"geef","2sg":"geeft","3sg":"geeft","1pl":"geven","2pl":"geven","3pl":"geven"},"past":{"1sg":"gaf","2sg":"gaf","3sg":"gaf","1pl":"gaven","2pl":"gaven","3pl":"gaven"}}	false	6	Strong verb with ablaut: geef/gaf/gegeven
vp067	swe	to be	vara	{"present":{"common":"är"},"past":{"common":"var"},"subjunctive":{"present":"vore"},"imperative":"var"}	true	4	Single form for all persons in each tense; no person marking
vp068	swe	to go	gå	{"present":{"common":"går"},"past":{"common":"gick"},"supine":"gått","imperative":"gå"}	true	4	Strong verb with ablaut; no person marking in modern Swedish
vp069	swe	to give	ge	{"present":{"common":"ger"},"past":{"common":"gav"},"supine":"gett","imperative":"ge"}	true	4	Strong verb; no person conjugation
vp070	isl	to be	vera	{"present":{"1sg":"er","2sg":"ert","3sg":"er","1pl":"erum","2pl":"eruð","3pl":"eru"},"past":{"1sg":"var","2sg":"varst","3sg":"var","1pl":"vorum","2pl":"voruð","3pl":"voru"},"subjunctive_present":{"1sg":"sé","2sg":"sért","3sg":"sé","1pl":"séum","2pl":"séuð","3pl":"séu"}}	true	18	Retains full person/number paradigm unlike other Scandinavian languages; suppletive er/var/sé
vp071	ron	to be	a fi	{"present":{"1sg":"sunt","2sg":"ești","3sg":"este","1pl":"suntem","2pl":"sunteți","3pl":"sunt"},"imperfect":{"1sg":"eram","2sg":"erai","3sg":"era","1pl":"eram","2pl":"erați","3pl":"erau"},"perfect_simple":{"1sg":"fui","2sg":"fuși","3sg":"fu","1pl":"furăm","2pl":"furăți","3pl":"fură"}}	true	18	Preserves Latin sum/eram/fui pattern; only Romance language with full case system
vp072	ces	to be	být	{"present":{"1sg":"jsem","2sg":"jsi","3sg":"je","1pl":"jsme","2pl":"jste","3pl":"jsou"},"past":{"m_sg":"byl","f_sg":"byla","n_sg":"bylo","m_pl":"byli","f_pl":"byly"},"future":{"1sg":"budu","2sg":"budeš","3sg":"bude","1pl":"budeme","2pl":"budete","3pl":"budou"}}	true	12	Past tense uses l-participle + auxiliary; past marks gender not person
vp073	bul	to be	съм	{"present":{"1sg":"съм","2sg":"си","3sg":"е","1pl":"сме","2pl":"сте","3pl":"са"},"imperfect":{"1sg":"бях","2sg":"беше","3sg":"беше","1pl":"бяхме","2pl":"бяхте","3pl":"бяха"},"aorist":{"1sg":"бих","2sg":"би","3sg":"би","1pl":"бихме","2pl":"бихте","3pl":"биха"}}	true	12	Renarrated mood uses special forms; Bulgarian lost case system but gained definite articles
vp074	ukr	to be	бути	{"present":{"common":"є"},"past":{"m":"був","f":"була","n":"було","pl":"були"},"future":{"1sg":"буду","2sg":"будеш","3sg":"буде","1pl":"будемо","2pl":"будете","3pl":"будуть"}}	true	8	Single present form є for all persons; past marks gender; future marks person
vp075	lit	to be	būti	{"present":{"1sg":"esu","2sg":"esi","3sg":"yra","1pl":"esame","2pl":"esate","3pl":"yra"},"past":{"1sg":"buvau","2sg":"buvai","3sg":"buvo","1pl":"buvome","2pl":"buvote","3pl":"buvo"},"future":{"1sg":"būsiu","2sg":"būsi","3sg":"bus","1pl":"būsime","2pl":"būsite","3pl":"bus"}}	true	12	Archaic Baltic forms: esu cognate with Latin sum and Sanskrit asmi; 3sg yra unique to Lithuanian
vp076	lav	to be	būt	{"present":{"1sg":"esmu","2sg":"esi","3sg":"ir","1pl":"esam","2pl":"esat","3pl":"ir"},"past":{"1sg":"biju","2sg":"biji","3sg":"bija","1pl":"bijām","2pl":"bijāt","3pl":"bija"},"future":{"1sg":"būšu","2sg":"būsi","3sg":"būs","1pl":"būsim","2pl":"būsiet","3pl":"būs"}}	true	12	Present esmu cognate with Sanskrit asmi; 3sg ir for all numbers
vp077	hye	to be	լինել	{"present":{"1sg":"եմ","2sg":"ես","3sg":"է","1pl":"ենք","2pl":"եք","3pl":"են"},"past":{"1sg":"էի","2sg":"էիր","3sg":"էր","1pl":"էինք","2pl":"էիք","3pl":"էին"},"future":{"1sg":"կլինեմ","2sg":"կլինես","3sg":"կլինի","1pl":"կլինենք","2pl":"կլինեք","3pl":"կլինեն"}}	true	8	Auxiliary verb; present forms also used as copula suffixes; Western/Eastern Armenian differ
vp078	amh	to be	መሆን	{"present":{"1sg":"ነኝ","2sg_m":"ነህ","2sg_f":"ነሽ","3sg_m":"ነው","3sg_f":"ናት","1pl":"ነን","2pl":"ናችሁ","3pl":"ናቸው"},"past":{"1sg":"ነበርኩ","2sg_m":"ነበርክ","2sg_f":"ነበርሽ","3sg_m":"ነበር","3sg_f":"ነበረች","1pl":"ነበርን","2pl":"ነበራችሁ","3pl":"ነበሩ"}}	true	16	Two copulas: ነ- (equative) and አለ (existential); gender distinguished in 2nd and 3rd person
vp079	pes	to be	بودن	{"present":{"1sg":"هستم","2sg":"هستی","3sg":"هست/است","1pl":"هستیم","2pl":"هستید","3pl":"هستند"},"past":{"1sg":"بودم","2sg":"بودی","3sg":"بود","1pl":"بودیم","2pl":"بودید","3pl":"بودند"}}	true	12	3sg است usually cliticized; no gender marking; regular person suffixes
vp080	pes	to go	رفتن	{"present":{"1sg":"می‌روم","2sg":"می‌روی","3sg":"می‌رود","1pl":"می‌رویم","2pl":"می‌روید","3pl":"می‌روند"},"past":{"1sg":"رفتم","2sg":"رفتی","3sg":"رفت","1pl":"رفتیم","2pl":"رفتید","3pl":"رفتند"},"subjunctive":{"1sg":"بروم","2sg":"بروی","3sg":"برود","1pl":"برویم","2pl":"بروید","3pl":"بروند"}}	false	12	Two stems: رو- (present) / رفت- (past); prefix می- for indicative, ب- for subjunctive
vp081	pes	to give	دادن	{"present":{"1sg":"می‌دهم","2sg":"می‌دهی","3sg":"می‌دهد","1pl":"می‌دهیم","2pl":"می‌دهید","3pl":"می‌دهند"},"past":{"1sg":"دادم","2sg":"دادی","3sg":"داد","1pl":"دادیم","2pl":"دادید","3pl":"دادند"}}	false	12	Two stems: ده- (present) / داد- (past); cognate with Sanskrit दा, Latin dare
vp082	eus	to be	izan	{"present":{"1sg":"naiz","2sg_familiar":"haiz","3sg":"da","1pl":"gara","2pl":"zarete","3pl":"dira"},"past":{"1sg":"nintzen","2sg_familiar":"hintzen","3sg":"zen","1pl":"ginen","2pl":"zineten","3pl":"ziren"}}	true	12	Basque: language isolate; ergative-absolutive alignment; auxiliary carries agreement
vp083	eus	to give	eman	{"present_aux":{"1sg>3sg":"diot","2sg>3sg":"diozu","3sg>3sg":"dio","1pl>3sg":"diogu","2pl>3sg":"diozue","3pl>3sg":"diote"},"past_aux":{"1sg>3sg":"nion","2sg>3sg":"zenion","3sg>3sg":"zion","1pl>3sg":"genion","2pl>3sg":"zenion","3pl>3sg":"zioten"}}	true	36	Polypersonal: auxiliary marks ergative (agent), absolutive (patient), and dative (recipient); up to 3 agreement slots
vp084	moh	to be	-nhe	{"stative":{"1sg":"knhe","2sg":"snhe","3sg_m":"ronhe","3sg_f":"konhe","1du_excl":"iaknhe","1du_incl":"tenhnhe","3du_m":"ronhnhe","1pl_excl":"iakwanhe","1pl_incl":"tewanhe","3pl_m":"ratinhe","3pl_f":"kontínhe"}}	true	11	Polysynthetic; pronominal prefixes mark person/number/gender/inclusivity; no separate pronouns needed
vp085	moh	to give	-awi	{"factual":{"1sg>3sg":"kawi","2sg>3sg":"sawi","3sg>3sg":"rawi","1du_incl>3sg":"teniawi","1pl_excl>3sg":"iakwawi"},"future":{"1sg>3sg":"enk awi","2sg>3sg":"ens awi","3sg>3sg":"enr awi"}}	true	20	Polysynthetic: agreement prefixes for subject and object incorporated into verb complex
vp086	ikt	to go	-aq-	{"present":{"1sg":"aiqtunga","2sg":"aiqtutit","3sg":"aiqtuq","1du":"aiqtuguk","3du":"aiqtuuk","1pl":"aiqtugut","2pl":"aiqtusi","3pl":"aiqtut"}}	true	16	Polysynthetic; extensive suffixation for tense, mood, person; dual number preserved
vp087	ain	to be	アン	{"polite":{"1sg":"ク アン","2sg":"エ アン","3sg":"アン"},"past":{"1sg":"ク アン ルウェ","2sg":"エ アン ルウェ","3sg":"アン ルウェ"}}	false	4	Ainu: language isolate; minimal morphological complexity for 'to be'; person marked by separate pronouns
vp088	tha	to be	เป็น	{"statement":"เป็น","negation":"ไม่เป็น","past":"เป็นแล้ว","question":"เป็นไหม"}	false	2	Isolating: no inflection; เป็น for identity, อยู่ for location, มี for existence
vp089	tha	to go	ไป	{"statement":"ไป","negation":"ไม่ไป","past":"ไปแล้ว","future":"จะไป","progressive":"กำลังไป"}	false	3	Invariable; aspect/tense by particles: แล้ว (completed), จะ (future), กำลัง (progressive)
vp090	tha	to give	ให้	{"statement":"ให้","negation":"ไม่ให้","past":"ให้แล้ว","future":"จะให้"}	false	2	Invariable; also used as causative marker and complementizer
vp091	msa	to go	pergi	{"base":"pergi","progressive":"sedang pergi","completed":"sudah pergi","future":"akan pergi","negation":"tidak pergi"}	false	3	Isolating/agglutinative; no person conjugation; tense by auxiliary words
vp092	msa	to give	beri	{"active":"memberi","passive":"diberi","base":"beri","completed":"sudah memberi","future":"akan memberi","benefactive":"memberikan"}	false	4	Voice marked by prefixes: meN- (active), di- (passive); -kan suffix for benefactive
vp093	tgl	to give	bigay	{"completed_actor":{"1sg":"nagbigay ako","2sg":"nagbigay ka","3sg":"nagbigay siya"},"completed_object":"binigay","completed_benefactive":"ibinigay","contemplated_actor":"magbibigay","contemplated_object":"bibigyan"}	false	8	Austronesian voice system: actor-focus (nag-), object-focus (in-), benefactive-focus (i-in-)
vp094	tgl	to go	punta	{"completed_actor":"pumunta","incompleted_actor":"pumupunta","contemplated_actor":"pupunta","completed_locative":"pinuntahan","imperative":"pumunta ka"}	false	6	Infixation: -um- infix for actor focus; reduplication for aspect
