id	language_id	family_id	geometry	range_type	time_period_start	time_period_end	time_period_label	confidence	sources	notes
kor-modern-range	kor	koreanic__korean	{"type":"Polygon","coordinates":[[[124,33],[124,43],[131,43],[131,33],[124,33]]]}	current	500	null	Modern Korean (500 CE - Present)	94	["Census data"]	Korean-speaking Korean Peninsula
tha-modern-range	tha	kra_dai__tai	{"type":"Polygon","coordinates":[[[97,5],[97,21],[106,21],[106,5],[97,5]]]}	current	1200	null	Modern Thai (1200 CE - Present)	92	["Census data"]	Thai-speaking Thailand
lao-modern-range	lao	kra_dai__tai	{"type":"Polygon","coordinates":[[[100,14],[100,23],[108,23],[108,14],[100,14]]]}	current	1300	null	Modern Lao (1300 CE - Present)	88	["Census data"]	Lao-speaking Laos
vie-modern-range	vie	austroasiatic__vietic	{"type":"Polygon","coordinates":[[[102,8],[102,23],[110,23],[110,8],[102,8]]]}	current	900	null	Modern Vietnamese (900 CE - Present)	92	["Census data"]	Vietnamese-speaking Vietnam
khm-modern-range	khm	austroasiatic__khmer	{"type":"Polygon","coordinates":[[[102,10],[102,15],[108,15],[108,10],[102,10]]]}	current	600	null	Modern Khmer (600 CE - Present)	88	["Census data"]	Khmer-speaking Cambodia
khm-angkor-range	khm	austroasiatic__khmer	{"type":"Polygon","coordinates":[[[100,8],[100,18],[110,18],[110,8],[100,8]]]}	historical	802	1431	Khmer - Angkor Empire (802-1431 CE)	75	["Archaeological evidence","Inscriptions"]	Khmer during Angkor Empire peak extent
quz-inca-range	quz	quechuan__quechua_ii_c_southern	{"type":"Polygon","coordinates":[[[-82,-37],[-82,2],[-68,2],[-68,-37],[-82,-37]]]}	historical	1438	1533	Quechua - Inca Empire (1438-1533 CE)	80	["Spanish colonial records","Archaeological evidence"]	Quechua as lingua franca of the Inca Empire
quz-modern-range	quz	quechuan__quechua_ii_c_southern	{"type":"Polygon","coordinates":[[[-78,-22],[-78,-8],[-65,-8],[-65,-22],[-78,-22]]]}	current	1533	null	Modern Southern Quechua (1533 CE - Present)	82	["Census data"]	Modern Quechua-speaking Andes
aym-modern-range	aym	aymaran__southern_aymaran	{"type":"Polygon","coordinates":[[[-70,-22],[-70,-14],[-64,-14],[-64,-22],[-70,-22]]]}	current	1000	null	Modern Aymara (1000 CE - Present)	82	["Census data"]	Aymara-speaking Bolivia and Peru
nah-aztec-range	nah	uto_aztecan__nahuan	{"type":"Polygon","coordinates":[[[-105,15],[-105,22],[-96,22],[-96,15],[-105,15]]]}	historical	1325	1521	Nahuatl - Aztec Empire (1325-1521 CE)	80	["Spanish colonial records","Codices"]	Nahuatl as language of Aztec Empire
nah-modern-range	nah	uto_aztecan__nahuan	{"type":"Polygon","coordinates":[[[-100,17],[-100,21],[-96,21],[-96,17],[-100,17]]]}	current	1521	null	Modern Nahuatl (1521 CE - Present)	78	["Census data","Ethnologue"]	Modern Nahuatl-speaking communities in central Mexico
eus-modern-range	eus	basque__basque	{"type":"Polygon","coordinates":[[[-3,42.5],[-3,43.5],[0,43.5],[0,42.5],[-3,42.5]]]}	current	-500	null	Basque (500 BCE - Present)	88	["Census data","Historical records"]	Basque-speaking Basque Country (Spain and France)
kat-modern-range	kat	kartvelian__georgian_zan	{"type":"Polygon","coordinates":[[[40,41],[40,43.5],[46.5,43.5],[46.5,41],[40,41]]]}	current	500	null	Modern Georgian (500 CE - Present)	90	["Census data"]	Georgian-speaking Georgia
pbu-pashto-range	pbu	indo_european__iranian	{"type":"Polygon","coordinates":[[[62,29],[62,37],[72,37],[72,29],[62,29]]]}	current	1000	null	Modern Pashto (1000 CE - Present)	82	["Census data"]	Pashto-speaking Afghanistan and Pakistan
mww-hmong-range	mww	hmong_mien__hmongic	{"type":"Polygon","coordinates":[[[100,18],[100,30],[110,30],[110,18],[100,18]]]}	current	-500	null	Hmong (500 BCE - Present)	70	["Ethnologue","Historical records"]	Hmong-speaking southern China, Vietnam, Laos, Thailand
ain-ainu-range	ain	ainu__hokkaido_kuril_ainu	{"type":"Polygon","coordinates":[[[139,41],[139,46],[146,46],[146,41],[139,41]]]}	historical	-500	1900	Ainu (500 BCE - 1900 CE)	65	["Historical records","Ethnographic studies"]	Ainu-speaking Hokkaido and Kuril Islands
oji-ojibwe-range	oji	algic__central_algonquian	{"type":"Polygon","coordinates":[[[-97,43],[-97,53],[-75,53],[-75,43],[-97,43]]]}	current	-500	null	Ojibwe (500 BCE - Present)	72	["Ethnologue","Historical records"]	Ojibwe-speaking Great Lakes region
cre-cree-range	cre	algic__central_algonquian	{"type":"Polygon","coordinates":[[[-120,49],[-120,60],[-75,60],[-75,49],[-120,49]]]}	current	-500	null	Cree (500 BCE - Present)	70	["Ethnologue","Census data"]	Cree-speaking central and eastern Canada
chy-cheyenne-range	chy	algic__plains_algonquian	{"type":"Polygon","coordinates":[[[-110,37],[-110,48],[-98,48],[-98,37],[-110,37]]]}	historical	1500	1870	Cheyenne - Plains Period (1500-1870 CE)	68	["Ethnographic records","Historical accounts"]	Cheyenne-speaking Great Plains
arn-mapuche-range	arn	araucanian__araucanian	{"type":"Polygon","coordinates":[[[-76,-44],[-76,-33],[-69,-33],[-69,-44],[-76,-44]]]}	current	-500	null	Mapudungun / Mapuche (500 BCE - Present)	75	["Census data","Historical records"]	Mapuche-speaking southern Chile and Argentina
sat-santali-range	sat	austroasiatic__munda	{"type":"Polygon","coordinates":[[[84,21],[84,25],[88,25],[88,21],[84,21]]]}	current	-500	null	Santali (500 BCE - Present)	78	["Census data"]	Santali-speaking Jharkhand and surrounding states, India
cop-coptic-range	cop	afro_asiatic__egyptian	{"type":"Polygon","coordinates":[[[29,24],[29,31],[34,31],[34,24],[29,24]]]}	historical	300	1700	Coptic (300-1700 CE)	70	["Manuscript evidence","Church records"]	Coptic-speaking Christian Egypt
phn-phoenician-range	phn	afro_asiatic__semitic	{"type":"Polygon","coordinates":[[[34,32],[34,36],[36.5,36],[36.5,32],[34,32]]]}	historical	-1200	-300	Phoenician (1200-300 BCE)	72	["Inscriptions","Archaeological evidence"]	Phoenician-speaking eastern Mediterranean coast
arc-aramaic-range	arc	afro_asiatic__semitic	{"type":"Polygon","coordinates":[[[35,30],[35,38],[48,38],[48,30],[35,30]]]}	historical	-900	700	Aramaic (900 BCE - 700 CE)	78	["Inscriptions","Biblical texts","Imperial records"]	Aramaic as lingua franca of Near East
