id	name	route_type	waypoints	start_date	end_date	peoples	associated_languages	description	consequences	wikidata_qid	source_url	retrieved_at	confidence	sources
chinese-diaspora	Chinese Diaspora	diaspora	{"type":"LineString","coordinates":[[115,25],[110,15],[105,5],[100,2],[95,5],[105,-5],[120,15],[125,10],[130,5],[-120,35],[-80,25],[-75,40]]}	1850	1950	["Chinese","Cantonese","Hokkien","Hakka"]	["cmn","yue","nan"]	Mass emigration of Chinese workers and merchants to Southeast Asia, the Americas, and worldwide	Chinatowns in major world cities; Chinese cultural influence in Southeast Asia; coolie trade; development of overseas Chinese business networks; Chinese diaspora maintaining cultural identity					
partition-india	Partition of India Migration	diaspora	{"type":"LineString","coordinates":[[72,25],[74,28],[76,30],[78,30],[80,28],[82,26],[84,24],[86,22],[88,23],[90,24]]}	1947	1948	["Hindus","Muslims","Sikhs"]	["hin","urd","pan","ben"]	Mass population exchange between India and Pakistan at independence, with approximately 15 million displaced	Largest mass migration in human history; Hindu-Muslim demographic reshaping of South Asia; creation of distinct Hindi and Urdu literary traditions; trauma shaping India-Pakistan relations					
scramble-for-africa	European Scramble for Africa	colonization	{"type":"LineString","coordinates":[[2,49],[10,48],[13,52],[12,42],[0,36],[5,0],[10,-5],[15,-10],[20,-15],[25,-20],[30,-25],[35,-30]]}	1881	1914	["British","French","German","Belgian","Portuguese","Italian"]	["eng","fra","deu","por"]	Rapid European colonization of nearly all of Africa following the Berlin Conference of 1884-85	Arbitrary colonial borders dividing ethnic groups; imposition of European languages; destruction of indigenous political systems; resource extraction; lasting economic and political consequences for African nations					
tai-migration	Tai Peoples Migration	migration	{"type":"LineString","coordinates":[[105,25],[102,22],[100,20],[98,18],[100,15],[102,13],[104,10],[100,8]]}	-200	1300	["Tai peoples","Thai","Lao"]	["tha","lao"]	Southward migration of Tai-speaking peoples from southern China into mainland Southeast Asia	Establishment of Thai and Lao kingdoms; displacement of Mon and Khmer populations; Theravada Buddhist culture; tonal language spread across mainland Southeast Asia					
pacific-islander-melanesia	Melanesian Settlement	migration	{"type":"LineString","coordinates":[[130,-3],[140,-5],[145,-6],[150,-8],[155,-10],[160,-8],[165,-15],[170,-18]]}	-40000	-3000	["Melanesians","Papuans"]	[]	Ancient settlement of Melanesian islands by peoples from Southeast Asia, creating extraordinary linguistic diversity	Most linguistically diverse region on Earth with over 1000 languages; independent development of agriculture in New Guinea highlands; extreme linguistic fragmentation due to island geography					
moroccan-jewish-exodus	Moroccan Jewish Exodus	diaspora	{"type":"LineString","coordinates":[[-5,34],[-3,35],[0,36],[5,35],[10,35],[15,34],[20,33],[25,32],[30,32],[35,32]]}	1948	1972	["Moroccan Jews","Sephardim"]	["heb","arb","fra"]	Mass emigration of Moroccan Jewish communities to Israel and France following Israeli independence and Arab-Israeli conflicts	End of centuries-old Jewish communities in Morocco; Mizrahi culture in Israel; preservation of Judeo-Arabic traditions; Moroccan Jewish diaspora in France and Canada					
alan-migration	Alan Migration	migration	{"type":"LineString","coordinates":[[45,44],[35,46],[20,47],[5,45],[-4,40]]}	370	409	["Alans"]	[]	Westward migration of the Iranian-speaking Alans, driven by the Huns, across Europe with the Vandals into Gaul and Iberia.	Alanic settlement in Iberia and Gaul; contribution to later Iberian populations	Q178054	http://www.wikidata.org/entity/Q178054	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
amorite-migration	Amorite Migration	migration	{"type":"LineString","coordinates":[[37,34],[40,35],[44,33],[45,32]]}	-2100	-1900	["Amorites"]	[]	Movement of the Semitic-speaking Amorites from the Levant and Syria into Mesopotamia at the end of the third millennium BCE.	Amorite dynasties across Mesopotamia, including Old Babylon under Hammurabi	Q203507	http://www.wikidata.org/entity/Q203507	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
anglo-saxon-settlement	Anglo-Saxon Settlement of Britain	invasion	{"type":"LineString","coordinates":[[8,54],[5,53],[1,52],[-1,51.5],[-2,52]]}	450	600	["Angles","Saxons","Jutes"]	["ang"]	Migration and settlement of Angles, Saxons, and Jutes from the North Sea coast into lowland Britain after Roman withdrawal.	Emergence of the Anglo-Saxon kingdoms and the English language	Q3435247	http://www.wikidata.org/entity/Q3435247	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
aramean-migration	Aramean Migration	migration	{"type":"LineString","coordinates":[[42,34],[40,35],[38,35],[36,36]]}	-1200	-900	["Arameans"]	["arc"]	Spread of the Semitic-speaking Arameans out of the Syrian steppe into the Levant and Mesopotamia.	Aramaic became the lingua franca of the Near East	Q175064	http://www.wikidata.org/entity/Q175064	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
avar-migration	Avar Migration	invasion	{"type":"LineString","coordinates":[[60,45],[45,46],[30,47],[19,47]]}	557	568	["Pannonian Avars"]	[]	Migration of the Pannonian Avars from the Eurasian steppe into the Carpathian Basin, where they established the Avar Khaganate.	Reshaped Central European politics; pressure on Byzantium and the Franks	Q68962	http://www.wikidata.org/entity/Q68962	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
bell-beaker-spread	Bell Beaker Diffusion	migration	{"type":"LineString","coordinates":[[-6,40],[2,45],[7,49],[0,52],[-2,52]]}	-2800	-2300	["Beaker people"]	[]	Spread of the Bell Beaker cultural package across Western Europe, reaching Britain with substantial population replacement.	Near-complete genetic turnover in Britain; wide distribution of Beaker material culture	Q470867	http://www.wikidata.org/entity/Q470867	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
bracero-migration	Bracero Program Migration	labor	{"type":"LineString","coordinates":[[-103,20],[-106,28],[-110,32],[-118,34]]}	1942	1964	["Mexicans"]	["spa"]	Managed labour migration of millions of Mexican farm workers (braceros) to the United States between 1942 and 1964.	Entrenched patterns of Mexican migration to US agriculture	Q979772	http://www.wikidata.org/entity/Q979772	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
bulgar-migration	Bulgar Migration	migration	{"type":"LineString","coordinates":[[45,47],[37,46],[30,45],[25,43]]}	630	681	["Bulgars"]	[]	Dispersal of the Turkic Bulgars from Old Great Bulgaria on the Pontic steppe into the Balkans and the Volga region.	Foundation of the First Bulgarian Empire and Volga Bulgaria	Q110117	http://www.wikidata.org/entity/Q110117	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
burgundian-migration	Burgundian Migration	invasion	{"type":"LineString","coordinates":[[15,54],[8,49],[6,47],[5,45]]}	406	457	["Burgundians"]	[]	Migration of the Burgundians from the Baltic and Central Europe into the Rhône valley, founding the Kingdom of the Burgundians.	Burgundian settlement giving its name to the Burgundy region	Q150412	http://www.wikidata.org/entity/Q150412	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
california-gold-rush	California Gold Rush Migration	migration	{"type":"LineString","coordinates":[[-90,38],[-100,39],[-115,37],[-121,38.5]]}	1848	1855	["prospectors"]	["eng","cmn"]	Mass migration of prospectors from across the world to the goldfields of northern California.	Explosive growth of San Francisco; California statehood; devastation of Native Californians	Q17550	http://www.wikidata.org/entity/Q17550	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
cuman-kipchak-migration	Cuman-Kipchak Migration	migration	{"type":"LineString","coordinates":[[70,48],[55,48],[40,48],[25,47]]}	1000	1240	["Cumans","Kipchaks"]	[]	Migration of the Turkic Cuman-Kipchak confederation across the Eurasian steppe into the Pontic region and, after the Mongol conquest, into Hungary.	Dominance of the Cuman steppe (Desht-i Qipchaq); settlement in the Kingdom of Hungary	Q1035516	http://www.wikidata.org/entity/Q1035516	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
dorian-invasion	Dorian Invasion	invasion	{"type":"LineString","coordinates":[[21,40],[22,39],[22.5,37.5]]}	-1100	-1000	["Dorians"]	["grc"]	Traditional account of the southward movement of Dorian Greeks into the Peloponnese after the Mycenaean collapse.	Redistribution of Greek dialects; Dorian settlement of Sparta and Crete	Q987129	http://www.wikidata.org/entity/Q987129	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
dust-bowl-migration	Dust Bowl Migration	migration	{"type":"LineString","coordinates":[[-100,36],[-108,35],[-115,35],[-119,36]]}	1930	1940	["Okies"]	["eng"]	Displacement of farming families from the drought-stricken southern Great Plains toward California during the 1930s.	Roughly 2.5 million left the Plains; reshaped Californian agriculture and politics	Q726501	http://www.wikidata.org/entity/Q726501	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
european-migrant-crisis	European Migrant Crisis	refugee	{"type":"LineString","coordinates":[[36,34],[28,37],[22,40],[16,46],[13,52]]}	2015	2016	["Syrians","Afghans","Iraqis"]	["ara","prs"]	Surge of refugees and migrants, chiefly from Syria, crossing the Mediterranean and the Balkans into the European Union.	Political crisis over EU asylum policy; strain on the Schengen system	Q20857240	http://www.wikidata.org/entity/Q20857240	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
fulani-expansion	Fulani Expansion	migration	{"type":"LineString","coordinates":[[-15,15],[-5,14],[5,13],[14,12]]}	1200	1800	["Fula"]	["ful"]	Eastward pastoral expansion of the Fula (Fulani) people across the Sahel from Senegambia toward Lake Chad.	Spread of Islam and pastoralism; Fulani jihad states of the 18th–19th centuries	Q202575	http://www.wikidata.org/entity/Q202575	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
great-trek	Great Trek	colonization	{"type":"LineString","coordinates":[[18.4,-33.9],[24,-30],[26,-29],[28,-26],[31,-24]]}	1836	1852	["Boers"]	["afr"]	Eastward and northward migration of Dutch-descended Boer Voortrekkers from the British Cape Colony into the South African interior.	Foundation of the Boer republics; conflict with Zulu and Ndebele	Q338949	http://www.wikidata.org/entity/Q338949	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
guanche-settlement	Guanche Settlement of the Canary Islands	maritime	{"type":"LineString","coordinates":[[-9,30],[-14,28.5],[-16,28.3]]}	-1000	100	["Guanches"]	["ber"]	Settlement of the Canary Islands by Berber Guanche peoples from northwest Africa.	Isolated Neolithic-level society encountered by Europeans in the 14th–15th centuries	Q219995	http://www.wikidata.org/entity/Q219995	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
huguenot-diaspora	Huguenot Diaspora	diaspora	{"type":"LineString","coordinates":[[2,48],[4,51],[0,52],[13,52]]}	1685	1710	["Huguenots"]	["fra"]	Flight of French Calvinist Huguenots after the Revocation of the Edict of Nantes, into the Dutch Republic, England, Prussia, and the Cape.	Transfer of skills and capital out of France; Huguenot communities across Protestant Europe	Q101935	http://www.wikidata.org/entity/Q101935	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
hunnic-migration	Hunnic Migration	invasion	{"type":"LineString","coordinates":[[70,45],[55,47],[40,47],[30,47],[20,47]]}	370	469	["Huns"]	[]	Westward movement of the nomadic Huns from the Central Asian steppe into the Pontic region and Pannonia, displacing Gothic and other Germanic peoples.	Triggered the Migration Period; pressured the Western Roman Empire	Q45813	http://www.wikidata.org/entity/Q45813	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
hyksos-migration	Hyksos Migration	invasion	{"type":"LineString","coordinates":[[35,33],[34,32],[32,31],[31,31]]}	-1800	-1650	["Hyksos"]	[]	Infiltration and settlement of West Semitic Hyksos peoples into the eastern Nile Delta, culminating in their rule as Egypt's Fifteenth Dynasty.	Introduced the composite bow and horse-drawn chariot to Egypt	Q192319	http://www.wikidata.org/entity/Q192319	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
italian-diaspora	Italian Diaspora	diaspora	{"type":"LineString","coordinates":[[12,42],[0,40],[-30,10],[-58,-34]]}	1870	1970	["Italians"]	["ita"]	Large-scale emigration of Italians, especially to the Americas, from the late 19th to mid-20th centuries.	Major Italian communities in Argentina, Brazil, and the United States	Q1675084	http://www.wikidata.org/entity/Q1675084	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
khazar-migration	Khazar Migration	migration	{"type":"LineString","coordinates":[[60,45],[50,46],[47,45],[45,43]]}	600	650	["Khazars"]	[]	Westward movement of the Turkic Khazars into the North Caucasus and lower Volga, where they built the Khazar Khaganate.	A powerful steppe state buffering Byzantium and the Caliphate; elite conversion to Judaism	Q173282	http://www.wikidata.org/entity/Q173282	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
lombard-migration	Lombard Migration	invasion	{"type":"LineString","coordinates":[[18,47],[14,46],[11,45],[10,45]]}	568	572	["Lombards"]	[]	Movement of the Lombards from Pannonia into the Italian peninsula, establishing the Lombard Kingdom in the Po Valley.	Fragmentation of Byzantine Italy; foundation of the Kingdom of the Lombards	Q130900	http://www.wikidata.org/entity/Q130900	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
malagasy-settlement	Austronesian Settlement of Madagascar	maritime	{"type":"LineString","coordinates":[[114,-2],[95,-5],[73,-5],[50,-15],[47,-19]]}	400	900	["Malagasy"]	["mlg"]	Trans-Indian Ocean voyage of Austronesian seafarers from Borneo to Madagascar, the westernmost Austronesian settlement.	Austronesian language and crops (rice, banana) established off the African coast	Q310983	http://www.wikidata.org/entity/Q310983	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
mariel-boatlift	Mariel Boatlift	refugee	{"type":"LineString","coordinates":[[-82.4,23],[-81,24],[-80.2,25.8]]}	1980	1980	["Cubans"]	["spa"]	Mass emigration of roughly 125,000 Cubans by boat from Mariel harbour to Florida in 1980.	Reshaped the Cuban-American community of South Florida	Q1776480	http://www.wikidata.org/entity/Q1776480	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
mfecane-migration	Mfecane	migration	{"type":"LineString","coordinates":[[31,-29],[29,-27],[28,-30],[26,-26]]}	1815	1840	["Zulu","Nguni","Sotho"]	["zul","xho"]	Period of widespread upheaval and forced migration among southern African peoples associated with the rise of the Zulu kingdom.	Depopulation and reorganisation of the interior; formation of new states (Sotho, Ndebele, Swazi)	Q865081	http://www.wikidata.org/entity/Q865081	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
nabataean-migration	Nabataean Migration	migration	{"type":"LineString","coordinates":[[45,25],[40,28],[36,30],[35.4,30.3]]}	-600	-300	["Nabataeans"]	["arc"]	Movement of the nomadic Nabataean Arabs into the Transjordan and northern Arabia, settling around Petra.	Control of the incense trade; foundation of the Nabataean Kingdom	Q220594	http://www.wikidata.org/entity/Q220594	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
nilotic-expansion	Nilotic Expansion	migration	{"type":"LineString","coordinates":[[31,7],[33,4],[34,1],[35,-1]]}	1000	1600	["Nilotes"]	["luo","mas"]	Southward migration of Nilotic pastoralist peoples from the southern Sudan into the East African Great Lakes region.	Spread of cattle pastoralism and Nilotic languages across East Africa	Q664262	http://www.wikidata.org/entity/Q664262	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
oregon-trail-migration	Oregon Trail Migration	colonization	{"type":"LineString","coordinates":[[-94.6,39.1],[-100,41],[-106,42],[-111,42],[-116,44],[-122.7,45.5]]}	1841	1869	["American settlers"]	["eng"]	Overland wagon migration of settlers from the Missouri River across the Great Plains and Rockies to the Oregon Country.	American settlement of the Pacific Northwest; displacement of Indigenous nations	Q862312	http://www.wikidata.org/entity/Q862312	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
ostrogoth-migration	Ostrogothic Migration	invasion	{"type":"LineString","coordinates":[[19,47],[15,46],[12,45],[12.5,41.9]]}	488	493	["Ostrogoths"]	["got"]	Movement of the Ostrogoths under Theodoric from Pannonia into Italy, where they overthrew Odoacer.	Foundation of the Ostrogothic Kingdom of Italy	Q103122	http://www.wikidata.org/entity/Q103122	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
palestinian-exodus-1948	1948 Palestinian Exodus	refugee	{"type":"LineString","coordinates":[[35,32],[35.9,31.9],[36,33],[35.5,33.9]]}	1948	1949	["Palestinians"]	["ara"]	Flight and expulsion of Palestinian Arabs during the 1948 Arab-Israeli War into neighbouring states and the West Bank and Gaza.	Creation of a long-term Palestinian refugee population; enduring regional conflict	Q13220089	http://www.wikidata.org/entity/Q13220089	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
pecheneg-migration	Pecheneg Migration	migration	{"type":"LineString","coordinates":[[60,47],[45,47],[32,46],[28,45]]}	860	1091	["Pechenegs"]	[]	Westward movement of the Turkic Pechenegs from Central Asia across the Pontic steppe to the frontiers of Kievan Rus and Byzantium.	Long conflict with Rus and Byzantium until defeat at Levounion	Q181752	http://www.wikidata.org/entity/Q181752	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
phrygian-migration	Phrygian Migration	migration	{"type":"LineString","coordinates":[[24,41],[27,40],[30,39],[32,39]]}	-1200	-900	["Phrygians"]	[]	Migration of the Phrygians from the southern Balkans across the straits into west-central Anatolia.	Foundation of the Kingdom of Phrygia centred on Gordion	Q32579	http://www.wikidata.org/entity/Q32579	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
scythian-migration	Scythian Migration	migration	{"type":"LineString","coordinates":[[70,48],[55,48],[40,47],[32,47]]}	-800	-600	["Scythians"]	[]	Westward migration of the Iranian-speaking Scythians across the Eurasian steppe into the Pontic-Caspian region.	Formation of Scythian dominance over the Pontic steppe; contact with Greek colonies	Q131802	http://www.wikidata.org/entity/Q131802	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
sea-peoples-migration	Sea Peoples Migration	invasion	{"type":"LineString","coordinates":[[23,38],[28,36],[32,35],[34,33],[31,31]]}	-1200	-1150	["Sea Peoples"]	[]	Movements of the seafaring Sea Peoples across the eastern Mediterranean, raiding Anatolia, the Levant, and Egypt at the close of the Bronze Age.	Contributed to the Late Bronze Age collapse; destruction of Hittite and Levantine cities	Q193850	http://www.wikidata.org/entity/Q193850	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
sephardic-expulsion	Sephardic Jewish Expulsion	diaspora	{"type":"LineString","coordinates":[[-4,40],[3,41],[12,37],[28,41]]}	1492	1497	["Sephardi Jews"]	["lad"]	Expulsion of Jews from Spain (1492) and Portugal (1497) and their dispersal across the Mediterranean and the Ottoman Empire.	Sephardic communities in the Ottoman lands, North Africa, and the Netherlands; spread of Ladino	Q1061030	http://www.wikidata.org/entity/Q1061030	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
suebi-migration	Suebic Migration	invasion	{"type":"LineString","coordinates":[[12,50],[2,46],[-4,42],[-8,42]]}	406	409	["Suebi"]	[]	Migration of the Suebi across the Rhine and through Gaul into northwestern Iberia, where they founded a kingdom in Galicia.	Kingdom of the Suebi (Gallaecia), among the first post-Roman Germanic states	Q155085	http://www.wikidata.org/entity/Q155085	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
vandal-migration	Vandal Migration	invasion	{"type":"LineString","coordinates":[[15,50],[5,47],[-3,40],[0,36],[10,37]]}	400	435	["Vandals"]	["got"]	Migration of the Vandals from Central Europe through Gaul and Iberia into Roman North Africa, where they founded a kingdom centred on Carthage.	Sack of Rome (455 CE); disruption of Roman grain supply	Q42211	http://www.wikidata.org/entity/Q42211	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
vietnamese-boat-people	Vietnamese Boat People	refugee	{"type":"LineString","coordinates":[[106,10],[104,9],[101,3],[104,1]]}	1975	1995	["Vietnamese"]	["vie"]	Maritime flight of refugees from Vietnam after the fall of Saigon, across the South China Sea to Southeast Asian camps and resettlement abroad.	Large Vietnamese diaspora in the US, Australia, France, and Canada	Q6449297	http://www.wikidata.org/entity/Q6449297	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
visigoth-migration	Visigothic Migration	invasion	{"type":"LineString","coordinates":[[25,43],[15,44],[5,44],[-1,43],[-4,40]]}	376	507	["Visigoths"]	["got"]	Migration of the Visigoths from the lower Danube through Italy and Gaul into Iberia, founding a kingdom centred on Toledo.	Sack of Rome (410 CE); the Visigothic Kingdom of Hispania	Q23693	http://www.wikidata.org/entity/Q23693	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
volga-german-migration	Volga German Migration	colonization	{"type":"LineString","coordinates":[[9,50],[20,52],[35,52],[46,51]]}	1763	1767	["Germans"]	["deu"]	Migration of German colonists to the lower Volga region at the invitation of Catherine the Great.	Established the Volga German community, later deported under Stalin	Q312574	http://www.wikidata.org/entity/Q312574	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
yamnaya-migration	Yamnaya Steppe Migration	migration	{"type":"LineString","coordinates":[[45,48],[35,49],[25,50],[15,51],[9,52]]}	-3300	-2600	["Yamnaya"]	[]	Expansion of Yamnaya steppe herders from the Pontic-Caspian steppe into Central and Northern Europe, carrying steppe ancestry.	Major genetic turnover in Europe; associated with the spread of Indo-European languages	Q426737	http://www.wikidata.org/entity/Q426737	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
