id	name	parent_id	description	taxonomic_level	region	total_speakers	language_count
salishan__northern_interior_salish	Northern Interior Salish	salishan	Includes Shuswap, Lillooet, and Thompson.	Sub-branch	British Columbia Interior		
salishan__southern_interior_salish	Southern Interior Salish	salishan	Includes Coeur d'Alene, Columbian, Colville-Okanagan, and Montana Salish.	Sub-branch	Columbia Basin		
muskogean__muskogean	Muskogean	muskogean	An indigenous language family of the Southeastern United States, historically centered in present-day Mississippi, Alabama, Georgia, and Florida, now also present in Oklahoma due to forced removal.	family	Southeastern United States		
muskogean__western_muskogean	Western Muskogean	muskogean	The western branch of the Muskogean family, consisting primarily of Choctaw and Chickasaw.	subfamily	Mississippi, Oklahoma		
muskogean__eastern_muskogean	Eastern Muskogean	muskogean	The eastern branch of the Muskogean family, including the Muskogee (Creek), Mikasuki, Alabama, and Koasati languages.	subfamily	Alabama, Georgia, Florida, Oklahoma		
tucanoan__tucanoan	Tucanoan	tucanoan	A language family spoken in the northwestern Amazon, particularly in Colombia, Brazil, Ecuador, and Peru.	Family	Northwest Amazon		
tucanoan__eastern_tucanoan	Eastern Tucanoan	tucanoan	The larger branch of the family, known for linguistic exogamy and multilingualism in the Vaupés basin.	Subfamily	Vaupés Region (Colombia/Brazil)		
tucanoan__western_tucanoan	Western Tucanoan	tucanoan	A branch spoken widely in the Putumayo and Napo river basins of Colombia, Ecuador, and Peru.	Subfamily	Putumayo and Caquetá Basins		
mixe_zoque__mixe_zoque	Mixe-Zoque	mixe_zoque	A language family spoken primarily in and around the Isthmus of Tehuantepec in Mexico. It is historically significant as the likely language family of the Olmec civilization.	Family	Southern Mexico		
mixe_zoque__mixean	Mixean	mixe_zoque	The Mixean branch includes the various Mixe languages of Oaxaca and the Sayula and Oluta Popoluca languages of Veracruz.	Subfamily	Oaxaca, Veracruz		
mixe_zoque__zoquean	Zoquean	mixe_zoque	The Zoquean branch includes the Zoque languages of Chiapas and Oaxaca, as well as Sierra and Texistepec Popoluca in Veracruz and Ayapanec in Tabasco.	Subfamily	Chiapas, Oaxaca, Veracruz, Tabasco		
totonacan__totonacan	Totonacan	totonacan	A family of languages spoken in the states of Veracruz, Puebla, and Hidalgo in Mexico. It is traditionally divided into two main branches: Totonac and Tepehua.	Family	Mexico (Veracruz, Puebla, Hidalgo)		
totonacan__totonac	Totonac	totonacan	The larger branch of the Totonacan family, comprising various languages often referred to collectively as Totonac.	Subfamily	Mexico (Veracruz, Puebla)		
totonacan__tepehua	Tepehua	totonacan	The smaller branch of the Totonacan family, spoken in a compact area where the three states of Hidalgo, Puebla, and Veracruz meet.	Subfamily	Mexico (Hidalgo, Puebla, Veracruz)		
mande__mande	Mande	mande	A major language family in West Africa, comprising about 70-75 languages, spoken by 30 to 40 million people.	Family	West Africa		
mande__west_mande	West Mande	mande	The larger branch of the Mande family, containing the Manding, Southwest, and Northwest sub-branches.	Subfamily	West Africa		
mande__east_mande	East Mande	mande	The smaller branch of the Mande family, primarily spoken in Cote d'Ivoire, Burkina Faso, and Nigeria.	Subfamily	West Africa		
mande__manding	Manding	mande	A dialect continuum and subfamily of West Mande including Bambara, Dyula, and Maninka.	Subfamily	West Africa		
mande__southwest_mande	Southwest Mande	mande	A group within West Mande including Mende, Kpelle, and Loma.	Subfamily	Liberia, Sierra Leone, Guinea		
mande__soninke_bozo	Soninke-Bozo	mande	A subfamily of West Mande generally classified under Northwest Mande.	Subfamily	Mali, Senegal		
mande__vai_kono	Vai-Kono	mande	A closely related pair of Western Mande languages spoken in Sierra Leone and Liberia.	Subfamily	Sierra Leone, Liberia		
mande__susu_jalonke	Susu-Jalonke	mande	A Northwest Mande group including Susu and Yalunka, dialectically related to Soninke.	Subfamily	Guinea, Sierra Leone		
mande__southern_mande	Southern Mande	mande	A branch of Southeastern Mande including Dan and Guro.	Subfamily	Côte d'Ivoire, Liberia		
songhay__songhay	Songhay	songhay	A group of languages spoken mainly along the Niger River in Mali and Niger, as well as in Benin, Burkina Faso, and Nigeria. Often debated as an independent family or part of Nilo-Saharan.	family	West Africa		
songhay__southern_songhay	Southern Songhay	songhay	The main branch of the family, comprising the major languages spoken along the Niger River.	subfamily	West Africa		
songhay__northern_songhay	Northern Songhay	songhay	A group of Songhay languages heavily influenced by Berber/Tuareg, spoken by nomadic or oasis populations.	subfamily	Sahel/Sahara		
khoe__khoe_kwadi	Khoe-Kwadi	khoe	A language family of Southern Africa, also known as Central Khoisan, consisting of the Khoe family and the extinct Kwadi language.	Family	Southern Africa		
khoe__kwadi	Kwadi	khoe	A divergent branch of the Khoe-Kwadi family, consisting solely of the extinct Kwadi language.	Subfamily	Southwestern Angola		
khoe__khoe	Khoe	khoe	The primary branch of the family, often divided into Khoekhoe (Non-Kalahari) and Kalahari Khoe (Tshu-Khwe).	Subfamily	Southern Africa		
khoe__khoekhoe	Khoekhoe	khoe	Also known as Non-Kalahari Khoe, this branch includes the most populous language of the family, Nama, as well as extinct languages like Korana.	Subfamily	Namibia, South Africa		
khoe__kalahari_khoe	Kalahari Khoe	khoe	Also known as Tshu-Khwe, this branch covers the Khoe languages spoken primarily in the Kalahari Desert region.	Subfamily	Botswana, Namibia		
khoe__east_kalahari_khoe	East Kalahari Khoe	khoe	The eastern sub-branch of the Kalahari Khoe languages, including Shua and Tshwa.	Subfamily	Botswana		
khoe__west_kalahari_khoe	West Kalahari Khoe	khoe	The western sub-branch of the Kalahari Khoe languages, including Khwe, Naro, and G||ana.	Subfamily	Botswana, Namibia		
tuu__tuu	Tuu	tuu	Also known as Southern Khoisan or Taa-ǃKwi, the Tuu family consists of languages spoken in Botswana and South Africa. They are famous for their heavy use of click consonants and for having some of the most complex distinct inventories of segments of any language in the world.	Family	Southern Africa		
tuu__taa	Taa	tuu	The branch of the Tuu family containing the vibrant !Xóõ language and the extinct Lower Nossob dialects.	Subfamily	Botswana, Namibia		
tuu__kwi	!Kwi	tuu	Also known as !Ui, this branch contains the moribund Nǁng language and several extinct languages including ǀXam.	Subfamily	South Africa		
kx_a__kx_a	Kx'a	kx_a	A language family established in 2010 linking the ǂʼAmkoe language with the Juu dialect cluster. Formerly referred to as Northern Khoisan (Juu) plus the isolate ǂHoan.	Family	Southern Africa		
kx_a__juu	Juu	kx_a	Also known as !Kung or Northern Khoisan, this is a dialect cluster often analyzed as comprising several distinct languages. It is the largest branch of the Kx'a family.	Subfamily	Namibia, Botswana, Angola		
kx_a__amkoe	ǂʼAmkoe	kx_a	A severely endangered branch of the Kx'a family, historically known as ǂHoan. It represents the only proven external relative of the Juu languages.	Subfamily	Botswana		
yeniseian__yeniseian	Yeniseian	yeniseian	A language family spoken in the Yenisei River region of central Siberia. It is hypothesized to be part of the Dené–Yeniseian macro-family.	Family	Central Siberia		
yeniseian__northern_yeniseian	Northern Yeniseian	yeniseian	The surviving branch of the Yeniseian family, containing Ket and the recently extinct Yugh.	Subfamily	Turukhansk District		
yeniseian__southern_yeniseian	Southern Yeniseian	yeniseian	The extinct branch of the Yeniseian family, which included Kott, Assan, Arin, and Pumpokol.	Subfamily	Krasnoyarsk Krai		
yukaghir__yukaghir	Yukaghir	yukaghir	A small family of languages spoken in the Kolyma and Indigirka river basins in northeastern Siberia. They are traditionally regarded as an isolate group or a small family consisting of two divergent languages.	family	Russian Far East		
sepik__sepik	Sepik	sepik	A language family consisting of approximately 50 languages spoken in the Sepik river basin of northern Papua New Guinea.	Family	Sepik River Basin, Papua New Guinea		
sepik__middle_sepik	Middle Sepik	sepik	The most populous branch of the Sepik family, containing the Ndu and Nukuma languages.	Subfamily	East Sepik Province		
sepik__sepik_hill	Sepik Hill	sepik	A branch including languages spoken in the foothills south of the Sepik river, such as Alamblak.	Subfamily	Sepik River Basin (foothills)		
sepik__upper_sepik	Upper Sepik	sepik	Languages spoken in the upper reaches of the Sepik river, including Abau and Iwam.	Subfamily	Sandaun Province		
sepik__tama	Tama	sepik	A smaller branch including languages like Yessan-Mayo.	Subfamily	Sepik Basin		
sepik__yellow_river	Yellow River	sepik	Languages spoken along the Yellow River tributary of the Sepik.	Subfamily	Yellow River (Sepik Tributary)		
sepik__ram	Ram	sepik	A small branch comprising languages like Karawa and Pouye.	Subfamily	Sepik Basin		
torricelli__torricelli	Torricelli	torricelli	A major language family of northern Papua New Guinea, spoken primarily in the Torricelli and Prince Alexander ranges and along the Sepik coast. They are known for their unusual typological features compared to other Papuan languages, such as SVO word order.	Family	Papua New Guinea		
torricelli__arapesh	Arapesh	torricelli	A major branch of the Torricelli family, noted for having a complex noun class system.	Subfamily	East Sepik Province, Papua New Guinea		
torricelli__wapei	Wapei	torricelli	The largest branch of the Torricelli family in terms of number of languages, located west of the Arapesh lands.	Subfamily	Sandaun Province, Papua New Guinea		
torricelli__marienberg	Marienberg	torricelli	A branch located in the Marienberg Hills south of the Sepik River.	Subfamily	East Sepik Province, Papua New Guinea		
torricelli__palei	Palei	torricelli	A branch spoken in the Torricelli Mountains.	Subfamily	Sandaun Province, Papua New Guinea		
torricelli__monumbo	Monumbo	torricelli	The easternmost branch of the Torricelli family, located on the coast.	Subfamily	Madang Province, Papua New Guinea		
torricelli__kombio	Kombio	torricelli	A branch geographically adjacent to the Arapesh languages.	Subfamily	East Sepik Province, Papua New Guinea		
torricelli__urim	Urim	torricelli	A small branch, primarily consisting of the Urim language.	Subfamily	East Sepik Province, Papua New Guinea		
torricelli__maimai	Maimai	torricelli	A branch located in the Maimai district.	Subfamily	Sandaun Province, Papua New Guinea		
sino_tibetan	Sino-Tibetan		A vast language family that includes the Sinitic languages (Chinese) and the Tibeto-Burman languages.	family	East Asia, Southeast Asia, South Asia		
niger_congo	Niger-Congo		One of the world's largest language families by number of languages, dominating most of Sub-Saharan Africa.	family	Sub-Saharan Africa		
austronesian	Austronesian		A widespread maritime language family ranging from Madagascar in the west to Easter Island in the east.	family	Maritime Southeast Asia, Oceania, Madagascar		
trans_new_guinea	Trans-New Guinea		The most extensive language family on the island of New Guinea, both in geography and number of languages.	family	New Guinea		
turkic	Turkic		A language family spoken across a vast area from Eastern Europe and the Mediterranean to Siberia and Western China.	family	Eurasia		
kra_dai	Kra-Dai		A family of tonal languages including Thai and Lao, formerly grouped with Sino-Tibetan.	family	Southeast Asia, Southern China		
austroasiatic	Austroasiatic		A large family indigenous to Southeast Asia and India, including Vietnamese, Khmer, and the Munda languages.	family	Mainland Southeast Asia, South Asia		
nilo_saharan	Nilo-Saharan		A proposed family uniting various languages spoken in the upper Nile and Chari regions.	family	Central Africa, East Africa		
pama_nyungan	Pama-Nyungan		The most widespread indigenous language family in Australia, covering most of the continent.	family	Australia		
quechuan	Quechuan		The primary language family of the Inca Empire, spoken widely in the Andes of South America.	family	Andes		
hmong_mien	Hmong-Mien		A primary language family of southern China and Southeast Asia, known for complex tone systems.	family	Southern China, Southeast Asia		
tupian	Tupian		One of the most geographically widespread language families in South America, including Guarani.	family	South America		
mayan	Mayan		A major language family of Mesoamerica with a continuous history of written literature dating back millennia.	family	Mesoamerica		
uto_aztecan	Uto-Aztecan		A major family of the Americas, stretching from the Great Basin to Central Mexico, including Nahuatl.	family	Western United States, Mexico		
na_dene	Na-Dene		A major family primarily in Alaska and western Canada, which also includes the Apachean languages of the US Southwest.	family	North America		
algic	Algic		A widespread family including the populous Algonquian branch (e.g., Cree, Ojibwe) and languages of California.	family	North America		
otomanguean	Otomanguean		A large and diverse ancient family of Mesoamerica, known for complex tone systems, including Zapotec and Mixtec.	family	Mexico		
arawakan	Arawakan		The largest indigenous language family in South America by geographical extent, ranging from the Andes to the Amazon.	family	South America, Caribbean		
chibchan	Chibchan		A family spanning the Isthmo-Colombian area, from Honduras to northern Colombia and Venezuela.	family	Central America, Northern South America		
panoan	Panoan		A family spoken in the Amazon basin of Peru, western Brazil, and Bolivia.	family	Amazon		
macro_je	Macro-Jê		A proposed stock of South American languages, primarily centered on the Brazilian plateau.	family	Brazil		
cariban	Cariban		A family spoken widely across northern South America and historically in the Lesser Antilles.	family	Northern South America		
aymaran	Aymaran		An Andean family spoken in Bolivia, Peru, and Chile, coexisting for centuries with Quechuan.	family	Andes		
araucanian	Araucanian		A small family comprising Mapudungun and Huilliche spoken in the Southern Cone.	family	Chile, Argentina		
siouan_catawban	Siouan-Catawban		A significant family of the Great Plains and southeastern United States, including Lakota and Crow.	family	North America		
iroquoian	Iroquoian		A family centered around the Great Lakes and St. Lawrence region, including Mohawk and Cherokee.	family	Eastern North America		
salishan	Salishan		A family known for its complex consonant clusters, spoken in British Columbia and Washington state.	family	Pacific Northwest		
muskogean	Muskogean		A family of the Southeastern US, including Choctaw, Chickasaw, and Creek.	family	Southeastern United States		
tucanoan	Tucanoan		A family spoken in the northwestern Amazon, known for linguistic exogamy practices.	family	Amazon		
mixe_zoque	Mixe-Zoque		A language family of the Isthmus of Tehuantepec, potentially linked to the ancient Olmec civilization.	family	Mexico		
totonacan	Totonacan		An isolate family spoken in the states of Veracruz and Puebla in Mexico.	family	Mexico		
mande	Mande		A major family of West Africa including Mandinka and Bambara, often treated as distinct from Niger-Congo.	family	West Africa		
songhay	Songhay		A group of languages centered on the middle Niger River, historically associated with the Songhai Empire.	family	Sahel		
khoe	Khoe		The largest family of non-Bantu 'click' languages in Southern Africa.	family	Southern Africa		
tuu	Tuu		A family of Khoisan languages, formerly called Southern Khoisan, known for extremely large click inventories.	family	Southern Africa		
kx_a	Kx'a		A linkage of click languages comprising the Ju dialects (including !Kung) and the ǂʼAmkoe language.	family	Southern Africa		
yeniseian	Yeniseian		A severely endangered language family in Central Siberia, linked by some linguists to Na-Dene.	family	Siberia		
yukaghir	Yukaghir		A small family of languages spoken by the Yukaghir people in the Russian Far East.	family	Siberia		
sepik	Sepik		A diverse family of languages spoken in the Sepik river basin of northern Papua New Guinea.	family	New Guinea		
torricelli	Torricelli		A major family of northern Papua New Guinea, distinct from the Trans-New Guinea phylum.	family	New Guinea		
uralic	Uralic			family			
uralic__finnic	Finnic	uralic		subfamily			
uralic__saami	Saami	uralic		subfamily			
uralic__mari	Mari	uralic		subfamily			
uralic__mordvin	Mordvin	uralic		subfamily			
uralic__permian	Permian	uralic		subfamily			
uralic__hungarian	Hungarian	uralic		subfamily			
uralic__khantyic	Khantyic	uralic		subfamily			
uralic__mansic	Mansic	uralic		subfamily			
uralic__samoyedic	Samoyedic	uralic		subfamily			
indo_european	Indo-European			family			
indo_european__indo_aryan	Indo-Aryan	indo_european		subfamily			
indo_european__iranian	Iranian	indo_european		subfamily			
indo_european__armenic	Armenic	indo_european		subfamily			
indo_european__graeco_phrygian	Graeco-Phrygian	indo_european		subfamily			
indo_european__albanian	Albanian	indo_european		subfamily			
indo_european__balto_slavic	Balto-Slavic	indo_european		subfamily			
indo_european__germanic	Germanic	indo_european		subfamily			
indo_european__celtic	Celtic	indo_european		subfamily			
indo_european__italic	Italic	indo_european		subfamily			
turkic__west_oghuz	West Oghuz	turkic		subfamily			
turkic__uzbek	Uzbek	turkic		subfamily			
mongolic	Mongolic			family			
mongolic__eastern_mongolic	Eastern Mongolic	mongolic		subfamily			
tungusic	Tungusic			family			
tungusic__northern_tungusic	Northern Tungusic	tungusic		subfamily			
tungusic__manchu_jurchen	Manchu-Jurchen	tungusic		subfamily			
tungusic__central_tungusic	Central Tungusic	tungusic		subfamily			
chukotko_kamchatkan	Chukotko-Kamchatkan			family			
chukotko_kamchatkan__itelmen	Itelmen	chukotko_kamchatkan		subfamily			
chukotko_kamchatkan__chukotian	Chukotian	chukotko_kamchatkan		subfamily			
nivkh	Nivkh			family			
nivkh__nivkh	Nivkh	nivkh		subfamily			
ainu	Ainu			family			
ainu__hokkaido_kuril_ainu	Hokkaido-Kuril Ainu	ainu		subfamily			
koreanic	Koreanic			family			
koreanic__korean	Korean	koreanic		subfamily			
japonic	Japonic			family			
japonic__japanesic	Japanesic	japonic		subfamily			
eskimo_aleut	Eskimo-Aleut			family			
eskimo_aleut__aleut	Aleut	eskimo_aleut		subfamily			
eskimo_aleut__eskimo	Eskimo	eskimo_aleut		subfamily			
dravidian	Dravidian			family			
dravidian__south_dravidian	South Dravidian	dravidian		subfamily			
burushaski	Burushaski			family			
burushaski__burushaski	Burushaski	burushaski		subfamily			
kartvelian	Kartvelian			family			
kartvelian__georgian_zan	Georgian-Zan	kartvelian		subfamily			
basque	Basque			family			
basque__basque	Basque	basque		subfamily			
abkhaz_adyge	Abkhaz-Adyge			family			
abkhaz_adyge__abkhaz_abaza	Abkhaz-Abaza	abkhaz_adyge		subfamily			
abkhaz_adyge__circassian	Circassian	abkhaz_adyge		subfamily			
nakh_daghestanian	Nakh-Daghestanian			family			
nakh_daghestanian__daghestanian	Daghestanian	nakh_daghestanian		subfamily			
nakh_daghestanian__nakh	Nakh	nakh_daghestanian		subfamily			
afro_asiatic	Afro-Asiatic			family			
afro_asiatic__semitic	Semitic	afro_asiatic		subfamily			
afro_asiatic__berber	Berber	afro_asiatic	A branch of Afro-Asiatic languages spoken across North Africa, from Morocco to Egypt, and in parts of the Sahel.	Subfamily	North Africa, Sahel		
afro_asiatic__cushitic	Cushitic	afro_asiatic	A branch of Afro-Asiatic languages spoken primarily in the Horn of Africa and parts of East Africa.	Subfamily	Horn of Africa, East Africa		
afro_asiatic__chadic	Chadic	afro_asiatic	The largest branch of Afro-Asiatic by number of languages, spoken primarily in Nigeria, Niger, Chad, and Cameroon.	Subfamily	West Africa, Central Africa		
afro_asiatic__omotic	Omotic	afro_asiatic	A branch of Afro-Asiatic languages spoken in southwestern Ethiopia.	Subfamily	Ethiopia		
afro_asiatic__egyptian	Egyptian	afro_asiatic	An extinct branch of Afro-Asiatic that includes Ancient Egyptian and Coptic.	Subfamily	Egypt		
indo_european__anatolian	Anatolian	indo_european	An extinct branch of Indo-European that includes Hittite, Luwian, and other ancient languages of Anatolia.	Subfamily	Anatolia (extinct)		
indo_european__tocharian	Tocharian	indo_european	An extinct branch of Indo-European spoken in the Tarim Basin of Central Asia.	Subfamily	Central Asia (extinct)		
wakashan	Wakashan		A language family of the Pacific Northwest Coast, known for complex phonology and polysynthetic morphology.	Family	Pacific Northwest Coast		
wakashan__northern_wakashan	Northern Wakashan	wakashan	The northern branch including Kwak'wala and related languages.	Subfamily	British Columbia		
wakashan__southern_wakashan	Southern Wakashan	wakashan	The southern branch including Nuu-chah-nulth and Makah.	Subfamily	Vancouver Island, Washington		
tsimshianic	Tsimshianic		A small language family of the Pacific Northwest Coast of British Columbia.	Family	British Columbia		
tsimshianic__tsimshian	Tsimshian (Maritime)	tsimshianic	The coastal branch including Coast Tsimshian and Southern Tsimshian.	Subfamily	Coastal British Columbia, Alaska		
tsimshianic__nass_gitksan	Nass-Gitksan (Interior)	tsimshianic	The interior branch including Nisga'a and Gitksan.	Subfamily	Interior British Columbia		
haida	Haida		A language isolate of Haida Gwaii and southeastern Alaska, known for its complex phonology.	Family	Haida Gwaii, Alaska		
haida__northern_haida	Northern Haida	haida	The northern dialects including Alaskan (Kaigani) and Masset.	Subfamily	Alaska, Northern Haida Gwaii		
haida__southern_haida	Southern Haida	haida	The southern dialects including Skidegate.	Subfamily	Southern Haida Gwaii		
caddoan	Caddoan		A language family of the Great Plains, historically spoken from present-day North Dakota to Texas.	Family	Great Plains		
caddoan__northern_caddoan	Northern Caddoan	caddoan	The northern branch including Pawnee, Arikara, and extinct Kitsai.	Subfamily	Great Plains		
caddoan__southern_caddoan	Southern Caddoan	caddoan	The southern branch including Caddo and extinct Wichita.	Subfamily	Southern Plains		
sahaptian	Sahaptian		A language family of the Columbia Plateau region.	Family	Columbia Plateau		
sahaptian__nez_perce	Nez Perce	sahaptian	The Nez Perce language with Upper and Lower dialects.	Subfamily	Idaho, Washington, Oregon		
sahaptian__sahaptin	Sahaptin	sahaptian	The Sahaptin language with multiple dialects including Yakama and Umatilla.	Subfamily	Columbia Plateau		
klamath_modoc	Klamath-Modoc		A small language family of southern Oregon and northern California.	Family	Oregon, California		
klamath_modoc__klamath	Klamath	klamath_modoc	The northern dialect spoken in Oregon.	Subfamily	Southern Oregon		
klamath_modoc__modoc	Modoc	klamath_modoc	The southern dialect spoken in California and Oklahoma.	Subfamily	Northern California, Oklahoma		
pomoan	Pomoan		A language family of northern California, known for complex phonology and evidential systems.	Family	Northern California		
pomoan__eastern_pomoan	Eastern Pomoan	pomoan	Includes Southeastern, Eastern, and Northeastern Pomo.	Subfamily	Northern California		
pomoan__western_pomoan	Western Pomoan	pomoan	Includes Northern Pomo and the Southern group (Central, Southern, Kashaya).	Subfamily	Northern California		
yuman	Yuman		A language family of the southwestern United States and northwestern Mexico.	Family	Southwest US, Northwest Mexico		
yuman__river_yuman	River Yuman	yuman	Languages spoken along the Colorado River.	Subfamily	Colorado River		
yuman__upland_yuman	Upland Yuman	yuman	Languages spoken in the uplands of Arizona.	Subfamily	Arizona		
yuman__delta_california_yuman	Delta-California Yuman	yuman	Languages spoken in the Colorado River Delta and Baja California.	Subfamily	Baja California, Colorado Delta		
maiduan	Maiduan		A language family of the Sierra Nevada foothills in California.	Family	Northern California		
maiduan__maidu	Maidu (Northeastern)	maiduan	The northeastern branch also known as Mountain Maidu.	Subfamily	Northern Sierra Nevada		
maiduan__konkow	Konkow (Northwestern)	maiduan	The northwestern branch also known as Concow.	Subfamily	Northern Sierra Nevada		
maiduan__nisenan	Nisenan (Southern)	maiduan	The southern branch also known as Southern Maidu.	Subfamily	Northern Sierra Nevada		
wintuan	Wintuan		A language family of the Sacramento Valley in California.	Family	Northern California		
wintuan__northern_wintuan	Northern Wintuan	wintuan	Includes Wintu and Nomlaki.	Subfamily	Northern Sacramento Valley		
wintuan__southern_wintuan	Southern Wintuan	wintuan	Includes Patwin and Southern Patwin.	Subfamily	Southern Sacramento Valley		
utian	Utian		A language family of central California, including Miwok and Costanoan languages.	Family	Central California		
utian__miwokan	Miwokan	utian	The Miwok branch of Utian.	Subfamily	Central California		
utian__costanoan	Costanoan	utian	The Costanoan (Ohlone) branch of Utian.	Subfamily	San Francisco Bay Area		
chinookan	Chinookan		A language family of the lower Columbia River region.	Family	Columbia River		
chinookan__lower_chinook	Lower Chinook	chinookan	The coastal branch of Chinookan, also known as Chinook-proper.	Subfamily	Columbia River Mouth		
chinookan__kathlamet	Kathlamet	chinookan	The middle branch of Chinookan, sometimes classified as Middle Chinookan.	Subfamily	Lower Columbia River		
chinookan__upper_chinook	Upper Chinook	chinookan	The upriver branch of Chinookan, also known as Kiksht or Columbia Chinook.	Subfamily	Upper Columbia River		
kiowa_tanoan	Kiowa-Tanoan		A language family of the Great Plains and Rio Grande Pueblos.	Family	Great Plains, New Mexico		
kiowa_tanoan__kiowa	Kiowa	kiowa_tanoan	The Plains branch of the family.	Subfamily	Oklahoma		
kiowa_tanoan__tanoan	Tanoan	kiowa_tanoan	The Pueblo branch of the family.	Subfamily	New Mexico		
kiowa_tanoan__tiwa	Tiwa	kiowa_tanoan	A branch of Tanoan spoken in several Rio Grande Pueblos.	Subfamily	New Mexico		
kiowa_tanoan__tewa	Tewa	kiowa_tanoan	A branch of Tanoan spoken in several Rio Grande Pueblos and Hopi Reservation.	Subfamily	New Mexico, Arizona		
kiowa_tanoan__towa	Towa	kiowa_tanoan	A branch of Tanoan spoken at Jemez Pueblo.	Subfamily	New Mexico		
zuni	Zuni		A language isolate spoken at Zuni Pueblo in New Mexico.	Family	New Mexico		
zuni__zuni_language	Zuni Language	zuni	The single Zuni language with minimal dialectal variation.	Subfamily	Zuni Pueblo, New Mexico		
keres	Keres		A language isolate spoken in several Pueblos in New Mexico.	Family	New Mexico		
keres__eastern_keres	Eastern Keres	keres	Dialects spoken at Cochiti, San Felipe, Santo Domingo, Zia, and Santa Ana pueblos.	Subfamily	Rio Grande Valley, New Mexico		
keres__western_keres	Western Keres	keres	Dialects spoken at Acoma and Laguna pueblos.	Subfamily	Western New Mexico		
barbacoan	Barbacoan		A small language family of the Pacific coast of Colombia and Ecuador.	Family	Colombia, Ecuador		
barbacoan__northern	Northern Barbacoan	barbacoan	The northern branch including Awan and Coconucan languages.	Subfamily	Colombia		
barbacoan__southern	Southern Barbacoan	barbacoan	The southern branch including Cayapa-Tsafiki languages.	Subfamily	Ecuador		
chocoan	Chocoan		A small language family of western Colombia and eastern Panama.	Family	Colombia, Panama		
chocoan__embera	Emberá	chocoan	The Emberá branch with multiple dialects.	Subfamily	Colombia, Panama		
chocoan__wounaan	Wounaan	chocoan	The Wounaan language, closely related to Emberá.	Subfamily	Colombia, Panama		
jivaroan	Jivaroan		A language family of the Amazon basin in Ecuador and Peru.	Family	Amazon (Ecuador, Peru)		
jivaroan__shuar_achuar	Shuar-Achuar	jivaroan	The western branch including Shuar and Achuar.	Subfamily	Ecuador, Peru		
jivaroan__awajun_wampis	Awajún-Wampis	jivaroan	The eastern branch including Awajún (Aguaruna) and Wampis (Huambisa).	Subfamily	Peru		
zaparoan	Zaparoan		A nearly extinct language family of the Amazon basin in Ecuador and Peru.	Family	Amazon (Ecuador, Peru)		
zaparoan__zaparoan_languages	Zaparoan Languages	zaparoan	Includes Záparo, Arabela, Iquito, and extinct Andoa and Cahuarano.	Subfamily	Amazon (Ecuador, Peru)		
witotoan	Witotoan		A small language family of the Amazon basin in Colombia, Peru, and Brazil.	Family	Amazon		
witotoan__witotoan_languages	Witotoan Languages	witotoan	Includes Witoto (Huitoto), Ocaina, and Nonuya.	Subfamily	Amazon		
guaicuruan	Guaicuruan		A language family of the Gran Chaco region of South America.	Family	Gran Chaco		
guaicuruan__northern_guaicuruan	Northern Guaicuruan	guaicuruan	Includes Toba, Pilagá, and Mocoví.	Subfamily	Northern Gran Chaco		
guaicuruan__southern_guaicuruan	Southern Guaicuruan	guaicuruan	Includes Kadiwéu (Caduveo).	Subfamily	Southern Gran Chaco		
matacoan	Matacoan		A language family of the Gran Chaco region of South America.	Family	Gran Chaco		
matacoan__matacoan_languages	Matacoan Languages	matacoan	Includes Wichí (Mataco), Chorote, Nivaclé, and Maká.	Subfamily	Gran Chaco		
zamucoan	Zamucoan		A small language family of the Gran Chaco region.	Family	Gran Chaco		
zamucoan__zamucoan_languages	Zamucoan Languages	zamucoan	Includes Ayoreo and Chamacoco.	Subfamily	Gran Chaco		
mascoian	Mascoian		A language family of the Gran Chaco region of Paraguay.	Family	Gran Chaco (Paraguay)		
mascoian__mascoian_languages	Mascoian Languages	mascoian	Includes Maskoy, Sanapaná, Angaité, and Guaná.	Subfamily	Gran Chaco (Paraguay)		
lule_vilela	Lule-Vilela		A nearly extinct language family of Argentina.	Family	Argentina		
lule_vilela__lule_vilela_languages	Lule-Vilela Languages	lule_vilela	Includes extinct Lule and nearly extinct Vilela.	Subfamily	Argentina		
charruan	Charruan		An extinct language family of Uruguay and Argentina.	Family	Uruguay, Argentina (extinct)		
charruan__charruan_languages	Charruan Languages	charruan	Includes extinct Charrúa and Chaná.	Subfamily	Uruguay, Argentina (extinct)		
huavean	Huavean		A language isolate of Oaxaca, Mexico, spoken in four coastal communities.	Family	Oaxaca, Mexico		
huavean__huave_dialects	Huave Dialects	huavean	Includes San Mateo, San Francisco, Santa María, and San Dionisio dialects.	Subfamily	Oaxaca Coast, Mexico		
purepecha	Purépecha		A language isolate of Michoacán, Mexico, also known as Tarascan.	Family	Michoacán, Mexico		
purepecha__purepecha_language	Purépecha Language	purepecha	The single Purépecha language with regional variation.	Subfamily	Michoacán, Mexico		
seri	Seri		A language isolate of Sonora, Mexico, spoken by the Seri people.	Family	Sonora, Mexico		
seri__seri_language	Seri Language	seri	The single Seri language spoken on Tiburón Island and coastal Sonora.	Subfamily	Sonora, Mexico		
lencan	Lencan		An extinct language family of Honduras and El Salvador.	Family	Honduras, El Salvador (extinct)		
lencan__lenca_languages	Lenca Languages	lencan	Includes extinct Lenca and Chilanga.	Subfamily	Honduras, El Salvador (extinct)		
