Language Name,Direct Parent,Substrata,Superstrata,Adstrata
Proto-Finnic,Finnic,,,
Finnish,Proto-Finnic,Paleo-European; Sami,Swedish; Russian,Swedish; Russian; Estonian
Old Finnish,Finnish,,,
Modern Finnish,Old Finnish,,,
Standard Finnish,Modern Finnish,,,
Estonian,Proto-Finnic,Paleo-European; Baltic,German; Russian,Finnish; Latvian; Russian
Old Estonian,Estonian,,,
Modern Estonian,Old Estonian,,,
Standard Estonian,Modern Estonian,,,
Karelian,Proto-Finnic,,,
Ludic,Proto-Finnic,,,
Veps,Proto-Finnic,,,
Votic,Proto-Finnic,,,
Ingrian,Proto-Finnic,,,
Livonian,Proto-Finnic,,,
Sami (Lapp),Finno-Volgaic,,,
Proto-Sami,Sami (Lapp),,,
Northern Sami,Proto-Sami,,,
Southern Sami,Proto-Sami,,,
Lule Sami,Proto-Sami,,,
Pite Sami,Proto-Sami,,,
Ume Sami,Proto-Sami,,,
Inari Sami,Proto-Sami,,,
Skolt Sami,Proto-Sami,,,
Kildin Sami,Proto-Sami,,,
Ter Sami,Proto-Sami,,,
Akkala Sami,Proto-Sami,,,
Mordvinic,Finno-Volgaic,,,
Erzya,Mordvinic,,,
Moksha,Mordvinic,,,
Mari (Cheremis),Finno-Volgaic,,,
Hill Mari,Mari (Cheremis),,,
Meadow Mari,Mari (Cheremis),,,
Permic,Finno-Permic,,,
Komi,Permic,,,
Komi-Zyrian,Komi,,,
Komi-Permyak,Komi,,,
Komi-Yazva,Komi,,,
Udmurt (Votyak),Permic,,,
Ugric,Proto-Finno-Ugric,,,
Hungarian (Magyar),Ugric,,,
Old Hungarian,Hungarian (Magyar),,,
Middle Hungarian,Old Hungarian,,,
Modern Hungarian,Middle Hungarian,,,
Standard Hungarian,Modern Hungarian,,,
Ob-Ugric,Ugric,,,
Khanty (Ostyak),Ob-Ugric,,,
Northern Khanty,Khanty (Ostyak),,,
Eastern Khanty,Khanty (Ostyak),,,
Southern Khanty,Khanty (Ostyak),,,
Mansi (Vogul),Ob-Ugric,,,
Northern Mansi,Mansi (Vogul),,,
Eastern Mansi,Mansi (Vogul),,,
Southern Mansi,Mansi (Vogul),,,
Western Mansi,Mansi (Vogul),,,
Samoyedic,Proto-Uralic,,,
Proto-Samoyedic,Samoyedic,,,
Northern Samoyedic,Proto-Samoyedic,,,
Nenets,Northern Samoyedic,,,
Tundra Nenets,Nenets,,,
Forest Nenets,Nenets,,,
Enets,Northern Samoyedic,,,
Tundra Enets,Enets,,,
Forest Enets,Enets,,,
Nganasan,Northern Samoyedic,,,
Southern Samoyedic,Proto-Samoyedic,,,
Selkup,Southern Samoyedic,,,
Kamassian,Southern Samoyedic,,,
Mator,Southern Samoyedic,,,
Koibal,Southern Samoyedic,,,
Karagas,Southern Samoyedic,,,
Altaic (disputed),Nostratic (hypothetical),,,
Proto-Altaic (disputed),Altaic (disputed),,,
Turkic,Proto-Altaic (disputed),,,
Proto-Turkic,Turkic,,,
Common Turkic,Proto-Turkic,,,
Oghuz,Common Turkic,,,
Western Oghuz,Oghuz,,,
Turkish,Western Oghuz,Greek; Armenian; Kurdish; Iranian; Arabic,Persian; Arabic; French,Kurdish; Arabic; Persian; Greek
Old Anatolian Turkish,Turkish,,,
Ottoman Turkish,Old Anatolian Turkish,,,
Modern Turkish,Ottoman Turkish,,,
Standard Turkish,Modern Turkish,,,
Cypriot Turkish,Modern Turkish,,,
Gagauz,Western Oghuz,,,
Azerbaijani,Western Oghuz,Iranian; Caucasian,Persian; Arabic,Turkish; Persian; Russian
North Azerbaijani,Azerbaijani,,,
South Azerbaijani,Azerbaijani,,,
Turkmen,Western Oghuz,Iranian (Parthian),Persian; Russian,Persian; Uzbek
Eastern Oghuz,Oghuz,,,
Khorasan Turkic,Eastern Oghuz,,,
Salar,Eastern Oghuz,,,
Kipchak,Common Turkic,,,
Western Kipchak,Kipchak,,,
Tatar,Western Kipchak,Finno-Ugric; Bulgar,Russian,Russian; Bashkir
Volga Tatar,Tatar,,,
Siberian Tatar,Tatar,,,
Bashkir,Western Kipchak,Finno-Ugric; Iranian,Russian,Tatar; Russian
Northern Kipchak,Kipchak,,,
Kazakh,Northern Kipchak,Iranian (Saka),Russian,Russian; Uzbek; Kyrgyz
Karakalpak,Northern Kipchak,,,
Nogai,Northern Kipchak,,,
Southern Kipchak,Kipchak,,,
Kyrgyz,Southern Kipchak,Iranian,Russian,Kazakh; Uzbek; Russian
Altai,Southern Kipchak,,,
Northern Altai,Altai,,,
Southern Altai,Altai,,,
Karluk,Common Turkic,,,
Uzbek,Karluk,Sogdian; Bactrian; Tajik,Persian; Arabic,Tajik; Russian; Kazakh
Northern Uzbek,Uzbek,,,
Southern Uzbek,Uzbek,,,
Uyghur,Karluk,Tocharian; Sogdian; Iranian,Chinese; Russian,Chinese; Kazakh; Uzbek
Modern Uyghur,Uyghur,,,
Ili Turki,Karluk,,,
Siberian Turkic,Common Turkic,,,
Northern Siberian,Siberian Turkic,,,
Sakha (Yakut),Northern Siberian,Paleo-Siberian; Tungusic,Russian,Russian; Tungusic; Paleo-Siberian
Southern Siberian,Siberian Turkic,,,
Tuvan,Southern Siberian,,,
Tofa,Southern Siberian,,,
Khakas,Southern Siberian,,,
Shor,Southern Siberian,,,
Chulym,Southern Siberian,,,
Oghur,Proto-Turkic,,,
Bulgar,Oghur,,,
Volga Bulgar,Bulgar,,,
Danube Bulgar,Bulgar,,,
Chuvash,Oghur,Bulgar; Finno-Ugric,Russian,Russian; Tatar
Khazar,Oghur,,,
Mongolic,Proto-Altaic (disputed),,,
Proto-Mongolic,Mongolic,,,
Middle Mongolic,Proto-Mongolic,,,
Classical Mongolian,Middle Mongolic,,,
Mongolian,Classical Mongolian,Turkic; Tungusic,Chinese; Tibetan; Russian,Chinese; Turkic; Russian
Khalkha Mongolian,Mongolian,,,
Inner Mongolian,Mongolian,,,
Buryat,Middle Mongolic,,,
Kalmyk-Oirat,Middle Mongolic,,,
Kalmyk,Kalmyk-Oirat,,,
Oirat,Kalmyk-Oirat,,,
Moghol,Middle Mongolic,,,
Dagur,Middle Mongolic,,,
Mongghul,Middle Mongolic,,,
Bonan,Middle Mongolic,,,
Dongxiang,Middle Mongolic,,,
Kangjia,Middle Mongolic,,,
Khamnigan Mongol,Middle Mongolic,,,
Tungusic,Proto-Altaic (disputed),,,
Proto-Tungusic,Tungusic,,,
Northern Tungusic,Proto-Tungusic,,,
Evenki,Northern Tungusic,,,
Even (Lamut),Northern Tungusic,,,
Negidal,Northern Tungusic,,,
Oroqen,Northern Tungusic,,,
Solon,Northern Tungusic,,,
Southern Tungusic,Proto-Tungusic,,,
Jurchen,Southern Tungusic,,,
Manchu,Jurchen,Unknown Northeast Asian,Chinese,Chinese; Mongolian
Literary Manchu,Manchu,,,
Spoken Manchu,Manchu,,,
Sibe (Xibe),Manchu,,,
Nanai (Gold),Southern Tungusic,,,
Ulch,Southern Tungusic,,,
Orok,Southern Tungusic,,,
Udege,Southern Tungusic,,,
Oroch,Southern Tungusic,,,
Sino-Tibetan,Austric (hypothetical),,,
Proto-Sino-Tibetan,Sino-Tibetan,,,
Sinitic,Proto-Sino-Tibetan,,,
Old Chinese,Sinitic,,,
Middle Chinese,Old Chinese,,,
Early Middle Chinese,Middle Chinese,,,
Late Middle Chinese,Early Middle Chinese,,,
Mandarin,Late Middle Chinese,Altaic; Tibeto-Burman; Tai,Manchu; Mongolian,Dialects; Min; Wu; Yue
Early Mandarin,Mandarin,,,
Modern Mandarin,Early Mandarin,,,
Standard Mandarin (Putonghua),Modern Mandarin,,,
Beijing Mandarin,Modern Mandarin,,,
Northeastern Mandarin,Modern Mandarin,,,
Ji-Lu Mandarin,Modern Mandarin,,,
Jiao-Liao Mandarin,Modern Mandarin,,,
Zhongyuan Mandarin,Modern Mandarin,,,
Lanyin Mandarin,Modern Mandarin,,,
Southwestern Mandarin,Modern Mandarin,,,
Jianghuai Mandarin,Modern Mandarin,,,
Jin,Late Middle Chinese,,,
Wu,Late Middle Chinese,,,
Shanghainese,Wu,,,
Suzhounese,Wu,,,
Wenzhounese,Wu,,,
Ningbonese,Wu,,,
Gan,Late Middle Chinese,,,
Xiang,Late Middle Chinese,,,
New Xiang,Xiang,,,
Old Xiang,Xiang,,,
Hakka,Late Middle Chinese,Tai-Kadai; Austroasiatic; Hmong-Mien,Mandarin,Cantonese; Min; Gan
Yue,Late Middle Chinese,,,
Cantonese,Yue,Tai-Kadai; Austroasiatic,Mandarin,Hakka; Vietnamese; Mandarin
Taishanese,Yue,,,
Min,Old Chinese,,,
Min Bei,Min,,,
Min Dong,Min,,,
Fuzhou dialect,Min Dong,,,
Min Nan,Min,,,
Hokkien,Min Nan,,,
Taiwanese,Min Nan,,,
Teochew,Min Nan,,,
Amoy,Min Nan,,,
Xiamen,Min Nan,,,
Min Zhong,Min,,,
Pu-Xian,Min,,,
Shao-Jiang,Min,,,
Huizhou,Middle Chinese,,,
Pinghua,Middle Chinese,,,
Tibeto-Burman,Proto-Sino-Tibetan,,,
Proto-Tibeto-Burman,Tibeto-Burman,,,
Bodish,Proto-Tibeto-Burman,,,
Tibetan,Bodish,Zhang-Zhung; Qiang?,Sanskrit; Chinese,Chinese; Mongolian; Nepali
Old Tibetan,Tibetan,,,
Classical Tibetan,Old Tibetan,,,
Modern Tibetan,Classical Tibetan,,,
Central Tibetan,Modern Tibetan,,,
Lhasa Tibetan,Central Tibetan,,,
Ü-Tsang,Central Tibetan,,,
Khams Tibetan,Modern Tibetan,,,
Amdo Tibetan,Modern Tibetan,,,
Dzongkha,Tibetan,,,
Sikkimese,Tibetan,,,
Balti,Tibetan,,,
Ladakhi,Tibetan,,,
Sherpa,Tibetan,,,
Jirel,Tibetan,,,
Burmic,Proto-Tibeto-Burman,,,
Burmese-Lolo,Burmic,,,
Burmese,Burmese-Lolo,Mon; Pyu,Pali; Sanskrit,Mon; Shan; Chinese
Old Burmese,Burmese,,,
Middle Burmese,Old Burmese,,,
Modern Burmese,Middle Burmese,,,
Standard Burmese,Modern Burmese,,,
Arakanese,Modern Burmese,,,
Tavoyan,Modern Burmese,,,
Loloish (Yi),Burmese-Lolo,,,
Northern Loloish,Loloish (Yi),,,
Nuosu (Yi),Northern Loloish,,,
Nasu,Northern Loloish,,,
Lisu,Northern Loloish,,,
Lahu,Northern Loloish,,,
Akha,Northern Loloish,,,
Southern Loloish,Loloish (Yi),,,
Bai,Proto-Tibeto-Burman,,,
Karenic,Proto-Tibeto-Burman,,,
Proto-Karen,Karenic,,,
Sgaw Karen,Proto-Karen,,,
Pwo Karen,Proto-Karen,,,
Pa'O Karen,Proto-Karen,,,
Kayah,Proto-Karen,,,
Kuki-Chin-Naga,Proto-Tibeto-Burman,,,
Kuki-Chin,Kuki-Chin-Naga,,,
Mizo (Lushai),Kuki-Chin,,,
Thadou,Kuki-Chin,,,
Paite,Kuki-Chin,,,
Hmar,Kuki-Chin,,,
Chin,Kuki-Chin,,,
Falam Chin,Chin,,,
Hakha Chin,Chin,,,
Tedim Chin,Chin,,,
Naga,Kuki-Chin-Naga,,,
Angami,Naga,,,
Ao,Naga,,,
Tangkhul,Naga,,,
Sema,Naga,,,
Konyak,Naga,,,
Bodo-Garo,Proto-Tibeto-Burman,,,
Bodo,Bodo-Garo,,,
Garo,Bodo-Garo,,,
Dimasa,Bodo-Garo,,,
Kokborok,Bodo-Garo,,,
Tani,Proto-Tibeto-Burman,,,
Apatani,Tani,,,
Galo,Tani,,,
Nyishi,Tani,,,
Adi,Tani,,,
Qiangic,Proto-Tibeto-Burman,,,
Qiang,Qiangic,,,
Northern Qiang,Qiang,,,
Southern Qiang,Qiang,,,
rGyalrong,Qiangic,,,
Pumi,Qiangic,,,
Japhug,Qiangic,,,
Austronesian,Austric (hypothetical),,,
Proto-Austronesian,Austronesian,,,
Formosan,Proto-Austronesian,,,
Atayalic,Formosan,,,
Atayal,Atayalic,,,
Seediq,Atayalic,,,
Tsouic,Formosan,,,
Tsou,Tsouic,,,
Kanakanavu,Tsouic,,,
Saaroa,Tsouic,,,
Paiwanic,Formosan,,,
Paiwan,Paiwanic,,,
East Formosan,Formosan,,,
Amis,East Formosan,,,
Kavalan,East Formosan,,,
Bunun,Formosan,,,
Puyuma,Formosan,,,
Rukai,Formosan,,,
Malayo-Polynesian,Proto-Austronesian,,,
Proto-Malayo-Polynesian,Malayo-Polynesian,,,
Western Malayo-Polynesian,Proto-Malayo-Polynesian,,,
Sundic,Western Malayo-Polynesian,,,
Malayic,Sundic,,,
Malay,Malayic,,,
Old Malay,Malay,,,
Classical Malay,Old Malay,,,
Modern Malay,Classical Malay,,,
Standard Malay,Modern Malay,,,
Malaysian Malay,Standard Malay,,,
Indonesian,Standard Malay,,,
Brunei Malay,Modern Malay,,,
Minangkabau,Malayic,,,
Banjarese,Malayic,,,
Iban,Malayic,,,
Javanese,Sundic,Austroasiatic?,Sanskrit; Arabic; Dutch,Indonesian; Sundanese; Madurese
Old Javanese,Javanese,,,
Middle Javanese,Old Javanese,,,
Modern Javanese,Middle Javanese,,,
Standard Javanese,Modern Javanese,,,
Ngoko Javanese,Standard Javanese,,,
Krama Javanese,Standard Javanese,,,
Sundanese,Sundic,,,
Old Sundanese,Sundanese,,,
Modern Sundanese,Old Sundanese,,,
Madurese,Sundic,,,
Balinese,Sundic,,,
Old Balinese,Balinese,,,
Modern Balinese,Old Balinese,,,
Sasak,Sundic,,,
Philippine,Western Malayo-Polynesian,,,
Greater Central Philippine,Philippine,,,
Tagalog,Greater Central Philippine,,,
Old Tagalog,Tagalog,,,
Classical Tagalog,Old Tagalog,,,
Modern Tagalog,Classical Tagalog,,,
Filipino,Modern Tagalog,,,
Cebuano,Greater Central Philippine,,,
Hiligaynon (Ilonggo),Greater Central Philippine,,,
Waray,Greater Central Philippine,,,
Bikol,Greater Central Philippine,,,
Kapampangan,Greater Central Philippine,,,
Pangasinan,Greater Central Philippine,,,
Northern Luzon,Philippine,,,
Ilocano,Northern Luzon,,,
Ibanag,Northern Luzon,,,
Itawis,Northern Luzon,,,
Ivatan,Northern Luzon,,,
Bontoc,Northern Luzon,,,
Ifugao,Northern Luzon,,,
Kalinga,Northern Luzon,,,
Kankanaey,Northern Luzon,,,
Southern Philippine,Philippine,,,
Tausug,Southern Philippine,,,
Maguindanao,Southern Philippine,,,
Maranao,Southern Philippine,,,
Sama-Bajaw,Southern Philippine,,,
Borneo,Western Malayo-Polynesian,,,
Land Dayak,Borneo,,,
Bidayuh,Land Dayak,,,
Bakati',Land Dayak,,,
Greater Barito,Borneo,,,
Malagasy,Greater Barito,Unknown African (Bantu?),Swahili; French; Arabic,French; Swahili
Merina Malagasy,Malagasy,,,
Betsileo Malagasy,Malagasy,,,
Sakalava Malagasy,Malagasy,,,
Ma'anyan,Greater Barito,,,
Ngaju,Greater Barito,,,
Chamic,Western Malayo-Polynesian,,,
Cham,Chamic,,,
Western Cham,Cham,,,
Eastern Cham,Cham,,,
Jarai,Chamic,,,
Rade,Chamic,,,
Central-Eastern Malayo-Polynesian,Proto-Malayo-Polynesian,,,
Central Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
Bima-Sumba,Central Malayo-Polynesian,,,
Bimanese,Bima-Sumba,,,
Sumbanese,Bima-Sumba,,,
Timor-Flores,Central Malayo-Polynesian,,,
Tetum,Timor-Flores,,,
Galoli,Timor-Flores,,,
Sikka,Timor-Flores,,,
Manggarai,Timor-Flores,,,
Central Maluku,Central Malayo-Polynesian,,,
Ambon Malay,Central Maluku,,,
Eastern Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
South Halmahera-West New Guinea,Eastern Malayo-Polynesian,,,
Buli,South Halmahera-West New Guinea,,,
Sawai,South Halmahera-West New Guinea,,,
Oceanic,Eastern Malayo-Polynesian,,,
Proto-Oceanic,Oceanic,,,
Admiralty Islands,Proto-Oceanic,,,
Manus,Admiralty Islands,,,
Western Oceanic,Proto-Oceanic,,,
North New Guinea,Western Oceanic,,,
Bali-Vitu,North New Guinea,,,
Bola,North New Guinea,,,
Kilenge,North New Guinea,,,
Mengen,North New Guinea,,,
Papuan Tip,Western Oceanic,,,
Motu,Papuan Tip,,,
Central-Eastern Oceanic,Proto-Oceanic,,,
Southeast Solomonic,Central-Eastern Oceanic,,,
Gela,Southeast Solomonic,,,
Bugotu,Southeast Solomonic,,,
Southern Oceanic,Central-Eastern Oceanic,,,
North-Central Vanuatu,Southern Oceanic,,,
Raga,North-Central Vanuatu,,,
North Efate,North-Central Vanuatu,,,
Southern Vanuatu,Southern Oceanic,,,
Kwamera,Southern Vanuatu,,,
New Caledonian,Southern Oceanic,,,
Drehu,New Caledonian,,,
Nengone,New Caledonian,,,
Micronesian,Central-Eastern Oceanic,,,
Marshallese,Micronesian,,,
Gilbertese,Micronesian,,,
Kosraean,Micronesian,,,
Pohnpeian,Micronesian,,,
Chuukese,Micronesian,,,
Yapese,Micronesian,,,
Chamorro,Micronesian,,,
Central Pacific,Central-Eastern Oceanic,,,
Fijian,Central Pacific,,,
Standard Fijian,Fijian,,,
Western Fijian,Fijian,,,
Eastern Fijian,Fijian,,,
Rotuman,Central Pacific,,,
Polynesian,Central Pacific,,,
Proto-Polynesian,Polynesian,,,
Tongic,Proto-Polynesian,,,
Tongan,Tongic,,,
Niuean,Tongic,,,
Nuclear Polynesian,Proto-Polynesian,,,
Samoic-Outlier,Nuclear Polynesian,,,
Samoan,Samoic-Outlier,,,
Tuvaluan,Samoic-Outlier,,,
Tokelauan,Samoic-Outlier,,,
Pukapukan,Samoic-Outlier,,,
East Polynesian,Nuclear Polynesian,,,
Tahitic,East Polynesian,,,
Tahitian,Tahitic,,,
Rarotongan,Tahitic,,,
Maori,Tahitic,Unknown pre-Polynesian?,English,English
Cook Islands Maori,Maori,,,
New Zealand Maori,Maori,,,
Marquesan,East Polynesian,,,
Hawaiian,East Polynesian,Unknown pre-Polynesian?,English,English
Rapa Nui (Easter Island),East Polynesian,,,
Austroasiatic,Austric (hypothetical),,,
Proto-Austroasiatic,Austroasiatic,,,
Munda,Proto-Austroasiatic,,,
North Munda,Munda,,,
Korku,North Munda,,,
Kherwarian,North Munda,,,
Santali,Kherwarian,,,
Mundari,Kherwarian,,,
Ho,Kherwarian,,,
South Munda,Munda,,,
Kharia-Juang,South Munda,,,
Kharia,Kharia-Juang,,,
Juang,Kharia-Juang,,,
Koraput,South Munda,,,
Sora,Koraput,,,
Gorum,Koraput,,,
Mon-Khmer,Proto-Austroasiatic,,,
Proto-Mon-Khmer,Mon-Khmer,,,
Eastern Mon-Khmer,Proto-Mon-Khmer,,,
Khmer (Cambodian),Eastern Mon-Khmer,,,
Old Khmer,Khmer (Cambodian),,,
Middle Khmer,Old Khmer,,,
Modern Khmer,Middle Khmer,,,
Standard Khmer,Modern Khmer,,,
Bahnaric,Eastern Mon-Khmer,,,
North Bahnaric,Bahnaric,,,
Sedang,North Bahnaric,,,
Halang,North Bahnaric,,,
South Bahnaric,Bahnaric,,,
Mnong,South Bahnaric,,,
Stieng,South Bahnaric,,,
Central Bahnaric,Bahnaric,,,
Bahnar,Central Bahnaric,,,
Rengao,Central Bahnaric,,,
Katuic,Eastern Mon-Khmer,,,
Katu,Katuic,,,
Pacoh,Katuic,,,
Vietic,Eastern Mon-Khmer,,,
Vietnamese,Vietic,Tai-Kadai; Austronesian?,Chinese,French; Chinese; Khmer
Old Vietnamese,Vietnamese,,,
Middle Vietnamese,Old Vietnamese,,,
Modern Vietnamese,Middle Vietnamese,,,
Standard Vietnamese,Modern Vietnamese,,,
Northern Vietnamese,Standard Vietnamese,,,
Central Vietnamese,Standard Vietnamese,,,
Southern Vietnamese,Standard Vietnamese,,,
Muong,Vietic,,,
Thavung,Vietic,,,
Western Mon-Khmer,Proto-Mon-Khmer,,,
Monic,Western Mon-Khmer,,,
Mon,Monic,,,
Old Mon,Mon,,,
Middle Mon,Old Mon,,,
Modern Mon,Middle Mon,,,
Nyah Kur,Monic,,,
Aslian,Western Mon-Khmer,,,
Northern Aslian,Aslian,,,
Kensiu,Northern Aslian,,,
Kintaq,Northern Aslian,,,
Central Aslian,Aslian,,,
Semai,Central Aslian,,,
Temiar,Central Aslian,,,
Southern Aslian,Aslian,,,
Semelai,Southern Aslian,,,
Temoq,Southern Aslian,,,
Khmuic,Western Mon-Khmer,,,
Khmu,Khmuic,,,
Palaungic,Western Mon-Khmer,,,
Palaung,Palaungic,,,
Wa,Palaungic,,,
Blang,Palaungic,,,
Khasi-Khmuic,Proto-Mon-Khmer,,,
Khasic,Khasi-Khmuic,,,
Khasi,Khasic,,,
Pnar,Khasic,,,
War,Khasic,,,
Pearic,Proto-Mon-Khmer,,,
Pear,Pearic,,,
Chong,Pearic,,,
Dravidian,Dene-Caucasian (hypothetical),,,
Proto-Dravidian,Dravidian,,,
South Dravidian,Proto-Dravidian,,,
Tamil-Kannada,South Dravidian,,,
Tamil,Tamil-Kannada,,,
Old Tamil,Tamil,,,
Middle Tamil,Old Tamil,,,
Modern Tamil,Middle Tamil,,,
Standard Tamil,Modern Tamil,,,
Sri Lankan Tamil,Standard Tamil,,,
Indian Tamil,Standard Tamil,,,
Malaysian Tamil,Standard Tamil,,,
Kannada,Tamil-Kannada,,,
Old Kannada,Kannada,,,
Middle Kannada,Old Kannada,,,
Modern Kannada,Middle Kannada,,,
Standard Kannada,Modern Kannada,,,
Malayalam,Tamil-Kannada,,,
Old Malayalam,Malayalam,,,
Middle Malayalam,Old Malayalam,,,
Modern Malayalam,Middle Malayalam,,,
Standard Malayalam,Modern Malayalam,,,
Kodava,Tamil-Kannada,,,
Tulu,South Dravidian,,,
Telugu-Kui,South Dravidian,,,
Telugu,Telugu-Kui,,,
Old Telugu,Telugu,,,
Middle Telugu,Old Telugu,,,
Modern Telugu,Middle Telugu,,,
Standard Telugu,Modern Telugu,,,
Coastal Andhra Telugu,Standard Telugu,,,
Rayalaseema Telugu,Standard Telugu,,,
Telangana Telugu,Standard Telugu,,,
Gondi-Kui,Telugu-Kui,,,
Gondi,Gondi-Kui,,,
Kui,Gondi-Kui,,,
Kuvi,Gondi-Kui,,,
Konda,Gondi-Kui,,,
Manda,Gondi-Kui,,,
Pengo,Gondi-Kui,,,
Central Dravidian,Proto-Dravidian,,,
Kolami-Parji,Central Dravidian,,,
Kolami,Kolami-Parji,,,
Naiki,Kolami-Parji,,,
Parji,Kolami-Parji,,,
Ollari,Kolami-Parji,,,
Gadaba,Kolami-Parji,,,
North Dravidian,Proto-Dravidian,,,
Kurukh-Malto,North Dravidian,,,
Kurukh,Kurukh-Malto,,,
Malto,Kurukh-Malto,,,
Brahui,North Dravidian,,,
Afro-Asiatic,Nostratic (hypothetical),,,
Proto-Afro-Asiatic,Afro-Asiatic,,,
Semitic,Proto-Afro-Asiatic,,,
Proto-Semitic,Semitic,,,
East Semitic,Proto-Semitic,,,
Akkadian,East Semitic,,,
Old Akkadian,Akkadian,,,
Babylonian,Old Akkadian,,,
Old Babylonian,Babylonian,,,
Middle Babylonian,Old Babylonian,,,
Neo-Babylonian,Middle Babylonian,,,
Late Babylonian,Neo-Babylonian,,,
Assyrian,Old Akkadian,,,
Old Assyrian,Assyrian,,,
Middle Assyrian,Old Assyrian,,,
Neo-Assyrian,Middle Assyrian,,,
Eblaite,East Semitic,,,
West Semitic,Proto-Semitic,,,
Central Semitic,West Semitic,,,
Northwest Semitic,Central Semitic,,,
Canaanite,Northwest Semitic,,,
Hebrew,Canaanite,,,
Biblical Hebrew,Hebrew,,,
Mishnaic Hebrew,Biblical Hebrew,,,
Medieval Hebrew,Mishnaic Hebrew,,,
Modern Hebrew,Medieval Hebrew,,,
Israeli Hebrew,Modern Hebrew,,,
Phoenician,Canaanite,,,
Punic,Phoenician,,,
Neo-Punic,Punic,,,
Moabite,Canaanite,,,
Edomite,Canaanite,,,
Ammonite,Canaanite,,,
Aramaic,Northwest Semitic,,,
Old Aramaic,Aramaic,,,
Imperial Aramaic,Old Aramaic,,,
Middle Aramaic,Imperial Aramaic,,,
Western Middle Aramaic,Middle Aramaic,,,
Jewish Palestinian Aramaic,Western Middle Aramaic,,,
Samaritan Aramaic,Western Middle Aramaic,,,
Christian Palestinian Aramaic,Western Middle Aramaic,,,
Eastern Middle Aramaic,Middle Aramaic,,,
Syriac,Eastern Middle Aramaic,,,
Classical Syriac,Syriac,,,
Eastern Syriac,Classical Syriac,,,
Western Syriac,Classical Syriac,,,
Jewish Babylonian Aramaic,Eastern Middle Aramaic,,,
Mandaic,Eastern Middle Aramaic,,,
Late Aramaic,Middle Aramaic,,,
Western Neo-Aramaic,Late Aramaic,,,
Ma'loula,Western Neo-Aramaic,,,
Bakh'a,Western Neo-Aramaic,,,
Jubb'adin,Western Neo-Aramaic,,,
Eastern Neo-Aramaic,Late Aramaic,,,
Assyrian Neo-Aramaic,Eastern Neo-Aramaic,,,
Chaldean Neo-Aramaic,Eastern Neo-Aramaic,,,
Turoyo,Eastern Neo-Aramaic,,,
Mandaic Neo-Aramaic,Eastern Neo-Aramaic,,,
Ugaritic,Northwest Semitic,,,
Arabic,Central Semitic,,,
Proto-Arabic,Arabic,,,
Old Arabic,Proto-Arabic,,,
Classical Arabic,Old Arabic,,,
Quranic Arabic,Classical Arabic,,,
Modern Standard Arabic,Classical Arabic,,,
Colloquial Arabic,Classical Arabic,,,
Maghrebi Arabic,Colloquial Arabic,Berber; Punic; Latin,Turkish; French; Italian,Berber; French; MSA
Moroccan Arabic,Maghrebi Arabic,,,
Algerian Arabic,Maghrebi Arabic,,,
Tunisian Arabic,Maghrebi Arabic,,,
Libyan Arabic,Maghrebi Arabic,,,
Egyptian Arabic,Colloquial Arabic,Coptic,Turkish; French; English,MSA; Levantine; Sudanese
Cairene Arabic,Egyptian Arabic,,,
Upper Egyptian Arabic,Egyptian Arabic,,,
Levantine Arabic,Colloquial Arabic,Aramaic; Phoenician,Turkish; French; English,MSA; Iraqi; Egyptian
Lebanese Arabic,Levantine Arabic,,,
Syrian Arabic,Levantine Arabic,,,
Palestinian Arabic,Levantine Arabic,,,
Jordanian Arabic,Levantine Arabic,,,
Mesopotamian Arabic,Colloquial Arabic,,,
Iraqi Arabic,Mesopotamian Arabic,,,
North Mesopotamian Arabic,Iraqi Arabic,,,
Baghdadi Arabic,Iraqi Arabic,,,
Southern Iraqi Arabic,Iraqi Arabic,,,
Gulf Arabic,Colloquial Arabic,,,
Kuwaiti Arabic,Gulf Arabic,,,
Bahraini Arabic,Gulf Arabic,,,
Qatari Arabic,Gulf Arabic,,,
Emirati Arabic,Gulf Arabic,,,
Saudi Arabic,Gulf Arabic,,,
Najdi Arabic,Saudi Arabic,,,
Hejazi Arabic,Saudi Arabic,,,
Yemeni Arabic,Colloquial Arabic,,,
Sudanese Arabic,Colloquial Arabic,,,
Hassaniya Arabic,Maghrebi Arabic,,,
Maltese,Arabic,Siculo-Arabic,Italian; Sicilian; English,Italian; English
South Semitic,West Semitic,,,
Ethiopian Semitic,South Semitic,,,
North Ethiopian,Ethiopian Semitic,,,
Ge'ez,North Ethiopian,,,
Tigrinya,Ge'ez,,,
Tigre,Ge'ez,,,
South Ethiopian,Ethiopian Semitic,,,
Transversal South Ethiopic,South Ethiopian,,,
Amharic,Transversal South Ethiopic,Cushitic; Omotic,Italian (brief),Oromo; Tigrinya
Argobba,Transversal South Ethiopic,,,
Outer South Ethiopic,South Ethiopian,,,
Harari,Outer South Ethiopic,,,
East Gurage,Outer South Ethiopic,,,
Zay,Outer South Ethiopic,,,
n-group,South Ethiopian,,,
Gafat,n-group,,,
Soddo,n-group,,,
Muher,n-group,,,
Mesqan,n-group,,,
tt-group,South Ethiopian,,,
Inor,tt-group,,,
Endegen,tt-group,,,
Modern South Arabian,South Semitic,,,
